日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000301,东方盛虹,5.58,5.62,5.5,5.6,5.49,0.09,1.6393,7349264,40832362.08
2019-06-28,'000301,东方盛虹,5.49,5.64,5.47,5.58,5.63,-0.14,-2.4867,4832941,26701840.68
2019-06-27,'000301,东方盛虹,5.63,5.63,5.52,5.54,5.52,0.11,1.9928,5369646,30015525.1
2019-06-26,'000301,东方盛虹,5.52,5.58,5.51,5.58,5.53,-0.01,-0.1808,3491378,19319967.9
2019-06-25,'000301,东方盛虹,5.53,5.63,5.51,5.63,5.62,-0.09,-1.6014,5324547,29545028.5
2019-06-24,'000301,东方盛虹,5.62,5.71,5.6,5.64,5.63,-0.01,-0.1776,5863654,33050788.36
2019-06-21,'000301,东方盛虹,5.63,5.74,5.62,5.66,5.63,0.0,0.0,7780802,44154532.01
2019-06-20,'000301,东方盛虹,5.73,5.76,5.62,5.69,5.68,0.05,0.8803,6685829,38141320.56
2019-06-19,'000301,东方盛虹,5.68,5.8,5.68,5.73,5.63,0.05,0.8881,6442382,36867935.76
2019-06-18,'000301,东方盛虹,5.63,5.85,5.63,5.83,5.79,-0.16,-2.7634,6912671,39261659.98
2019-06-17,'000301,东方盛虹,5.79,5.95,5.69,5.75,5.58,0.21,3.7634,11106581,64397138.93
2019-06-14,'000301,东方盛虹,5.58,5.89,5.58,5.85,5.76,-0.18,-3.125,13980334,80638253.72
2019-06-13,'000301,东方盛虹,5.76,5.81,5.64,5.67,5.66,0.1,1.7668,9904131,56958735.41
2019-06-12,'000301,东方盛虹,5.66,5.78,5.63,5.77,5.76,-0.1,-1.7361,8117514,46158666.26
2019-06-11,'000301,东方盛虹,5.76,5.78,5.67,5.74,5.71,0.05,0.8757,8122285,46617095.07
2019-06-10,'000301,东方盛虹,5.71,5.77,5.67,5.71,5.7,0.01,0.1754,6705270,38319795.58
2019-06-06,'000301,东方盛虹,5.7,5.8,5.6,5.73,5.71,-0.01,-0.1751,8020152,45450210.23
2019-06-05,'000301,东方盛虹,5.71,5.79,5.56,5.57,5.55,0.16,2.8829,12529618,71391395.84
2019-06-04,'000301,东方盛虹,5.55,5.56,5.35,5.39,5.42,0.13,2.3985,12252055,67161466.46
2019-06-03,'000301,东方盛虹,5.42,5.6,5.2,5.25,5.22,0.2,3.8314,12863201,69440605.36
2019-05-31,'000301,东方盛虹,5.22,5.27,5.18,5.23,5.2,0.02,0.3846,4040361,21128268.0
2019-05-30,'000301,东方盛虹,5.2,5.29,5.15,5.28,5.25,-0.05,-0.9524,5599500,29147496.0
2019-05-29,'000301,东方盛虹,5.25,5.3,5.22,5.28,5.27,-0.02,-0.3795,3426344,18013261.44
2019-05-28,'000301,东方盛虹,5.27,5.37,5.25,5.28,5.26,0.01,0.1901,5186343,27548794.92
2019-05-27,'000301,东方盛虹,5.26,5.29,5.18,5.21,5.21,0.05,0.9597,6134242,32044233.17
2019-05-24,'000301,东方盛虹,5.21,5.27,5.17,5.27,5.23,-0.02,-0.3824,3456850,18007046.6
2019-05-23,'000301,东方盛虹,5.23,5.3,5.22,5.26,5.3,-0.07,-1.3208,3519119,18465076.92
2019-05-22,'000301,东方盛虹,5.3,5.39,5.26,5.39,5.38,-0.08,-1.487,4117538,21922954.74
2019-05-21,'000301,东方盛虹,5.38,5.41,5.29,5.29,5.32,0.06,1.1278,3813556,20451781.93
2019-05-20,'000301,东方盛虹,5.32,5.35,5.2,5.29,5.34,-0.02,-0.3745,5215422,27433364.53
2019-05-17,'000301,东方盛虹,5.34,5.51,5.32,5.51,5.48,-0.14,-2.5547,5602259,30177520.57
2019-05-16,'000301,东方盛虹,5.48,5.51,5.45,5.49,5.47,0.01,0.1828,4770697,26132419.2
2019-05-15,'000301,东方盛虹,5.47,5.5,5.35,5.37,5.34,0.13,2.4345,6847517,37217875.91
2019-05-14,'000301,东方盛虹,5.34,5.41,5.31,5.38,5.43,-0.09,-1.6575,7215752,38620040.57
2019-05-13,'000301,东方盛虹,5.43,5.5,5.38,5.43,5.5,-0.07,-1.2727,4403100,23950123.0
2019-05-10,'000301,东方盛虹,5.5,5.55,5.33,5.44,5.4,0.1,1.8519,7480533,40935944.48
2019-05-09,'000301,东方盛虹,5.4,5.46,5.35,5.4,5.44,-0.04,-0.7353,4282347,23172363.8
2019-05-08,'000301,东方盛虹,5.44,5.46,5.31,5.4,5.43,0.01,0.1842,6192256,33400315.56
2019-05-07,'000301,东方盛虹,5.43,5.59,5.35,5.5,5.48,-0.05,-0.9124,10868122,59554643.15
2019-05-06,'000301,东方盛虹,5.48,5.9,5.37,5.86,5.95,-0.47,-7.8992,16128544,90588966.72
2019-04-30,'000301,东方盛虹,5.95,5.98,5.89,5.9,5.89,0.06,1.0187,4474885,26603851.13
2019-04-29,'000301,东方盛虹,5.89,6.06,5.82,6.06,6.0,-0.11,-1.8333,8549251,50700279.85
2019-04-26,'000301,东方盛虹,6.0,6.12,5.98,6.12,6.07,-0.07,-1.1532,7422263,44700790.6
2019-04-25,'000301,东方盛虹,6.07,6.32,6.04,6.19,6.16,-0.09,-1.461,11643227,72039742.58
2019-04-24,'000301,东方盛虹,6.16,6.18,6.07,6.14,6.11,0.05,0.8183,6756075,41413466.62
2019-04-23,'000301,东方盛虹,6.11,6.19,6.07,6.14,6.17,-0.06,-0.9724,9860688,60312345.08
2019-04-22,'000301,东方盛虹,6.17,6.42,6.12,6.39,6.36,-0.19,-2.9874,18700501,116551235.94
2019-04-19,'000301,东方盛虹,6.36,6.38,6.27,6.34,6.33,0.03,0.4739,8300435,52422114.14
