日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000333,美的集团,54.09,54.45,52.76,52.97,51.86,2.23,4.3,61163012,3287136780.35
2019-06-28,'000333,美的集团,51.86,52.19,51.4,51.69,51.77,0.09,0.1738,16957648,878142832.68
2019-06-27,'000333,美的集团,51.77,52.28,51.35,51.7,51.51,0.26,0.5048,34520988,1789191029.97
2019-06-26,'000333,美的集团,51.51,51.83,51.32,51.51,51.44,0.07,0.1361,20254883,1043841121.71
2019-06-25,'000333,美的集团,51.44,52.18,51.0,52.0,52.18,-0.74,-1.4182,33048049,1701992981.34
2019-06-24,'000333,美的集团,52.18,52.62,51.4,51.83,52.11,0.07,0.1343,37697202,1965902486.03
2019-06-21,'000333,美的集团,52.11,53.57,51.83,52.81,53.29,-1.18,-2.2143,62281987,3260271975.89
2019-06-20,'000333,美的集团,53.29,53.95,52.11,52.36,52.01,1.28,2.4611,44843750,2389697357.56
2019-06-19,'000333,美的集团,52.01,52.97,52.01,52.5,50.91,1.1,2.1607,26345355,1381397040.41
2019-06-18,'000333,美的集团,50.91,51.3,50.5,50.76,50.79,0.12,0.2363,12021879,613259814.3
2019-06-17,'000333,美的集团,50.79,51.25,50.39,50.87,50.57,0.22,0.435,13274503,674222037.73
2019-06-14,'000333,美的集团,50.57,51.9,50.55,51.28,51.03,-0.46,-0.9014,13592896,692935413.99
2019-06-13,'000333,美的集团,51.03,51.69,50.21,51.69,51.51,-0.48,-0.9319,20181618,1027154861.93
2019-06-12,'000333,美的集团,51.51,51.62,50.83,51.34,51.47,0.04,0.0777,21263683,1089754701.08
2019-06-11,'000333,美的集团,51.47,51.84,49.6,49.69,49.76,1.71,3.4365,37427417,1912923617.85
2019-06-10,'000333,美的集团,49.76,50.0,49.34,49.56,49.12,0.64,1.3029,24381043,1213075623.08
2019-06-06,'000333,美的集团,49.12,50.1,48.87,50.1,49.51,-0.39,-0.7877,18573924,918001247.2
2019-06-05,'000333,美的集团,49.51,50.54,49.25,50.42,49.7,-0.19,-0.3823,22979619,1147254243.7
2019-06-04,'000333,美的集团,49.7,50.59,49.21,50.13,50.12,-0.42,-0.838,16344731,811702804.48
2019-06-03,'000333,美的集团,50.12,50.99,49.75,49.79,49.6,0.52,1.0484,22801010,1147776867.29
2019-05-31,'000333,美的集团,49.6,50.15,48.95,49.0,49.45,0.15,0.3033,24107766,1201722988.67
2019-05-30,'000333,美的集团,49.45,49.72,48.5,49.37,49.08,0.37,0.7539,32332955,1586232809.68
2019-05-29,'000333,美的集团,50.38,50.92,49.85,50.05,50.51,-0.13,-0.2574,21849380,1100280782.94
2019-05-28,'000333,美的集团,50.51,51.22,49.77,49.77,49.75,0.76,1.5276,34988936,1771284994.74
2019-05-27,'000333,美的集团,49.75,50.08,48.88,49.82,49.82,-0.07,-0.1405,28480786,1406654784.41
2019-05-24,'000333,美的集团,49.82,50.28,49.01,49.28,49.51,0.31,0.6261,29940665,1489846494.58
2019-05-23,'000333,美的集团,49.51,50.8,49.4,50.7,51.41,-1.9,-3.6958,42114999,2104165315.28
2019-05-22,'000333,美的集团,51.41,53.22,51.0,51.51,50.75,0.66,1.3005,80369414,4187357486.43
2019-05-21,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-20,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-17,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-16,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-15,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-14,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-13,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-10,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-09,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-08,'000333,美的集团,0.0,0.0,0.0,0.0,50.75,None,None,0,0.0
2019-05-07,'000333,美的集团,50.75,51.49,49.9,50.3,49.07,1.68,3.4237,71785225,3653919598.11
2019-05-06,'000333,美的集团,49.07,51.04,49.0,49.9,52.4,-3.33,-6.355,66323495,3318296818.58
