日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000338,潍柴动力,12.89,12.95,12.41,12.5,12.29,0.6,4.882,101787878,1291294804.57
2019-06-28,'000338,潍柴动力,12.29,12.44,12.23,12.23,12.3,-0.01,-0.0813,43280844,532556294.02
2019-06-27,'000338,潍柴动力,12.3,12.55,12.27,12.32,12.25,0.05,0.4082,60006253,743360817.69
2019-06-26,'000338,潍柴动力,12.25,12.38,12.12,12.2,12.28,-0.03,-0.2443,39932435,489114191.33
2019-06-25,'000338,潍柴动力,12.28,12.56,12.08,12.55,12.54,-0.26,-2.0734,75627481,925661446.22
2019-06-24,'000338,潍柴动力,12.54,12.62,12.45,12.59,12.6,-0.06,-0.4762,46593511,583339076.33
2019-06-21,'000338,潍柴动力,12.6,12.85,12.51,12.65,12.72,-0.12,-0.9434,78452722,991534487.35
2019-06-20,'000338,潍柴动力,12.72,12.74,12.17,12.24,12.21,0.51,4.1769,101436982,1271627363.64
2019-06-19,'000338,潍柴动力,12.21,12.63,12.21,12.59,12.14,0.07,0.5766,65016485,805334277.63
2019-06-18,'000338,潍柴动力,12.14,12.32,11.99,12.21,12.2,-0.06,-0.4918,43639663,529150668.74
2019-06-17,'000338,潍柴动力,12.2,12.42,12.12,12.14,12.14,0.06,0.4942,40974659,502358019.19
2019-06-14,'000338,潍柴动力,12.14,12.53,12.11,12.44,12.45,-0.31,-2.49,53460132,656905864.83
2019-06-13,'000338,潍柴动力,12.45,12.62,12.18,12.32,12.4,0.05,0.4032,75545214,939916653.32
2019-06-12,'000338,潍柴动力,12.4,12.62,12.31,12.36,12.46,-0.06,-0.4815,66858224,833041655.25
2019-06-11,'000338,潍柴动力,12.46,12.55,11.8,11.82,11.76,0.7,5.9524,114089557,1395565453.78
2019-06-10,'000338,潍柴动力,11.76,11.79,11.42,11.45,11.36,0.4,3.5211,56148252,654815649.7
2019-06-06,'000338,潍柴动力,11.36,11.42,11.19,11.3,11.3,0.06,0.531,43407957,492172660.22
2019-06-05,'000338,潍柴动力,11.3,11.65,11.3,11.6,11.45,-0.15,-1.31,45283253,518222341.55
2019-06-04,'000338,潍柴动力,11.45,11.57,11.28,11.56,11.53,-0.08,-0.6938,48261349,548997272.4
2019-06-03,'000338,潍柴动力,11.53,11.78,11.46,11.66,11.7,-0.17,-1.453,56105643,651102575.76
2019-05-31,'000338,潍柴动力,11.7,12.05,11.67,12.05,12.05,-0.35,-2.9046,72791185,861836063.51
2019-05-30,'000338,潍柴动力,12.05,12.14,11.55,11.78,11.78,0.27,2.292,92531716,1096321716.4
2019-05-29,'000338,潍柴动力,11.78,11.88,11.71,11.85,12.01,-0.23,-1.9151,64600549,761269042.43
2019-05-28,'000338,潍柴动力,12.01,12.07,11.72,11.8,11.99,0.02,0.1668,94150562,1120730647.71
2019-05-27,'000338,潍柴动力,11.99,12.16,11.77,11.82,11.5,0.49,4.2609,137077097,1639256435.29
2019-05-24,'000338,潍柴动力,11.5,11.66,11.18,11.25,11.18,0.32,2.8623,75515723,863873890.07
2019-05-23,'000338,潍柴动力,11.18,11.39,11.07,11.39,11.44,-0.26,-2.2727,54427408,610545007.56
2019-05-22,'000338,潍柴动力,11.44,11.65,11.35,11.43,11.44,0.0,0.0,50051799,575351461.75
2019-05-21,'000338,潍柴动力,11.44,11.55,11.15,11.16,11.15,0.29,2.6009,66018566,752476692.73
2019-05-20,'000338,潍柴动力,11.15,11.3,10.86,11.25,11.4,-0.25,-2.193,85256882,941818056.58
2019-05-17,'000338,潍柴动力,11.4,12.05,11.25,12.01,11.99,-0.59,-4.9208,89045200,1032445046.03
2019-05-16,'000338,潍柴动力,11.99,12.08,11.88,12.08,12.07,-0.08,-0.6628,58496258,700367951.38
2019-05-15,'000338,潍柴动力,12.07,12.18,11.83,11.95,11.8,0.27,2.2881,78582905,943680194.33
2019-05-14,'000338,潍柴动力,11.8,12.06,11.73,11.79,11.93,-0.13,-1.0897,66936911,794297916.68
2019-05-13,'000338,潍柴动力,11.93,12.3,11.82,11.93,12.15,-0.22,-1.8107,82604299,993731422.42
2019-05-10,'000338,潍柴动力,12.15,12.16,11.3,11.59,11.38,0.77,6.7663,113953727,1348846334.09
2019-05-09,'000338,潍柴动力,11.38,11.74,11.35,11.51,11.65,-0.27,-2.3176,67378176,775197091.32
2019-05-08,'000338,潍柴动力,11.65,12.0,11.51,11.59,11.89,-0.24,-2.0185,84085565,986246249.19
