日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000400,许继电气,9.26,9.26,9.15,9.2,9.06,0.2,2.2075,7714087,71099969.1
2019-06-28,'000400,许继电气,9.06,9.16,9.02,9.11,9.14,-0.08,-0.8753,3680755,33404684.49
2019-06-27,'000400,许继电气,9.14,9.21,9.1,9.12,9.09,0.05,0.5501,4368913,40016766.33
2019-06-26,'000400,许继电气,9.14,9.19,9.05,9.08,9.14,0.0,0.0,4119116,37659066.48
2019-06-25,'000400,许继电气,9.14,9.28,9.03,9.27,9.26,-0.12,-1.2959,7057781,64377378.8
2019-06-24,'000400,许继电气,9.26,9.4,9.21,9.4,9.4,-0.14,-1.4894,7254239,67326381.52
2019-06-21,'000400,许继电气,9.4,9.47,9.35,9.38,9.38,0.02,0.2132,11796162,110865593.05
2019-06-20,'000400,许继电气,9.38,9.41,9.21,9.33,9.28,0.1,1.0776,11989879,111774284.91
2019-06-19,'000400,许继电气,9.28,9.36,9.19,9.28,9.12,0.16,1.7544,8056051,74669936.58
2019-06-18,'000400,许继电气,9.12,9.16,9.05,9.13,9.13,-0.01,-0.1095,3611000,32890005.41
2019-06-17,'000400,许继电气,9.13,9.13,8.96,9.0,9.02,0.11,1.2195,4129015,37465329.48
2019-06-14,'000400,许继电气,9.02,9.29,9.01,9.27,9.24,-0.22,-2.381,6257846,57126533.2
2019-06-13,'000400,许继电气,9.24,9.33,9.14,9.21,9.25,-0.01,-0.1081,5224452,48250884.54
2019-06-12,'000400,许继电气,9.25,9.36,9.2,9.31,9.37,-0.12,-1.2807,7255404,67191294.36
2019-06-11,'000400,许继电气,9.37,9.45,9.01,9.1,9.19,0.18,1.9587,14035790,129744321.64
2019-06-10,'000400,许继电气,9.19,9.63,8.71,8.77,8.75,0.44,5.0286,12822270,118501303.27
2019-06-06,'000400,许继电气,8.75,8.86,8.72,8.84,8.85,-0.1,-1.1299,3542218,31039777.48
2019-06-05,'000400,许继电气,8.85,8.93,8.84,8.9,8.78,0.07,0.7973,3706000,32915499.84
2019-06-04,'000400,许继电气,8.78,8.91,8.74,8.88,8.87,-0.09,-1.0147,4599704,40488127.96
2019-06-03,'000400,许继电气,8.87,9.07,8.85,9.01,9.01,-0.14,-1.5538,4256328,38008722.54
2019-05-31,'000400,许继电气,9.01,9.13,9.0,9.02,9.01,0.0,0.0,3341161,30256050.65
2019-05-30,'000400,许继电气,9.01,9.12,8.9,9.12,9.13,-0.12,-1.3143,5072900,45635286.85
2019-05-29,'000400,许继电气,9.13,9.2,9.11,9.17,9.22,-0.09,-0.9761,6162109,56377751.57
2019-05-28,'000400,许继电气,9.22,9.49,9.02,9.06,9.05,0.17,1.8785,10312443,95487666.94
2019-05-27,'000400,许继电气,9.05,9.09,8.83,8.88,8.89,0.16,1.7998,4908449,44075882.05
2019-05-24,'000400,许继电气,8.89,9.04,8.86,8.95,8.98,-0.09,-1.0022,3646239,32544231.71
2019-05-23,'000400,许继电气,8.98,9.13,8.94,9.08,9.08,-0.1,-1.1013,4686436,42206792.27
2019-05-22,'000400,许继电气,9.08,9.19,9.05,9.15,9.14,-0.06,-0.6565,4100800,37422094.98
2019-05-21,'000400,许继电气,9.14,9.19,8.99,9.0,9.0,0.14,1.5556,5296810,48365606.19
2019-05-20,'000400,许继电气,9.0,9.05,8.75,8.87,8.88,0.12,1.3514,4720679,42096425.04
2019-05-17,'000400,许继电气,8.88,9.27,8.8,9.22,9.25,-0.37,-4.0,8257720,74781963.2
2019-05-16,'000400,许继电气,9.25,9.26,9.16,9.23,9.2,0.05,0.5435,5009591,46222556.49
2019-05-15,'000400,许继电气,9.2,9.23,9.12,9.15,9.08,0.12,1.3216,6081463,55767508.63
2019-05-14,'000400,许继电气,9.08,9.2,9.07,9.15,9.21,-0.13,-1.4115,5313861,48547600.13
2019-05-13,'000400,许继电气,9.21,9.25,9.02,9.09,9.16,0.05,0.5459,6112931,56023692.3
2019-05-10,'000400,许继电气,9.16,9.19,8.82,9.0,8.95,0.21,2.3464,7927188,72091001.7
2019-05-09,'000400,许继电气,8.95,9.07,8.87,8.9,8.98,-0.03,-0.3341,5073757,45670940.72
2019-05-08,'000400,许继电气,8.98,9.1,8.75,8.86,9.01,-0.03,-0.333,5425649,48664358.1
2019-05-07,'000400,许继电气,9.01,9.08,8.92,8.96,8.9,0.11,1.236,6673410,60066850.68
2019-05-06,'000400,许继电气,8.9,9.66,8.82,9.66,9.79,-0.89,-9.0909,14745214,135080865.91
2019-04-30,'000400,许继电气,9.79,9.93,9.72,9.74,9.77,0.02,0.2047,6883107,67667859.16
