日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000401,冀东水泥,18.51,18.7,17.81,18.02,17.61,0.9,5.1107,37186276,681442664.2
2019-06-28,'000401,冀东水泥,17.61,17.76,17.31,17.37,17.37,0.24,1.3817,23990026,422864888.77
2019-06-27,'000401,冀东水泥,17.37,17.5,17.23,17.35,17.3,0.07,0.4046,13069896,227184003.71
2019-06-26,'000401,冀东水泥,17.3,17.5,16.82,17.01,17.08,0.22,1.2881,16541994,286244515.89
2019-06-25,'000401,冀东水泥,17.08,17.35,16.8,17.35,17.36,-0.28,-1.6129,15017362,255715692.09
2019-06-24,'000401,冀东水泥,17.36,17.47,17.11,17.2,17.3,0.06,0.3468,13986667,242373270.37
2019-06-21,'000401,冀东水泥,17.3,17.59,17.13,17.35,17.3,0.0,0.0,18045673,312316027.79
2019-06-20,'000401,冀东水泥,17.3,17.46,16.87,16.94,16.94,0.36,2.1251,23488773,405225521.29
2019-06-19,'000401,冀东水泥,16.94,17.6,16.91,17.5,17.1,-0.16,-0.9357,21866616,376157659.29
2019-06-18,'000401,冀东水泥,17.1,17.14,16.73,17.03,16.98,0.12,0.7067,16568984,280549939.37
2019-06-17,'000401,冀东水泥,16.98,17.14,16.78,16.96,16.96,0.02,0.1179,12811069,217172120.96
2019-06-14,'000401,冀东水泥,16.96,17.43,16.81,17.3,17.2,-0.24,-1.3953,18922300,323920157.28
2019-06-13,'000401,冀东水泥,17.2,17.47,17.11,17.4,17.4,-0.2,-1.1494,19850124,342461807.96
2019-06-12,'000401,冀东水泥,17.4,18.05,17.39,17.68,17.62,-0.22,-1.2486,33016792,583698348.28
2019-06-11,'000401,冀东水泥,17.62,17.67,17.04,17.04,16.51,1.11,6.7232,44389159,772875177.34
2019-06-10,'000401,冀东水泥,16.51,16.66,16.27,16.42,16.38,0.13,0.7937,12483087,206029803.91
2019-06-06,'000401,冀东水泥,16.38,16.75,16.1,16.2,16.13,0.25,1.5499,21582176,356007979.96
2019-06-05,'000401,冀东水泥,16.13,16.36,16.09,16.29,16.11,0.02,0.1241,12582707,204190653.71
2019-06-04,'000401,冀东水泥,16.11,16.69,16.0,16.69,16.62,-0.51,-3.0686,24196766,392059515.16
2019-06-03,'000401,冀东水泥,16.62,17.18,16.53,17.03,16.74,-0.12,-0.7168,27771860,468038541.61
2019-05-31,'000401,冀东水泥,16.74,17.21,16.72,17.21,17.04,-0.3,-1.7606,15271069,257767025.12
2019-05-30,'000401,冀东水泥,17.04,17.28,16.78,16.87,17.08,-0.04,-0.2342,21619012,367525901.48
2019-05-29,'000401,冀东水泥,17.08,17.28,16.2,16.29,16.29,0.79,4.8496,34019719,575538474.79
2019-05-28,'000401,冀东水泥,16.29,16.62,16.1,16.2,16.17,0.12,0.7421,20341980,332773991.88
2019-05-27,'000401,冀东水泥,16.57,16.63,16.11,16.21,16.18,0.39,2.4104,16088397,263803542.29
2019-05-24,'000401,冀东水泥,16.18,16.65,16.1,16.41,16.54,-0.36,-2.1765,12393030,201695066.39
2019-05-23,'000401,冀东水泥,16.54,16.71,16.38,16.45,16.52,0.02,0.1211,14050597,232837609.62
2019-05-22,'000401,冀东水泥,16.52,16.75,16.34,16.5,16.45,0.07,0.4255,15828450,262081487.94
2019-05-21,'000401,冀东水泥,16.45,16.65,16.1,16.17,16.08,0.37,2.301,17133917,281853572.83
2019-05-20,'000401,冀东水泥,16.08,16.31,15.65,15.99,16.15,-0.07,-0.4334,18380048,293991458.07
2019-05-17,'000401,冀东水泥,16.15,16.95,16.03,16.94,16.89,-0.74,-4.3813,25387833,417132093.74
