日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000402,金 融 街,7.93,7.97,7.86,7.86,7.84,0.09,1.148,13320384,105496617.61
2019-06-28,'000402,金 融 街,7.84,7.84,7.66,7.74,7.78,0.06,0.7712,7963582,61657161.01
2019-06-27,'000402,金 融 街,7.78,7.78,7.65,7.74,7.72,0.06,0.7772,9147250,70497445.82
2019-06-26,'000402,金 融 街,7.72,7.74,7.56,7.56,7.6,0.12,1.5789,6697411,51523950.39
2019-06-25,'000402,金 融 街,7.6,7.67,7.49,7.64,7.64,-0.04,-0.5236,9106526,68786250.14
2019-06-24,'000402,金 融 街,7.64,7.65,7.56,7.56,7.55,0.09,1.1921,6783228,51665177.29
2019-06-21,'000402,金 融 街,7.55,7.62,7.53,7.53,7.49,0.06,0.8011,9727848,73601707.66
2019-06-20,'000402,金 融 街,7.49,7.53,7.29,7.3,7.3,0.19,2.6027,9586126,71187218.29
2019-06-19,'000402,金 融 街,7.3,7.39,7.27,7.29,7.2,0.1,1.3889,10751035,78823343.05
2019-06-18,'000402,金 融 街,7.2,7.24,7.15,7.21,7.21,-0.01,-0.1387,5100611,36624605.57
2019-06-17,'000402,金 融 街,7.21,7.26,7.19,7.21,7.22,-0.01,-0.1385,3675957,26551550.41
2019-06-14,'000402,金 融 街,7.22,7.31,7.19,7.26,7.24,-0.02,-0.2762,6123513,44411486.14
2019-06-13,'000402,金 融 街,7.24,7.29,7.19,7.27,7.26,-0.02,-0.2755,5630316,40739828.14
2019-06-12,'000402,金 融 街,7.26,7.39,7.22,7.39,7.36,-0.1,-1.3587,11171419,81296230.43
2019-06-11,'000402,金 融 街,7.66,7.66,7.45,7.45,7.44,0.22,2.957,12292770,93016176.21
2019-06-10,'000402,金 融 街,7.44,7.48,7.33,7.37,7.37,0.07,0.9498,6163020,45820450.78
2019-06-06,'000402,金 融 街,7.37,7.44,7.34,7.35,7.37,0.0,0.0,7002216,51735520.95
2019-06-05,'000402,金 融 街,7.37,7.44,7.3,7.33,7.27,0.1,1.3755,9242942,68155847.26
2019-06-04,'000402,金 融 街,7.27,7.3,7.2,7.24,7.24,0.03,0.4144,7485219,54362334.33
2019-06-03,'000402,金 融 街,7.24,7.38,7.17,7.33,7.33,-0.09,-1.2278,10129613,73341463.28
2019-05-31,'000402,金 融 街,7.33,7.41,7.31,7.34,7.33,0.0,0.0,8746248,64325160.04
2019-05-30,'000402,金 融 街,7.33,7.56,7.27,7.53,7.53,-0.2,-2.656,15769472,116120047.32
2019-05-29,'000402,金 融 街,7.53,7.59,7.5,7.57,7.59,-0.06,-0.7905,6704936,50580428.71
2019-05-28,'000402,金 融 街,7.59,7.65,7.54,7.59,7.61,-0.02,-0.2628,10021740,76148848.13
2019-05-27,'000402,金 融 街,7.61,7.65,7.46,7.6,7.58,0.03,0.3958,12296313,93038660.28
2019-05-24,'000402,金 融 街,7.58,7.66,7.49,7.49,7.51,0.07,0.9321,7491398,56782732.76
2019-05-23,'000402,金 融 街,7.51,7.67,7.47,7.63,7.66,-0.15,-1.9582,7454169,56061577.15
2019-05-22,'000402,金 融 街,7.66,7.76,7.63,7.73,7.7,-0.04,-0.5195,8227670,63296231.96
2019-05-21,'000402,金 融 街,7.7,7.77,7.6,7.63,7.6,0.1,1.3158,7421894,57157403.52
2019-05-20,'000402,金 融 街,7.6,7.8,7.53,7.75,7.7,-0.1,-1.2987,7335526,55894052.34
2019-05-17,'000402,金 融 街,7.7,7.98,7.68,7.96,7.94,-0.24,-3.0227,6666738,51977697.18
2019-05-16,'000402,金 融 街,7.94,7.97,7.86,7.91,7.89,0.05,0.6337,5726715,45335815.69
2019-05-15,'000402,金 融 街,7.89,7.92,7.77,7.8,7.76,0.13,1.6753,7856626,61687693.56
2019-05-14,'000402,金 融 街,7.76,7.87,7.7,7.81,7.91,-0.15,-1.8963,9253355,72014955.72
2019-05-13,'000402,金 融 街,7.91,7.96,7.84,7.86,7.92,-0.01,-0.1263,5069698,40042224.7
2019-05-10,'000402,金 融 街,7.92,7.94,7.75,7.76,7.75,0.17,2.1935,8121273,63920984.53
2019-05-09,'000402,金 融 街,7.75,7.94,7.66,7.9,7.94,-0.19,-2.3929,8229818,63915565.84
2019-05-08,'000402,金 融 街,7.94,7.98,7.71,7.76,7.84,0.1,1.2755,11337120,89561314.42
2019-05-07,'000402,金 融 街,7.84,7.85,7.72,7.72,7.7,0.14,1.8182,9385307,73180918.83
2019-05-06,'000402,金 融 街,7.7,8.06,7.61,8.03,8.23,-0.53,-6.4399,14536681,114022147.02
2019-04-30,'000402,金 融 街,8.23,8.26,8.17,8.23,8.24,-0.01,-0.1214,13555568,111368726.22
2019-04-29,'000402,金 融 街,8.24,8.28,8.16,8.2,8.22,0.02,0.2433,11474787,94214443.88
2019-04-26,'000402,金 融 街,8.22,8.43,8.21,8.33,8.33,-0.11,-1.3205,10228337,84985483.99
2019-04-25,'000402,金 融 街,8.33,8.57,8.3,8.51,8.55,-0.22,-2.5731,9225833,78046889.88
2019-04-24,'000402,金 融 街,8.55,8.58,8.44,8.56,8.55,0.0,0.0,11936856,101439042.12
2019-04-23,'000402,金 融 街,8.55,8.62,8.51,8.56,8.56,-0.01,-0.1168,11409922,97720874.39
2019-04-22,'000402,金 融 街,8.56,8.96,8.5,8.94,8.95,-0.39,-4.3575,22400792,194148758.68
2019-04-19,'000402,金 融 街,8.95,9.0,8.81,8.98,8.93,0.02,0.224,9681417,86081167.77
2019-04-18,'000402,金 融 街,8.93,9.02,8.91,8.97,8.99,-0.06,-0.6674,8609900,77132688.16
2019-04-17,'000402,金 融 街,8.99,9.15,8.94,9.1,9.1,-0.11,-1.2088,12525160,113098403.26
2019-04-16,'000402,金 融 街,9.1,9.12,8.74,8.95,8.96,0.14,1.5625,16883667,150907589.6
2019-04-15,'000402,金 融 街,8.96,9.3,8.95,9.21,9.09,-0.13,-1.4301,14357152,131258279.1
2019-04-12,'000402,金 融 街,9.09,9.3,9.03,9.3,9.17,-0.08,-0.8724,10587132,96457767.19
2019-04-11,'000402,金 融 街,9.17,9.35,9.03,9.27,9.27,-0.1,-1.0787,21067665,193534611.86
