日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000403,振兴生化,27.19,27.56,27.11,27.5,26.7,0.49,1.8352,434342,11841358.76
2019-06-28,'000403,振兴生化,26.7,27.16,26.7,27.06,27.12,-0.42,-1.5487,416922,11203970.4
2019-06-27,'000403,振兴生化,27.12,27.42,27.04,27.1,27.1,0.02,0.0738,351059,9553473.23
2019-06-26,'000403,振兴生化,27.1,27.32,27.06,27.18,27.16,-0.06,-0.2209,333200,9054638.0
2019-06-25,'000403,振兴生化,27.16,27.52,27.05,27.05,27.19,-0.03,-0.1103,406640,11066471.2
2019-06-24,'000403,振兴生化,27.19,27.4,26.89,27.15,27.31,-0.12,-0.4394,511915,13887661.1
2019-06-21,'000403,振兴生化,27.31,27.95,26.65,27.39,27.4,-0.09,-0.3285,1284233,34925243.92
2019-06-20,'000403,振兴生化,27.4,28.68,26.0,26.14,26.47,0.93,3.5134,1902096,51592806.67
2019-06-19,'000403,振兴生化,26.47,26.47,25.56,25.76,25.53,0.94,3.6819,1444057,37483673.36
2019-06-18,'000403,振兴生化,25.53,25.62,25.31,25.62,25.31,0.22,0.8692,287345,7332229.45
2019-06-17,'000403,振兴生化,25.31,25.73,25.05,25.62,25.45,-0.14,-0.5501,204942,5216583.94
2019-06-14,'000403,振兴生化,25.45,25.74,25.41,25.73,25.57,-0.12,-0.4693,379959,9726249.37
2019-06-13,'000403,振兴生化,25.57,25.95,25.42,25.7,25.7,-0.13,-0.5058,276044,7077593.46
2019-06-12,'000403,振兴生化,25.7,26.5,25.46,25.58,25.58,0.12,0.4691,621505,16031447.1
2019-06-11,'000403,振兴生化,25.58,25.88,24.9,25.04,25.01,0.57,2.2791,668669,16929760.26
2019-06-10,'000403,振兴生化,25.01,25.26,24.83,25.26,25.0,0.01,0.04,287641,7195121.07
2019-06-06,'000403,振兴生化,25.0,25.55,24.83,24.83,25.35,-0.35,-1.3807,697678,17561482.33
2019-06-05,'000403,振兴生化,25.35,25.7,23.49,23.49,24.88,0.47,1.8891,980267,24513552.72
2019-06-04,'000403,振兴生化,24.88,25.45,24.5,25.45,25.38,-0.5,-1.9701,1227822,30510153.44
2019-06-03,'000403,振兴生化,25.38,26.28,24.42,26.14,26.15,-0.77,-2.9446,3013073,75764231.29
2019-05-31,'000403,振兴生化,26.15,26.97,26.15,26.95,26.9,-0.75,-2.7881,1228889,32594593.71
2019-05-30,'000403,振兴生化,26.9,28.4,26.41,28.4,28.02,-1.12,-3.9971,2266804,61445424.85
2019-05-29,'000403,振兴生化,28.02,28.77,27.9,28.77,28.33,-0.31,-1.0942,734716,20653964.62
2019-05-28,'000403,振兴生化,28.33,28.86,28.3,28.8,28.77,-0.44,-1.5294,785315,22436464.0
2019-05-27,'000403,振兴生化,28.77,28.85,28.0,28.58,28.58,0.19,0.6648,922311,26205057.67
2019-05-24,'000403,振兴生化,28.58,29.16,28.52,28.85,29.07,-0.49,-1.6856,1712291,49186553.11
2019-05-23,'000403,振兴生化,29.07,29.51,28.8,29.17,29.0,0.07,0.2414,612278,17766995.09
2019-05-22,'000403,振兴生化,29.0,29.45,28.84,29.38,29.51,-0.51,-1.7282,1846406,53530242.13
2019-05-21,'000403,振兴生化,29.51,30.4,29.4,29.9,29.9,-0.39,-1.3043,1108966,33037118.02
2019-05-20,'000403,振兴生化,29.9,29.98,29.3,29.56,29.69,0.21,0.7073,1199985,35476423.68
2019-05-17,'000403,振兴生化,29.69,30.29,29.62,30.29,30.32,-0.63,-2.0778,1441858,43124694.43
2019-05-16,'000403,振兴生化,30.32,30.62,29.81,30.62,30.62,-0.3,-0.9798,1163936,35153725.62
2019-05-15,'000403,振兴生化,30.62,31.53,30.02,30.02,30.03,0.59,1.9647,2358184,72403232.1
2019-05-14,'000403,振兴生化,30.03,30.11,29.6,29.9,30.24,-0.21,-0.6944,1424143,42694575.26
2019-05-13,'000403,振兴生化,30.24,30.42,29.67,30.04,30.29,-0.05,-0.1651,1558002,46776231.76
2019-05-10,'000403,振兴生化,30.29,30.49,28.55,28.87,28.7,1.59,5.5401,3409255,101185486.67
2019-05-09,'000403,振兴生化,28.7,28.93,28.19,28.36,28.55,0.15,0.5254,934625,26708196.29
2019-05-08,'000403,振兴生化,28.55,29.0,28.41,28.48,29.03,-0.48,-1.6535,1234386,35466655.22
2019-05-07,'000403,振兴生化,29.03,29.03,28.18,28.65,28.6,0.43,1.5035,1287639,36889776.19
2019-05-06,'000403,振兴生化,28.6,29.2,28.0,29.0,29.51,-0.91,-3.0837,1980443,56428278.83
2019-04-30,'000403,振兴生化,29.51,29.6,28.2,28.5,29.2,0.31,1.0616,2906916,84695995.38
2019-04-29,'000403,振兴生化,29.2,29.5,28.59,28.59,28.58,0.62,2.1693,2727707,79500170.81
2019-04-26,'000403,振兴生化,28.58,28.93,28.05,28.57,28.57,0.01,0.035,924725,26308197.29
2019-04-25,'000403,振兴生化,28.57,29.3,28.34,29.3,29.23,-0.66,-2.258,1141807,32829319.41
2019-04-24,'000403,振兴生化,29.23,29.3,28.5,28.71,28.72,0.51,1.7758,1158264,33564071.37
2019-04-23,'000403,振兴生化,28.72,29.03,28.7,29.03,28.9,-0.18,-0.6228,806612,23284159.33
2019-04-22,'000403,振兴生化,28.9,29.4,28.88,29.25,29.24,-0.34,-1.1628,861273,25046980.95
2019-04-19,'000403,振兴生化,29.24,29.54,28.65,29.19,29.21,0.03,0.1027,1054448,30749391.85
2019-04-18,'000403,振兴生化,29.21,29.57,28.65,28.65,28.77,0.44,1.5294,2117697,62076033.29
2019-04-17,'000403,振兴生化,28.77,29.48,28.03,28.03,28.02,0.75,2.6767,2360748,67867961.68
2019-04-16,'000403,振兴生化,28.02,28.07,27.6,27.62,27.78,0.24,0.8639,622365,17308974.17
2019-04-15,'000403,振兴生化,27.78,28.05,27.78,27.94,27.63,0.15,0.5429,694356,19388788.88
2019-04-12,'000403,振兴生化,27.63,27.94,27.51,27.56,27.65,-0.02,-0.0723,623468,17220235.0
2019-04-11,'000403,振兴生化,27.65,28.32,27.58,28.2,28.15,-0.5,-1.7762,1142774,31837023.16
