日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000404,长虹华意,4.36,4.37,4.26,4.29,4.23,0.13,3.0733,4224424,18293818.4
2019-06-28,'000404,长虹华意,4.23,4.28,4.19,4.27,4.27,-0.04,-0.9368,3018025,12798450.75
2019-06-27,'000404,长虹华意,4.27,4.32,4.27,4.29,4.28,-0.01,-0.2336,2280900,9809523.75
2019-06-26,'000404,长虹华意,4.28,4.32,4.25,4.28,4.3,-0.02,-0.4651,1940797,8331123.41
2019-06-25,'000404,长虹华意,4.3,4.38,4.24,4.38,4.37,-0.07,-1.6018,4278431,18394428.62
2019-06-24,'000404,长虹华意,4.37,4.37,4.29,4.34,4.35,0.02,0.4598,3148306,13644527.48
2019-06-21,'000404,长虹华意,4.35,4.37,4.28,4.3,4.28,0.07,1.6355,3990202,17299652.16
2019-06-20,'000404,长虹华意,4.28,4.29,4.18,4.18,4.2,0.08,1.9048,3617084,15403656.31
2019-06-19,'000404,长虹华意,4.2,4.26,4.19,4.22,4.16,0.04,0.9615,2901986,12259212.43
2019-06-18,'000404,长虹华意,4.16,4.17,4.12,4.15,4.16,0.0,0.0,1870855,7762609.88
2019-06-17,'000404,长虹华意,4.16,4.21,4.14,4.18,4.15,0.01,0.241,2618034,10928536.03
2019-06-14,'000404,长虹华意,4.15,4.29,4.14,4.29,4.28,-0.13,-3.0374,3515275,14775718.5
2019-06-13,'000404,长虹华意,4.28,4.29,4.24,4.24,4.24,0.04,0.9434,2045456,8722339.0
2019-06-12,'000404,长虹华意,4.24,4.31,4.24,4.28,4.28,-0.04,-0.9346,1908875,8151548.1
2019-06-11,'000404,长虹华意,4.28,4.28,4.14,4.15,4.14,0.14,3.3816,2906369,12280140.31
2019-06-10,'000404,长虹华意,4.14,4.2,4.13,4.14,4.15,-0.01,-0.241,2120095,8814343.8
2019-06-06,'000404,长虹华意,4.15,4.24,4.13,4.23,4.21,-0.06,-1.4252,1837576,7671180.95
2019-06-05,'000404,长虹华意,4.21,4.27,4.2,4.25,4.21,0.0,0.0,1300500,5504228.75
2019-06-04,'000404,长虹华意,4.21,4.28,4.19,4.26,4.26,-0.05,-1.1737,2328300,9841528.75
2019-06-03,'000404,长虹华意,4.26,4.34,4.23,4.32,4.33,-0.07,-1.6166,1990719,8509322.5
2019-05-31,'000404,长虹华意,4.33,4.37,4.3,4.32,4.32,0.01,0.2315,1782736,7724512.6
2019-05-30,'000404,长虹华意,4.34,4.36,4.29,4.36,4.37,-0.03,-0.6865,2033395,8785874.2
