日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2003-04-29,'000405,ST 鑫 光,0.0,0.0,0.0,0.0,2.86,None,None,0,0.0
2003-04-28,'000405,ST 鑫 光,0.0,0.0,0.0,0.0,2.86,None,None,0,0.0
2003-04-25,'000405,ST 鑫 光,2.86,3.0,2.86,3.0,3.01,-0.15,-4.9834,4337256,12646409.12
2003-04-24,'000405,ST 鑫 光,3.01,3.14,3.0,3.09,3.12,-0.11,-3.5256,2735048,8353243.45
2003-04-23,'000405,ST 鑫 光,3.12,3.18,2.95,3.03,3.03,0.09,2.9703,4202139,12900037.16
2003-04-22,'000405,ST 鑫 光,3.03,3.17,3.01,3.11,3.17,-0.14,-4.4164,3146373,9634324.28
2003-04-21,'000405,ST 鑫 光,3.17,3.32,3.17,3.32,3.34,-0.17,-5.0898,2968639,9528386.96
2003-04-18,'000405,ST 鑫 光,3.34,3.42,3.33,3.4,3.4,-0.06,-1.7647,1855337,6220489.78
2003-04-17,'000405,ST 鑫 光,3.4,3.44,3.34,3.4,3.38,0.02,0.5917,2340316,7910005.54
2003-04-16,'000405,ST 鑫 光,3.38,3.47,3.33,3.42,3.41,-0.03,-0.8798,3308684,11123713.59
2003-04-15,'000405,ST 鑫 光,3.41,3.5,3.4,3.49,3.47,-0.06,-1.7291,2648427,9100248.37
2003-04-14,'000405,ST 鑫 光,3.47,3.48,3.31,3.33,3.38,0.09,2.6627,3478940,11843700.28
2003-04-11,'000405,ST 鑫 光,3.38,3.47,3.37,3.47,3.5,-0.12,-3.4286,3650543,12414219.33
2003-04-10,'000405,ST鑫光,3.5,3.55,3.34,3.38,3.52,-0.02,-0.5682,5469390,18600571.88
2003-04-09,'000405,ST 鑫 光,3.52,3.68,3.52,3.68,3.7,-0.18,-4.8649,2381600,8414336.03
2003-04-08,'000405,ST 鑫 光,3.7,3.91,3.68,3.78,3.74,-0.04,-1.0695,6854751,25925069.32
2003-04-07,'000405,ST 鑫 光,3.74,3.74,3.56,3.56,3.56,0.18,5.0562,3942106,14670231.2
2003-04-04,'000405,ST 鑫 光,3.56,3.68,3.56,3.6,3.63,-0.07,-1.9284,2326780,8390865.18
2003-04-03,'000405,ST 鑫 光,3.63,3.7,3.55,3.68,3.7,-0.07,-1.8919,3096353,11210779.84
2003-04-02,'000405,ST 鑫 光,3.7,3.75,3.64,3.68,3.68,0.02,0.5435,1933828,7154439.53
2003-04-01,'000405,ST 鑫 光,3.68,3.74,3.65,3.71,3.71,-0.03,-0.8086,1560933,5744213.2
2003-03-31,'000405,ST 鑫 光,3.71,3.78,3.64,3.68,3.71,0.0,0.0,1550321,5732100.61
2003-03-28,'000405,ST 鑫 光,3.71,3.77,3.68,3.73,3.75,-0.04,-1.0667,1742765,6481969.07
2003-03-27,'000405,ST鑫光,3.75,3.78,3.67,3.72,3.72,0.03,0.8065,2378035,8892647.73
2003-03-26,'000405,ST 鑫 光,3.72,3.73,3.6,3.6,3.63,0.09,2.4793,1857521,6828028.94
2003-03-25,'000405,ST 鑫 光,3.63,3.73,3.61,3.71,3.71,-0.08,-2.1563,1600803,5870421.97
2003-03-24,'000405,ST 鑫 光,3.71,3.76,3.55,3.6,3.61,0.1,2.7701,2806212,10366455.48
2003-03-21,'000405,ST 鑫 光,3.61,3.63,3.46,3.53,3.54,0.07,1.9774,2915386,10358989.31
2003-03-20,'000405,ST 鑫 光,3.54,3.68,3.5,3.67,3.67,-0.13,-3.5422,2626396,9349791.07
2003-03-19,'000405,ST 鑫 光,3.67,3.75,3.64,3.68,3.7,-0.03,-0.8108,1471302,5407094.9
2003-03-18,'000405,ST 鑫 光,3.7,3.86,3.68,3.81,3.82,-0.12,-3.1414,1833835,6892984.52
2003-03-17,'000405,ST 鑫 光,3.82,3.93,3.78,3.92,3.92,-0.1,-2.551,1584062,6060714.6
2003-03-14,'000405,ST 鑫 光,3.92,3.97,3.87,3.88,3.91,0.01,0.2558,1233526,4860961.98
2003-03-13,'000405,ST 鑫 光,3.91,3.97,3.88,3.88,3.92,-0.01,-0.2551,1076087,4215041.04
2003-03-12,'000405,ST 鑫 光,3.92,3.93,3.84,3.91,3.93,-0.01,-0.2545,1005369,3913298.81
2003-03-11,'000405,ST 鑫 光,3.93,3.94,3.8,3.83,3.87,0.06,1.5504,1997991,7740621.11
2003-03-10,'000405,ST 鑫 光,3.87,4.05,3.86,4.05,4.06,-0.19,-4.6798,3167208,12391709.89
2003-03-07,'000405,ST 鑫 光,4.06,4.12,4.02,4.02,4.06,0.0,0.0,1707875,6965274.24
2003-03-06,'000405,ST 鑫 光,4.06,4.22,4.04,4.2,4.24,-0.18,-4.2453,3685746,15071618.17
2003-03-05,'000405,ST 鑫 光,4.24,4.31,4.2,4.31,4.3,-0.06,-1.3953,1443527,6098129.65
2003-03-04,'000405,ST 鑫 光,4.3,4.33,4.26,4.26,4.25,0.05,1.1765,1298085,5564136.68
2003-03-03,'000405,ST 鑫 光,4.25,4.34,4.21,4.34,4.38,-0.13,-2.968,2741561,11655493.08
2003-02-28,'000405,ST 鑫 光,4.38,4.45,4.37,4.4,4.34,0.04,0.9217,1697077,7474091.49
2003-02-27,'000405,ST 鑫 光,4.34,4.4,4.33,4.4,4.4,-0.06,-1.3636,959605,4175695.8
2003-02-26,'000405,ST 鑫 光,4.4,4.45,4.37,4.42,4.42,-0.02,-0.4525,659054,2899104.32
2003-02-25,'000405,ST 鑫 光,4.42,4.44,4.28,4.32,4.31,0.11,2.5522,1432490,6267258.34
2003-02-24,'000405,ST 鑫 光,4.31,4.36,4.25,4.3,4.3,0.01,0.2326,838025,3610862.73
2003-02-21,'000405,ST 鑫 光,4.3,4.5,4.3,4.5,4.48,-0.18,-4.0179,1954135,8517838.88
2003-02-20,'000405,ST 鑫 光,4.48,4.54,4.35,4.35,4.35,0.13,2.9885,3290025,14726295.83
2003-02-19,'000405,ST 鑫 光,4.35,4.36,4.29,4.33,4.36,-0.01,-0.2294,1226042,5309630.46
2003-02-18,'000405,ST 鑫 光,4.36,4.39,4.21,4.26,4.3,0.06,1.3953,2193880,9452626.19
2003-02-17,'000405,ST 鑫 光,4.3,4.56,4.3,4.51,4.53,-0.23,-5.0773,5015361,22014193.81
2003-02-14,'000405,ST 鑫 光,4.53,4.62,4.5,4.58,4.64,-0.11,-2.3707,3865795,17553495.98
2003-02-13,'000405,ST 鑫 光,4.64,4.8,4.61,4.63,4.73,-0.09,-1.9027,4718934,22100850.56
2003-02-12,'000405,ST 鑫 光,4.73,4.74,4.64,4.68,4.7,0.03,0.6383,1472335,6911136.56
2003-02-11,'000405,ST 鑫 光,4.7,4.72,4.62,4.67,4.67,0.03,0.6424,1142700,5346987.01
2003-02-10,'000405,ST 鑫 光,4.67,4.7,4.47,4.5,4.52,0.15,3.3186,1797246,8285707.7
2003-01-29,'000405,ST 鑫 光,4.52,4.66,4.5,4.59,4.62,-0.1,-2.1645,2154086,9789616.28
2003-01-28,'000405,ST 鑫 光,4.62,4.71,4.55,4.55,4.61,0.01,0.2169,1221177,5661680.76
2003-01-27,'000405,ST 鑫 光,4.61,4.65,4.45,4.5,4.51,0.1,2.2173,1579084,7247255.21
