日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000407,胜利股份,3.97,3.97,3.91,3.94,3.87,0.1,2.584,7830984,30899013.28
2019-06-28,'000407,胜利股份,3.87,3.93,3.82,3.93,3.91,-0.04,-1.023,6489664,25058625.76
2019-06-27,'000407,胜利股份,3.91,3.98,3.9,3.96,3.93,-0.02,-0.5089,7452874,29278607.56
2019-06-26,'000407,胜利股份,3.93,3.94,3.84,3.88,3.88,0.05,1.2887,7266558,28452540.26
2019-06-25,'000407,胜利股份,3.88,3.94,3.82,3.94,3.94,-0.06,-1.5228,8231966,31935677.08
2019-06-24,'000407,胜利股份,3.94,3.98,3.91,3.95,3.95,-0.01,-0.2532,7869300,30988815.6
2019-06-21,'000407,胜利股份,3.95,4.03,3.92,3.97,3.93,0.02,0.5089,14347620,57009080.49
2019-06-20,'000407,胜利股份,3.93,3.94,3.86,3.87,3.86,0.07,1.8135,8206081,32095213.72
2019-06-19,'000407,胜利股份,3.86,3.92,3.85,3.89,3.83,0.03,0.7833,8613474,33509750.76
2019-06-18,'000407,胜利股份,3.83,3.86,3.79,3.82,3.81,0.02,0.5249,3610331,13825247.42
2019-06-17,'000407,胜利股份,3.81,3.87,3.78,3.78,3.78,0.03,0.7937,5874000,22451355.0
2019-06-14,'000407,胜利股份,3.78,3.94,3.77,3.92,3.93,-0.15,-3.8168,6845500,26409169.0
2019-06-13,'000407,胜利股份,3.93,3.94,3.84,3.88,3.88,0.05,1.2887,6001843,23415987.95
2019-06-12,'000407,胜利股份,3.88,3.95,3.88,3.91,3.92,-0.04,-1.0204,5032973,19642376.59
2019-06-11,'000407,胜利股份,3.92,3.94,3.78,3.79,3.79,0.13,3.4301,7039472,27301056.66
2019-06-10,'000407,胜利股份,3.79,3.83,3.71,3.8,3.79,0.0,0.0,5568500,21008254.0
2019-06-06,'000407,胜利股份,3.79,3.88,3.75,3.86,3.85,-0.06,-1.5584,5580234,21163862.62
2019-06-05,'000407,胜利股份,3.85,3.9,3.85,3.88,3.85,0.0,0.0,5925000,22956117.3
2019-06-04,'000407,胜利股份,3.85,3.9,3.82,3.88,3.89,-0.04,-1.0283,5905226,22737529.9
2019-06-03,'000407,胜利股份,3.89,4.0,3.86,3.98,3.98,-0.09,-2.2613,8564758,33487119.18
2019-05-31,'000407,胜利股份,3.98,4.08,3.98,4.07,4.01,-0.03,-0.7481,9881112,39670383.76
2019-05-30,'000407,胜利股份,4.01,4.03,3.94,3.95,3.95,0.06,1.519,11574224,46174240.5
2019-05-29,'000407,胜利股份,3.95,3.98,3.91,3.91,3.95,0.0,0.0,5273306,20856326.48
2019-05-28,'000407,胜利股份,3.95,4.0,3.93,3.95,3.95,0.0,0.0,6764000,26885378.0
2019-05-27,'000407,胜利股份,3.95,3.96,3.84,3.89,3.86,0.09,2.3316,6627861,25968273.3
2019-05-24,'000407,胜利股份,3.86,3.95,3.85,3.88,3.9,-0.04,-1.0256,6726134,26105334.16
2019-05-23,'000407,胜利股份,3.9,4.04,3.85,4.04,4.04,-0.14,-3.4653,14116090,55523357.1
2019-05-22,'000407,胜利股份,4.04,4.12,4.0,4.1,4.12,-0.08,-1.9417,8623308,35000436.2
2019-05-21,'000407,胜利股份,4.12,4.13,4.01,4.07,4.07,0.05,1.2285,9480665,38851943.53
2019-05-20,'000407,胜利股份,4.07,4.13,3.96,4.0,4.02,0.05,1.2438,12291178,49705438.84
2019-05-17,'000407,胜利股份,4.02,4.21,4.0,4.2,4.19,-0.17,-4.0573,17087529,69569719.29
2019-05-16,'000407,胜利股份,4.19,4.21,4.14,4.15,4.13,0.06,1.4528,12853644,53740771.19
2019-05-15,'000407,胜利股份,4.13,4.19,4.1,4.12,4.08,0.05,1.2255,14825163,61578117.27
2019-05-14,'000407,胜利股份,4.08,4.16,4.07,4.09,4.17,-0.09,-2.1583,13315929,54727964.61
2019-05-13,'000407,胜利股份,4.17,4.31,4.08,4.12,4.16,0.01,0.2404,26515739,111309159.22
2019-05-10,'000407,胜利股份,4.16,4.19,3.96,4.03,3.99,0.17,4.2607,17857492,73092004.06
2019-05-09,'000407,胜利股份,3.99,4.1,3.98,4.05,4.06,-0.07,-1.7241,10045910,40501924.78
2019-05-08,'000407,胜利股份,4.06,4.14,3.93,4.0,4.04,0.02,0.495,16318116,66358471.1
2019-05-07,'000407,胜利股份,4.04,4.09,3.96,4.0,3.97,0.07,1.7632,14901071,59925530.71
2019-05-06,'000407,胜利股份,3.97,4.23,3.93,4.14,4.33,-0.36,-8.3141,20347200,82947601.88
2019-04-30,'000407,胜利股份,4.33,4.46,4.28,4.33,4.32,0.01,0.2315,18707412,82004428.96
2019-04-29,'000407,胜利股份,4.32,4.72,4.3,4.68,4.78,-0.46,-9.6234,33898900,150503445.01
2019-04-26,'000407,胜利股份,4.78,4.96,4.71,4.76,4.79,-0.01,-0.2088,21776988,105707722.59
2019-04-25,'000407,胜利股份,4.79,5.13,4.7,5.1,5.12,-0.33,-6.4453,23304563,114651878.88
2019-04-24,'000407,胜利股份,5.12,5.13,4.98,5.02,5.02,0.1,1.992,18363483,93007093.5
2019-04-23,'000407,胜利股份,5.02,5.24,4.98,5.16,5.16,-0.14,-2.7132,23085079,117383176.84
2019-04-22,'000407,胜利股份,5.16,5.36,5.1,5.25,5.2,-0.04,-0.7692,30435552,159395497.97
2019-04-19,'000407,胜利股份,5.2,5.3,5.09,5.1,5.07,0.13,2.5641,32696612,170105771.2
2019-04-18,'000407,胜利股份,5.07,5.18,5.05,5.09,5.17,-0.1,-1.9342,20066487,102462034.35
2019-04-17,'000407,胜利股份,5.17,5.2,4.97,5.02,4.98,0.19,3.8153,39407440,201116659.56
2019-04-16,'000407,胜利股份,4.98,4.98,4.73,4.77,4.81,0.17,3.5343,19325623,93926003.69
2019-04-15,'000407,胜利股份,4.81,5.03,4.81,4.99,4.95,-0.14,-2.8283,16696397,82269654.39
2019-04-12,'000407,胜利股份,4.95,4.96,4.83,4.89,4.88,0.07,1.4344,15493750,75996875.91
2019-04-11,'000407,胜利股份,4.88,4.95,4.83,4.89,4.91,-0.03,-0.611,12484758,60978474.12
2019-04-10,'000407,胜利股份,4.91,4.97,4.82,4.93,4.98,-0.07,-1.4056,17532453,85702299.35
2019-04-09,'000407,胜利股份,4.98,5.11,4.9,5.09,5.14,-0.16,-3.1128,28515319,141528288.99
2019-04-08,'000407,胜利股份,5.14,5.47,5.02,5.09,5.02,0.12,2.3904,47737650,247157297.6
2019-04-04,'000407,胜利股份,5.02,5.04,4.9,4.94,4.95,0.07,1.4141,27654512,137456191.91
2019-04-03,'000407,胜利股份,4.95,4.96,4.85,4.91,4.93,0.02,0.4057,20532539,100620157.46
2019-04-02,'000407,胜利股份,4.93,5.09,4.83,4.88,4.88,0.05,1.0246,31216911,153824604.48
2019-04-01,'000407,胜利股份,4.88,4.93,4.71,4.76,4.72,0.16,3.3898,25712623,124381261.07
2019-03-29,'000407,胜利股份,4.72,4.74,4.52,4.62,4.66,0.06,1.2876,19325324,89649271.11
2019-03-28,'000407,胜利股份,4.66,4.84,4.65,4.83,4.85,-0.19,-3.9175,16258100,76868832.0
2019-03-27,'000407,胜利股份,4.85,4.86,4.66,4.73,4.67,0.18,3.8544,20186118,96204258.19
2019-03-26,'000407,胜利股份,4.67,4.82,4.64,4.79,4.77,-0.1,-2.0964,16529512,77728228.28
2019-03-25,'000407,胜利股份,4.77,4.84,4.72,4.79,4.87,-0.1,-2.0534,16957667,81176920.39
2019-03-22,'000407,胜利股份,4.87,4.91,4.76,4.91,4.93,-0.06,-1.217,24120524,116416152.48
2019-03-21,'000407,胜利股份,4.93,5.03,4.87,4.92,4.92,0.01,0.2033,44460010,220287229.23
2019-03-20,'000407,胜利股份,4.92,5.09,4.85,5.09,5.17,-0.25,-4.8356,68510147,338899040.39
2019-03-19,'000407,胜利股份,5.17,5.17,4.63,4.67,4.7,0.47,10.0,70340063,351242777.08
2019-03-18,'000407,胜利股份,4.7,4.75,4.51,4.52,4.48,0.22,4.9107,33499415,156333877.65
2019-03-15,'000407,胜利股份,4.48,4.55,4.42,4.44,4.44,0.04,0.9009,13965701,62614683.48
2019-03-14,'000407,胜利股份,4.44,4.74,4.36,4.6,4.58,-0.14,-3.0568,21251522,95981301.51
2019-03-13,'000407,胜利股份,4.58,4.78,4.56,4.69,4.69,-0.11,-2.3454,22319915,104377230.43
2019-03-12,'000407,胜利股份,4.69,4.71,4.52,4.64,4.61,0.08,1.7354,29965983,139051897.37
2019-03-11,'000407,胜利股份,4.61,4.63,4.45,4.51,4.44,0.17,3.8288,21793655,99248707.82
2019-03-08,'000407,胜利股份,4.44,4.75,4.44,4.74,4.83,-0.39,-8.0745,31053607,143540508.35
2019-03-07,'000407,胜利股份,4.83,4.95,4.68,4.81,4.85,-0.02,-0.4124,56097764,269161107.55
2019-03-06,'000407,胜利股份,4.85,4.85,4.41,4.44,4.41,0.44,9.9773,62320949,295967594.57
2019-03-05,'000407,胜利股份,4.41,4.41,4.26,4.29,4.31,0.1,2.3202,23766515,103210780.93
2019-03-04,'000407,胜利股份,4.31,4.37,4.22,4.25,4.26,0.05,1.1737,31445830,134875713.98
2019-03-01,'000407,胜利股份,4.26,4.27,4.12,4.19,4.19,0.07,1.6706,17585420,73764150.55
2019-02-28,'000407,胜利股份,4.19,4.24,4.12,4.21,4.21,-0.02,-0.4751,15929462,66633985.56
2019-02-27,'000407,胜利股份,4.21,4.27,4.18,4.23,4.25,-0.04,-0.9412,16260243,68665473.84
2019-02-26,'000407,胜利股份,4.25,4.35,4.21,4.31,4.27,-0.02,-0.4684,20133412,86110205.28
2019-02-25,'000407,胜利股份,4.27,4.28,4.12,4.12,4.11,0.16,3.8929,25308593,106138686.62
2019-02-22,'000407,胜利股份,4.11,4.11,3.97,4.07,4.09,0.02,0.489,10960009,44448859.46
2019-02-21,'000407,胜利股份,4.09,4.22,4.06,4.08,4.08,0.01,0.2451,14137906,58566187.66
2019-02-20,'000407,胜利股份,4.08,4.1,4.05,4.07,4.08,0.0,0.0,4954753,20194039.18
2019-02-19,'000407,胜利股份,4.08,4.11,4.04,4.07,4.08,0.0,0.0,7881676,32087237.22
2019-02-18,'000407,胜利股份,4.08,4.09,3.99,3.99,3.98,0.1,2.5126,10652011,43181379.31
2019-02-15,'000407,胜利股份,3.98,4.03,3.96,4.0,4.01,-0.03,-0.7481,5849530,23369063.8
2019-02-14,'000407,胜利股份,4.01,4.04,3.95,4.0,3.99,0.02,0.5013,7014212,28051666.41
2019-02-13,'000407,胜利股份,3.99,4.05,3.94,3.94,3.9,0.09,2.3077,9747436,38933148.96
2019-02-12,'000407,胜利股份,3.9,3.94,3.88,3.88,3.88,0.02,0.5155,4564449,17834521.59
2019-02-11,'000407,胜利股份,3.88,3.91,3.74,3.75,3.74,0.14,3.7433,8566360,32909248.0
2019-02-01,'000407,胜利股份,3.74,3.75,3.65,3.65,3.64,0.1,2.7473,2804804,10417354.92
2019-01-31,'000407,胜利股份,3.64,3.72,3.62,3.7,3.71,-0.07,-1.8868,5146045,18888600.21
2019-01-30,'000407,胜利股份,3.71,3.78,3.7,3.72,3.73,-0.02,-0.5362,2724600,10173356.0
2019-01-29,'000407,胜利股份,3.73,3.81,3.6,3.81,3.81,-0.08,-2.0997,4772051,17751522.21
2019-01-28,'000407,胜利股份,3.81,3.88,3.8,3.86,3.86,-0.05,-1.2953,6557000,25089645.0
2019-01-25,'000407,胜利股份,3.86,3.93,3.86,3.91,3.9,-0.04,-1.0256,4318800,16842424.0
2019-01-24,'000407,胜利股份,3.9,3.94,3.89,3.92,3.92,-0.02,-0.5102,4160800,16296805.0
2019-01-23,'000407,胜利股份,3.92,3.94,3.89,3.92,3.94,-0.02,-0.5076,4528064,17714338.24
2019-01-22,'000407,胜利股份,3.94,3.97,3.9,3.91,3.92,0.02,0.5102,6517250,25613426.43
2019-01-21,'000407,胜利股份,3.92,3.96,3.89,3.94,3.94,-0.02,-0.5076,7089700,27848507.0
2019-01-18,'000407,胜利股份,3.94,4.1,3.92,3.96,3.86,0.08,2.0725,11358221,45108499.74
2019-01-17,'000407,胜利股份,3.86,3.91,3.85,3.89,3.9,-0.04,-1.0256,4788211,18549154.56
2019-01-16,'000407,胜利股份,3.9,3.94,3.88,3.94,3.94,-0.04,-1.0152,5334890,20837816.9
2019-01-15,'000407,胜利股份,3.94,3.96,3.9,3.92,3.9,0.04,1.0256,4940983,19419088.96
2019-01-14,'000407,胜利股份,3.9,3.96,3.9,3.94,3.93,-0.03,-0.7634,4292711,16854575.08
2019-01-11,'000407,胜利股份,3.93,3.95,3.91,3.91,3.91,0.02,0.5115,4466705,17533141.6
2019-01-10,'000407,胜利股份,3.91,3.97,3.91,3.95,3.95,-0.04,-1.0127,5740600,22622568.0
