日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000408,藏格控股,8.43,8.61,8.29,8.56,8.27,0.16,1.9347,21688139,182895164.09
2019-06-28,'000408,藏格控股,8.27,8.76,8.25,8.66,8.58,-0.31,-3.6131,21846504,183946773.53
2019-06-27,'000408,藏格控股,8.58,9.09,8.36,8.85,8.77,-0.19,-2.1665,35219014,307487447.63
2019-06-26,'000408,藏格控股,8.77,9.36,8.5,8.64,8.97,-0.2,-2.2297,46744455,418195727.46
2019-06-25,'000408,藏格控股,8.97,9.5,8.22,8.41,8.72,0.25,2.867,70963381,626097395.06
2019-06-24,'000408,藏格控股,8.72,8.72,7.15,7.15,7.93,0.79,9.9622,76994312,610199802.2
2019-06-21,'000408,藏格控股,7.93,8.15,7.81,7.99,8.15,-0.22,-2.6994,41170040,328458828.27
2019-06-20,'000408,藏格控股,8.15,8.57,7.62,7.7,7.98,0.17,2.1303,64568934,527125300.95
2019-06-19,'000408,藏格控股,7.98,7.98,7.48,7.6,7.25,0.73,10.069,58923270,457407135.32
2019-06-18,'000408,藏格控股,7.25,7.25,6.67,6.7,6.59,0.66,10.0152,26470018,186770026.32
2019-06-17,'000408,藏格控股,6.59,6.85,6.56,6.76,6.78,-0.19,-2.8024,10147946,67832369.23
2019-06-14,'000408,藏格控股,6.78,6.93,6.73,6.92,6.93,-0.15,-2.1645,10737513,73472743.87
2019-06-13,'000408,藏格控股,6.93,6.99,6.66,6.76,6.8,0.13,1.9118,11866706,80978121.3
2019-06-12,'000408,藏格控股,6.8,7.01,6.78,6.88,6.9,-0.1,-1.4493,12552931,86476376.45
2019-06-11,'000408,藏格控股,6.9,6.93,6.46,6.69,6.68,0.22,3.2934,14658600,99232152.05
2019-06-10,'000408,藏格控股,6.68,6.75,6.54,6.54,6.56,0.12,1.8293,8987143,59938471.05
2019-06-06,'000408,藏格控股,6.56,6.83,6.51,6.82,6.8,-0.24,-3.5294,12501687,83178344.21
2019-06-05,'000408,藏格控股,6.8,6.93,6.67,6.9,6.82,-0.02,-0.2933,16284371,110853349.33
2019-06-04,'000408,藏格控股,6.82,7.15,6.5,7.14,7.14,-0.32,-4.4818,25524011,170787693.45
2019-06-03,'000408,藏格控股,7.14,7.66,7.1,7.6,7.39,-0.25,-3.3829,20085539,147111950.96
2019-05-31,'000408,藏格控股,7.39,7.72,7.32,7.41,7.34,0.05,0.6812,17036791,127720865.41
