日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000409,*ST地矿,5.74,5.81,5.72,5.74,5.73,0.01,0.1745,2511324,14451375.98
2019-06-28,'000409,*ST地矿,5.73,5.81,5.68,5.8,5.83,-0.1,-1.7153,2781922,15937038.26
2019-06-27,'000409,*ST地矿,5.83,5.84,5.75,5.84,5.84,-0.01,-0.1712,2514103,14552692.45
2019-06-26,'000409,*ST地矿,5.84,5.86,5.76,5.8,5.85,-0.01,-0.1709,2116377,12278006.83
2019-06-25,'000409,*ST地矿,5.85,5.86,5.65,5.75,5.75,0.1,1.7391,3829673,22172483.64
2019-06-24,'000409,*ST地矿,5.75,5.92,5.7,5.88,5.95,-0.2,-3.3613,4546761,26322188.13
2019-06-21,'000409,*ST地矿,5.95,5.98,5.85,5.85,5.84,0.11,1.8836,4425748,26180412.49
2019-06-20,'000409,*ST地矿,5.84,5.96,5.61,5.61,5.85,-0.01,-0.1709,4384092,25434380.37
2019-06-19,'000409,*ST地矿,5.85,5.96,5.77,5.9,5.83,0.02,0.3431,3125400,18266109.64
2019-06-18,'000409,*ST地矿,5.83,5.9,5.75,5.9,5.9,-0.07,-1.1864,2429653,14150429.91
2019-06-17,'000409,*ST地矿,5.9,5.98,5.84,5.98,5.96,-0.06,-1.0067,2099306,12345472.81
2019-06-14,'000409,*ST地矿,5.96,6.06,5.85,5.93,5.93,0.03,0.5059,3952387,23460765.08
2019-06-13,'000409,*ST地矿,5.93,5.95,5.8,5.88,5.88,0.05,0.8503,2225308,13127933.47
2019-06-12,'000409,*ST地矿,5.88,6.01,5.76,5.78,5.81,0.07,1.2048,4196585,24761555.25
2019-06-11,'000409,*ST地矿,5.81,5.84,5.71,5.77,5.74,0.07,1.2195,3381324,19586893.39
2019-06-10,'000409,*ST地矿,5.74,5.86,5.52,5.72,5.72,0.02,0.3497,2753569,15783317.21
2019-06-06,'000409,*ST地矿,5.72,5.81,5.63,5.74,5.67,0.05,0.8818,3431382,19645780.39
2019-06-05,'000409,*ST地矿,5.67,5.8,5.55,5.66,5.64,0.03,0.5319,3757823,21317156.46
2019-06-04,'000409,*ST地矿,5.64,5.76,5.51,5.7,5.8,-0.16,-2.7586,2634197,14824662.32
2019-06-03,'000409,*ST地矿,5.8,6.19,5.66,6.06,5.96,-0.16,-2.6846,8411832,49557707.64
2019-05-31,'000409,*ST地矿,5.96,5.96,5.61,5.61,5.68,0.28,4.9296,4436131,25879041.52
2019-05-30,'000409,*ST地矿,5.68,5.68,5.5,5.62,5.71,-0.03,-0.5254,2758089,15429915.23
2019-05-29,'000409,*ST地矿,5.71,5.79,5.59,5.75,5.8,-0.09,-1.5517,3700891,20963859.57
2019-05-28,'000409,*ST地矿,5.8,5.98,5.75,5.96,5.94,-0.14,-2.3569,3649197,21300464.55
2019-05-27,'000409,*ST地矿,5.94,5.96,5.82,5.86,5.82,0.12,2.0619,2644276,15534111.63
2019-05-24,'000409,*ST地矿,5.82,5.95,5.68,5.8,5.9,-0.08,-1.3559,3567300,20797615.92
2019-05-23,'000409,*ST地矿,5.9,6.14,5.83,6.13,6.05,-0.15,-2.4793,2608265,15522415.57
2019-05-22,'000409,*ST地矿,6.05,6.2,6.01,6.16,6.15,-0.1,-1.626,1743616,10622105.2
2019-05-21,'000409,*ST地矿,6.15,6.18,6.01,6.04,6.03,0.12,1.99,2346840,14381186.28
2019-05-20,'000409,*ST地矿,6.03,6.23,5.86,6.15,6.15,-0.12,-1.9512,3533928,21217585.48
2019-05-17,'000409,*ST地矿,6.15,6.44,6.05,6.3,6.32,-0.17,-2.6899,4102449,25565758.15
2019-05-16,'000409,*ST地矿,6.32,6.53,6.18,6.18,6.25,0.07,1.12,6314819,40341034.61
2019-05-15,'000409,*ST地矿,6.25,6.44,6.12,6.25,6.24,0.01,0.1603,7182114,44926365.14
2019-05-14,'000409,*ST地矿,6.24,6.24,6.03,6.03,5.94,0.3,5.0505,13174104,81565066.95
2019-05-13,'000409,*ST地矿,5.94,5.94,5.55,5.66,5.66,0.28,4.947,5256064,30658240.86
2019-05-10,'000409,*ST地矿,5.66,5.66,5.18,5.18,5.39,0.27,5.0093,9252229,51006795.55
2019-05-09,'000409,*ST地矿,5.39,5.65,5.39,5.6,5.67,-0.28,-4.9383,7174941,38977652.99
2019-05-08,'000409,*ST地矿,5.67,5.9,5.67,5.9,5.97,-0.3,-5.0251,7923474,45090653.48
2019-05-07,'000409,*ST地矿,5.97,6.3,5.94,6.25,6.25,-0.28,-4.48,9963778,59572122.67
2019-05-06,'000409,*ST地矿,6.25,6.47,6.25,6.4,6.58,-0.33,-5.0152,4902123,30769406.33
2019-04-30,'000409,*ST地矿,6.58,6.64,6.4,6.52,6.53,0.05,0.7657,6907066,45012978.73
2019-04-29,'000409,*ST地矿,6.53,6.72,6.47,6.64,6.81,-0.28,-4.1116,11021129,71868601.5
2019-04-26,'000409,*ST地矿,6.81,7.08,6.73,6.8,6.8,0.01,0.1471,5772899,39786631.83
2019-04-25,'000409,*ST地矿,6.8,7.17,6.76,7.08,7.1,-0.3,-4.2254,8141132,56658477.01
2019-04-24,'000409,*ST地矿,7.1,7.19,7.01,7.11,7.13,-0.03,-0.4208,5953198,42276445.75
2019-04-23,'000409,*ST地矿,7.13,7.42,7.07,7.3,7.25,-0.12,-1.6552,8684631,62711475.93
2019-04-22,'000409,*ST地矿,7.25,7.25,6.94,6.94,6.9,0.35,5.0725,17937306,129236361.85
2019-04-19,'000409,*ST地矿,6.9,6.92,6.53,6.73,6.71,0.19,2.8316,10127493,67752601.3
2019-04-18,'000409,*ST地矿,6.71,6.97,6.57,6.97,6.92,-0.21,-3.0347,15581006,103591496.83
2019-04-17,'000409,*ST地矿,6.92,7.12,6.86,7.02,7.0,-0.08,-1.1429,6854261,47735137.2
2019-04-16,'000409,*ST地矿,7.0,7.15,6.78,6.92,6.97,0.03,0.4304,8317554,58075391.6
2019-04-15,'000409,*ST地矿,6.97,7.37,6.88,7.17,7.17,-0.2,-2.7894,14917975,106127338.44
2019-04-12,'000409,*ST地矿,7.17,7.17,6.76,6.78,6.83,0.34,4.978,13447457,94989449.99
2019-04-11,'000409,*ST地矿,6.83,6.93,6.62,6.71,6.79,0.04,0.5891,9371058,63761692.49
2019-04-10,'000409,*ST地矿,6.79,7.24,6.78,6.96,6.93,-0.14,-2.0202,15570510,109349062.78
2019-04-09,'000409,*ST地矿,6.93,6.93,6.62,6.66,6.6,0.33,5.0,12827913,87421689.82
2019-04-08,'000409,*ST地矿,6.6,6.6,6.21,6.28,6.3,0.3,4.7619,8880332,56923835.67
2019-04-04,'000409,*ST地矿,6.3,6.55,6.22,6.45,6.36,-0.06,-0.9434,10156011,64678617.21
2019-04-03,'000409,*ST地矿,6.36,6.36,6.07,6.07,6.06,0.3,4.9505,13630264,85557739.24
2019-04-02,'000409,*ST地矿,6.06,6.06,5.83,5.95,5.94,0.12,2.0202,9154047,54485961.05
2019-04-01,'000409,*ST地矿,5.94,6.07,5.81,5.83,5.83,0.11,1.8868,11502066,68800727.53
2019-03-29,'000409,*ST地矿,5.83,5.89,5.52,5.66,5.67,0.16,2.8219,16893482,97037049.65
2019-03-28,'000409,*ST地矿,5.67,5.71,5.41,5.46,5.55,0.12,2.1622,8374237,47062022.08
2019-03-27,'000409,*ST地矿,5.55,5.8,5.37,5.65,5.65,-0.1,-1.7699,10729302,59285609.4
2019-03-26,'000409,*ST地矿,5.65,5.9,5.5,5.7,5.65,0.0,0.0,16130185,92451895.86
2019-03-25,'000409,*ST地矿,5.65,5.65,5.29,5.38,5.38,0.27,5.0186,17676019,97668678.72
2019-03-22,'000409,*ST地矿,5.38,5.61,5.28,5.59,5.48,-0.1,-1.8248,13212064,71246848.45
2019-03-21,'000409,*ST地矿,5.48,5.48,5.3,5.3,5.22,0.26,4.9808,17747997,96293880.68
2019-03-20,'000409,*ST地矿,5.22,5.22,4.92,4.95,4.97,0.25,5.0302,17757065,91655482.14
2019-03-19,'000409,*ST地矿,4.97,5.03,4.84,4.88,4.86,0.11,2.2634,7826489,38641868.49
2019-03-18,'000409,*ST地矿,4.86,4.86,4.68,4.73,4.72,0.14,2.9661,5909279,28407270.07
2019-03-15,'000409,*ST地矿,4.72,4.74,4.64,4.64,4.63,0.09,1.9438,4136660,19459802.61
2019-03-14,'000409,*ST地矿,4.63,4.94,4.61,4.85,4.85,-0.22,-4.5361,7487444,35551621.01
2019-03-13,'000409,*ST地矿,4.85,4.98,4.85,4.96,4.99,-0.14,-2.8056,7383796,36245214.35
2019-03-12,'000409,*ST地矿,4.99,5.04,4.93,5.01,5.0,-0.01,-0.2,9461107,47092604.84
2019-03-11,'000409,*ST地矿,5.0,5.08,4.78,5.08,4.99,0.01,0.2004,7738985,38272047.54
2019-03-08,'000409,*ST地矿,4.99,5.23,4.99,5.19,5.25,-0.26,-4.9524,8513257,43284329.09
2019-03-07,'000409,*ST地矿,5.25,5.32,5.03,5.11,5.12,0.13,2.5391,9196259,47946627.22
2019-03-06,'000409,*ST地矿,5.12,5.13,4.91,4.92,4.92,0.2,4.065,10218152,51324624.3
2019-03-05,'000409,*ST地矿,4.92,4.93,4.89,4.9,4.95,-0.03,-0.6061,5694959,27951777.92
2019-03-04,'000409,*ST地矿,4.95,4.99,4.87,4.92,4.96,-0.01,-0.2016,8519012,42082848.79
2019-03-01,'000409,*ST地矿,4.96,5.03,4.9,5.0,4.95,0.01,0.202,5131135,25373155.18
2019-02-28,'000409,*ST地矿,4.95,4.98,4.85,4.92,4.9,0.05,1.0204,4468980,21965701.9
2019-02-27,'000409,*ST地矿,4.9,5.01,4.85,4.87,4.91,-0.01,-0.2037,5666220,27888806.54
2019-02-26,'000409,*ST地矿,4.91,5.07,4.81,4.91,4.9,0.01,0.2041,7987163,39624656.26
2019-02-25,'000409,*ST地矿,4.9,4.97,4.75,4.75,4.73,0.17,3.5941,8524172,41711250.42
2019-02-22,'000409,*ST地矿,4.73,4.75,4.62,4.71,4.76,-0.03,-0.6303,6765269,31640201.18
2019-02-21,'000409,*ST地矿,4.76,4.99,4.7,4.82,4.78,-0.02,-0.4184,9908222,48171444.98
2019-02-20,'000409,*ST地矿,4.78,4.78,4.53,4.55,4.55,0.23,5.0549,8699516,40985043.42
2019-02-19,'000409,*ST地矿,4.55,4.57,4.41,4.51,4.51,0.04,0.8869,7019417,31613888.01
2019-02-18,'000409,*ST地矿,4.51,4.57,4.43,4.45,4.43,0.08,1.8059,6008073,27138774.69
2019-02-15,'000409,*ST地矿,4.43,4.47,4.31,4.34,4.36,0.07,1.6055,5696818,25234039.79
2019-02-14,'000409,*ST地矿,4.36,4.37,4.25,4.32,4.39,-0.03,-0.6834,4895294,21154049.39
2019-02-13,'000409,*ST地矿,4.39,4.45,4.25,4.45,4.47,-0.08,-1.7897,13082211,56611850.35
2019-02-12,'000409,*ST地矿,4.47,4.5,4.42,4.46,4.47,0.0,0.0,3532743,15745711.4
2019-02-11,'000409,*ST地矿,4.47,4.59,4.38,4.59,4.45,0.02,0.4494,6017507,26789313.91
2019-02-01,'000409,*ST地矿,4.45,4.55,4.37,4.48,4.56,-0.11,-2.4123,6856940,30518663.75
2019-01-31,'000409,*ST地矿,4.56,4.59,4.38,4.39,4.37,0.19,4.3478,13389944,60895844.43
2019-01-30,'000409,*ST地矿,4.37,4.37,4.09,4.16,4.16,0.21,5.0481,8772530,37752858.32
2019-01-29,'000409,*ST地矿,4.16,4.19,3.98,4.03,4.18,-0.02,-0.4785,11313073,45967347.01
2019-01-28,'000409,*ST地矿,4.18,4.36,4.02,4.02,4.23,-0.05,-1.182,22928957,93603738.98
2019-01-25,'000409,*ST地矿,4.23,4.23,4.23,4.23,4.45,-0.22,-4.9438,1330200,5626746.0
2019-01-24,'000409,*ST地矿,4.45,4.55,4.45,4.47,4.68,-0.23,-4.9145,4842090,21592483.54
2019-01-23,'000409,*ST地矿,4.68,4.82,4.68,4.79,4.93,-0.25,-5.071,5066400,23787374.24
2019-01-22,'000409,*ST地矿,4.93,5.03,4.93,4.99,5.19,-0.26,-5.0096,6065297,30024354.88
2019-01-21,'000409,*ST地矿,5.19,5.63,5.09,5.09,5.36,-0.17,-3.1716,20307718,105967672.43
2019-01-18,'000409,*ST地矿,5.36,5.36,5.36,5.36,5.64,-0.28,-4.9645,505700,2710552.0
2019-01-17,'000409,*ST地矿,5.64,5.64,5.64,5.64,5.94,-0.3,-5.0505,1023300,5771412.0
2019-01-16,'000409,*ST地矿,5.94,6.2,5.94,6.2,6.25,-0.31,-4.96,1416400,8531343.1
2019-01-15,'000409,*ST地矿,0.0,0.0,0.0,0.0,6.25,None,None,0,0.0
2019-01-14,'000409,*ST地矿,0.0,0.0,0.0,0.0,6.25,None,None,0,0.0
2019-01-11,'000409,*ST地矿,6.25,6.4,6.2,6.3,6.27,-0.02,-0.319,4187356,26348007.5
