ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000410,ÉòÑô»ú´²,7.09,7.09,7.01,7.01,6.92,0.17,2.4566,5532581,39076032.86
2019-06-28,'000410,ÉòÑô»ú´²,6.92,7.07,6.9,7.06,7.05,-0.13,-1.844,4053588,28122955.21
2019-06-27,'000410,ÉòÑô»ú´²,7.05,7.1,7.02,7.05,7.02,0.03,0.4274,3407000,24042261.62
2019-06-26,'000410,ÉòÑô»ú´²,7.02,7.08,7.01,7.03,7.06,-0.04,-0.5666,2819600,19850456.54
2019-06-25,'000410,ÉòÑô»ú´²,7.06,7.15,6.96,7.13,7.11,-0.05,-0.7032,5421151,38137920.94
2019-06-24,'000410,ÉòÑô»ú´²,7.11,7.24,7.07,7.24,7.21,-0.1,-1.387,4995284,35599715.58
2019-06-21,'000410,ÉòÑô»ú´²,7.21,7.38,7.11,7.2,7.05,0.16,2.2695,10048946,72449116.5
2019-06-20,'000410,ÉòÑô»ú´²,7.05,7.1,6.92,7.02,7.01,0.04,0.5706,5057613,35500989.92
2019-06-19,'000410,ÉòÑô»ú´²,7.01,7.15,6.98,7.08,6.97,0.04,0.5739,5030870,35417920.6
2019-06-18,'000410,ÉòÑô»ú´²,6.97,7.07,6.85,6.85,6.83,0.14,2.0498,6200100,43397155.98
2019-06-17,'000410,ÉòÑô»ú´²,6.83,6.89,6.8,6.85,6.85,-0.02,-0.292,2479382,16973342.24
2019-06-14,'000410,ÉòÑô»ú´²,6.85,7.01,6.83,6.98,6.97,-0.12,-1.7217,4394100,30372142.0
2019-06-13,'000410,ÉòÑô»ú´²,6.97,7.07,6.91,7.03,7.03,-0.06,-0.8535,4715375,32934246.53
2019-06-12,'000410,ÉòÑô»ú´²,7.03,7.13,7.03,7.09,7.13,-0.1,-1.4025,4396797,31098880.91
2019-06-11,'000410,ÉòÑô»ú´²,7.13,7.13,6.94,7.0,6.98,0.15,2.149,6817435,48195104.01
2019-06-10,'000410,ÉòÑô»ú´²,6.98,7.0,6.88,6.99,7.06,-0.08,-1.1331,4943232,34300820.96
2019-06-06,'000410,ÉòÑô»ú´²,7.06,7.33,6.72,6.79,6.84,0.22,3.2164,10119941,70571354.73
2019-06-05,'000410,ÉòÑô»ú´²,6.84,6.93,6.82,6.9,6.85,-0.01,-0.146,3874500,26577006.0
2019-06-04,'000410,ÉòÑô»ú´²,6.85,7.03,6.81,7.02,6.95,-0.1,-1.4388,4429484,30561148.72
2019-06-03,'000410,ÉòÑô»ú´²,6.95,7.15,6.91,7.15,7.16,-0.21,-2.933,7584449,53087850.77
2019-05-31,'000410,ÉòÑô»ú´²,7.16,7.24,7.16,7.2,7.19,-0.03,-0.4172,3429984,24663461.28
2019-05-30,'000410,ÉòÑô»ú´²,7.19,7.26,7.16,7.26,7.29,-0.1,-1.3717,4147001,29846147.34
2019-05-29,'000410,ÉòÑô»ú´²,7.29,7.38,7.26,7.29,7.34,-0.05,-0.6812,4531847,33205442.63
2019-05-28,'000410,ÉòÑô»ú´²,7.34,7.44,7.32,7.34,7.39,-0.05,-0.6766,5833500,43035009.0
2019-05-27,'000410,ÉòÑô»ú´²,7.39,7.5,7.15,7.25,7.18,0.21,2.9248,6060001,44393944.48
2019-05-24,'000410,ÉòÑô»ú´²,7.18,7.28,7.1,7.2,7.23,-0.05,-0.6916,4706851,33795152.69
2019-05-23,'000410,ÉòÑô»ú´²,7.23,7.46,7.22,7.44,7.5,-0.27,-3.6,8099854,59147694.88
2019-05-22,'000410,ÉòÑô»ú´²,7.5,7.85,7.32,7.36,7.42,0.08,1.0782,12083363,91398020.42
2019-05-21,'000410,ÉòÑô»ú´²,7.42,7.46,7.32,7.34,7.41,0.01,0.135,6648116,49099677.64
2019-05-20,'000410,ÉòÑô»ú´²,7.41,7.6,7.06,7.1,7.14,0.27,3.7815,9508904,69969721.46
2019-05-17,'000410,ÉòÑô»ú´²,7.14,7.42,7.11,7.4,7.39,-0.25,-3.3829,7220709,52456331.89
2019-05-16,'000410,ÉòÑô»ú´²,7.39,7.45,7.3,7.4,7.46,-0.07,-0.9383,7676309,56651717.0
2019-05-15,'000410,ÉòÑô»ú´²,7.46,7.49,7.32,7.34,7.34,0.12,1.6349,6705693,49676759.97
2019-05-14,'000410,ÉòÑô»ú´²,7.34,7.5,7.1,7.15,7.23,0.11,1.5214,8181585,60196963.47
2019-05-13,'000410,ÉòÑô»ú´²,7.23,7.31,7.18,7.27,7.33,-0.1,-1.3643,4525200,32799173.97
