日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000411,英特集团,13.38,13.48,13.18,13.2,12.99,0.39,3.0023,4265603,56770144.36
2019-06-28,'000411,英特集团,12.99,14.04,12.5,12.77,12.76,0.23,1.8025,4130287,54242788.44
2019-06-27,'000411,英特集团,12.76,12.77,12.55,12.77,12.73,0.03,0.2357,1376000,17454904.0
2019-06-26,'000411,英特集团,12.73,12.73,12.36,12.36,12.38,0.35,2.8271,1516700,19112128.0
2019-06-25,'000411,英特集团,12.38,12.63,12.24,12.53,12.57,-0.19,-1.5115,1298510,16087636.7
2019-06-24,'000411,英特集团,12.57,12.8,12.48,12.68,12.65,-0.08,-0.6324,841971,10611708.71
2019-06-21,'000411,英特集团,12.65,12.67,12.49,12.53,12.52,0.13,1.0383,1339455,16881795.76
2019-06-20,'000411,英特集团,12.52,12.52,12.22,12.4,12.4,0.12,0.9677,1723210,21351813.5
2019-06-19,'000411,英特集团,12.4,12.42,12.14,12.14,12.06,0.34,2.8192,1507790,18567637.7
2019-06-18,'000411,英特集团,12.06,12.13,11.91,12.04,12.05,0.01,0.083,759871,9133381.64
2019-06-17,'000411,英特集团,12.05,12.3,12.01,12.19,12.19,-0.14,-1.1485,1196973,14499547.96
2019-06-14,'000411,英特集团,12.19,12.52,12.18,12.46,12.41,-0.22,-1.7728,748231,9231817.64
2019-06-13,'000411,英特集团,12.41,12.53,12.24,12.28,12.27,0.14,1.141,879064,10889547.12
2019-06-12,'000411,英特集团,12.27,12.47,12.27,12.35,12.4,-0.13,-1.0484,989100,12210504.66
2019-06-11,'000411,英特集团,12.4,12.42,11.95,12.05,12.04,0.36,2.99,1155122,14139643.74
2019-06-10,'000411,英特集团,12.04,12.1,11.9,12.03,12.09,-0.05,-0.4136,817664,9813322.0
2019-06-06,'000411,英特集团,12.09,12.4,11.9,12.36,12.36,-0.27,-2.1845,1340000,16244990.0
2019-06-05,'000411,英特集团,12.36,12.59,12.33,12.49,12.44,-0.08,-0.6431,787280,9791849.0
2019-06-04,'000411,英特集团,12.44,12.78,12.33,12.78,12.68,-0.24,-1.8927,1226961,15306944.42
2019-06-03,'000411,英特集团,12.68,12.96,12.55,12.87,12.88,-0.2,-1.5528,1210161,15404697.59
2019-05-31,'000411,英特集团,12.88,13.28,12.83,13.25,13.15,-0.27,-2.0532,1426490,18460894.49
2019-05-30,'000411,英特集团,13.15,13.26,12.82,13.03,12.96,0.19,1.466,1592317,20773149.33
2019-05-29,'000411,英特集团,12.96,13.16,12.67,12.83,12.82,0.14,1.092,1441048,18743218.79
2019-05-28,'000411,英特集团,12.82,13.09,12.77,12.91,12.81,0.01,0.0781,1311920,16949891.4
2019-05-27,'000411,英特集团,12.81,12.87,12.38,12.6,12.47,0.34,2.7265,1134697,14346216.99
2019-05-24,'000411,英特集团,12.6,12.74,12.44,12.56,12.56,0.04,0.3185,972141,12182350.15
2019-05-23,'000411,英特集团,12.56,12.99,12.43,12.99,12.94,-0.38,-2.9366,1568300,19858209.0
2019-05-22,'000411,英特集团,12.94,13.25,12.87,13.16,13.18,-0.24,-1.8209,1244500,16235373.0
2019-05-21,'000411,英特集团,13.18,13.2,12.54,12.79,12.65,0.53,4.1897,1497800,19379247.0
2019-05-20,'000411,英特集团,12.65,13.15,12.28,13.1,12.96,-0.31,-2.392,2709092,34257549.14
2019-05-17,'000411,英特集团,12.96,13.6,12.88,13.5,13.49,-0.53,-3.9288,1542557,20448196.34
2019-05-16,'000411,英特集团,13.49,13.49,13.24,13.31,13.28,0.21,1.5813,1590254,21328944.68
2019-05-15,'000411,英特集团,13.28,13.3,12.95,12.95,12.9,0.38,2.9457,1656050,21855682.0
2019-05-14,'000411,英特集团,12.9,13.28,12.8,13.15,13.17,-0.27,-2.0501,1456609,18922716.19
2019-05-13,'000411,英特集团,13.17,13.47,12.91,13.05,13.08,0.09,0.6881,1599118,21115945.64
2019-05-10,'000411,英特集团,13.08,13.29,12.55,13.05,12.88,0.2,1.5528,2129306,27810113.42
2019-05-09,'000411,英特集团,12.88,12.95,12.72,12.84,12.9,-0.02,-0.155,1721800,22116385.03
2019-05-08,'000411,英特集团,12.9,12.96,11.8,12.4,12.54,0.36,2.8708,2691751,34103405.01
2019-05-07,'000411,英特集团,12.54,12.66,12.27,12.5,12.38,0.16,1.2924,2035122,25431533.7
2019-05-06,'000411,英特集团,12.38,13.54,12.38,13.35,13.75,-1.37,-9.9636,3551495,45845799.06
