日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2003-04-29,'000412,ST 五 环,0.0,0.0,0.0,0.0,2.89,None,None,0,0.0
2003-04-28,'000412,ST 五 环,0.0,0.0,0.0,0.0,2.89,None,None,0,0.0
2003-04-25,'000412,ST 五 环,2.89,3.04,2.89,3.01,3.04,-0.15,-4.9342,3980361,11741088.47
2003-04-24,'000412,ST 五 环,3.04,3.19,3.02,3.11,3.15,-0.11,-3.4921,2447529,7554460.48
2003-04-23,'000412,ST 五 环,3.15,3.32,3.07,3.18,3.23,-0.08,-2.4768,3415941,10792128.01
2003-04-22,'000412,ST 五 环,3.23,3.35,3.23,3.34,3.4,-0.17,-5.0,2730748,8873628.53
2003-04-21,'000412,ST 五 环,3.4,3.54,3.39,3.52,3.53,-0.13,-3.6827,1810800,6249097.35
2003-04-18,'000412,ST 五 环,3.53,3.56,3.5,3.56,3.58,-0.05,-1.3966,1278225,4491926.02
2003-04-17,'000412,ST 五 环,3.58,3.6,3.48,3.53,3.53,0.05,1.4164,2025431,7134957.06
2003-04-16,'000412,ST 五 环,3.53,3.64,3.5,3.63,3.64,-0.11,-3.022,3113326,11040548.0
2003-04-15,'000412,ST 五 环,3.64,3.74,3.62,3.71,3.71,-0.07,-1.8868,2255032,8279041.36
2003-04-14,'000412,ST 五 环,3.71,3.74,3.5,3.57,3.57,0.14,3.9216,2831750,10235332.35
2003-04-11,'000412,ST 五 环,3.57,3.61,3.51,3.6,3.61,-0.04,-1.108,2184839,7783988.27
2003-04-10,'000412,ST五环,3.61,3.67,3.45,3.6,3.62,-0.01,-0.2762,2589921,9211286.72
2003-04-09,'000412,ST 五 环,3.62,3.73,3.56,3.71,3.75,-0.13,-3.4667,3142220,11384790.61
2003-04-08,'000412,ST 五 环,3.75,3.9,3.7,3.85,3.84,-0.09,-2.3438,2082792,7886976.79
2003-04-07,'000412,ST 五 环,3.84,3.93,3.75,3.84,3.84,0.0,0.0,1690090,6514723.3
2003-04-04,'000412,ST 五 环,3.84,3.87,3.83,3.85,3.9,-0.06,-1.5385,1347396,5186526.55
2003-04-03,'000412,ST 五 环,3.9,3.98,3.82,3.94,3.94,-0.04,-1.0152,1677939,6556943.12
2003-04-02,'000412,ST 五 环,3.94,3.96,3.83,3.86,3.87,0.07,1.8088,1813199,7093120.5
2003-04-01,'000412,ST 五 环,3.87,3.9,3.82,3.9,3.9,-0.03,-0.7692,1290340,4973106.34
2003-03-31,'000412,ST 五 环,3.9,3.91,3.81,3.86,3.86,0.04,1.0363,885081,3424217.32
2003-03-28,'000412,ST 五 环,3.86,3.93,3.83,3.84,3.86,0.0,0.0,1248841,4860231.45
2003-03-27,'000412,ST五环,3.86,3.9,3.78,3.78,3.81,0.05,1.3123,1325829,5095428.72
2003-03-26,'000412,ST 五 环,3.81,3.85,3.75,3.78,3.78,0.03,0.7937,604398,2299004.84
2003-03-25,'000412,ST 五 环,3.78,3.88,3.77,3.86,3.89,-0.11,-2.8278,970595,3710137.97
2003-03-24,'000412,ST 五 环,3.89,3.93,3.74,3.74,3.74,0.15,4.0107,2317002,8970861.01
