日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000413,东旭光电,5.46,5.47,5.2,5.26,5.14,0.32,6.2257,179958374,963761733.1
2019-06-28,'000413,东旭光电,5.14,5.26,5.11,5.2,5.18,-0.04,-0.7722,57339709,296560060.07
2019-06-27,'000413,东旭光电,5.18,5.21,5.14,5.14,5.15,0.03,0.5825,49552859,256562519.1
2019-06-26,'000413,东旭光电,5.15,5.19,5.11,5.12,5.17,-0.02,-0.3868,38445124,197827415.18
2019-06-25,'000413,东旭光电,5.17,5.3,5.11,5.22,5.23,-0.06,-1.1472,74247475,386032600.3
2019-06-24,'000413,东旭光电,5.23,5.32,5.21,5.24,5.3,-0.07,-1.3208,80724326,424165585.53
2019-06-21,'000413,东旭光电,5.3,5.32,5.12,5.15,5.12,0.18,3.5156,137682708,715904991.64
2019-06-20,'000413,东旭光电,5.12,5.14,5.0,5.05,5.06,0.06,1.1858,85554795,435556697.56
2019-06-19,'000413,东旭光电,5.06,5.16,5.04,5.07,4.96,0.1,2.0161,88487289,450963820.33
2019-06-18,'000413,东旭光电,4.96,4.98,4.89,4.96,4.95,0.01,0.202,27755989,137185385.78
2019-06-17,'000413,东旭光电,4.95,4.99,4.92,4.95,4.92,0.03,0.6098,29216805,144573515.59
2019-06-14,'000413,东旭光电,4.92,5.12,4.92,5.11,5.1,-0.18,-3.5294,63012259,316245708.89
2019-06-13,'000413,东旭光电,5.1,5.13,5.02,5.05,5.07,0.03,0.5917,53008808,269364134.49
2019-06-12,'000413,东旭光电,5.07,5.15,5.05,5.12,5.14,-0.07,-1.3619,70388719,358379114.61
2019-06-11,'000413,东旭光电,5.14,5.17,4.95,5.0,5.02,0.12,2.3904,104546351,531610725.25
2019-06-10,'000413,东旭光电,5.02,5.03,4.83,4.87,4.81,0.21,4.3659,76941847,381171267.48
2019-06-06,'000413,东旭光电,4.81,4.94,4.78,4.94,4.92,-0.11,-2.2358,43178477,209031022.6
2019-06-05,'000413,东旭光电,4.92,4.97,4.87,4.92,4.86,0.06,1.2346,46399045,228378641.04
2019-06-04,'000413,东旭光电,4.86,4.96,4.82,4.93,4.93,-0.07,-1.4199,45825611,224101760.63
2019-06-03,'000413,东旭光电,4.93,5.04,4.91,4.99,5.0,-0.07,-1.4,52140185,258622910.11
2019-05-31,'000413,东旭光电,5.0,5.1,4.99,5.06,5.05,-0.05,-0.9901,57653166,290243917.5
2019-05-30,'000413,东旭光电,5.05,5.11,4.98,5.1,5.16,-0.11,-2.1318,78210021,394317679.68
2019-05-29,'000413,东旭光电,5.16,5.24,5.11,5.17,5.18,-0.02,-0.3861,90665055,470321065.82
2019-05-28,'000413,东旭光电,5.18,5.25,5.06,5.09,5.09,0.09,1.7682,120215175,619734708.32
2019-05-27,'000413,东旭光电,5.09,5.11,4.94,4.95,4.95,0.14,2.8283,80648008,406313328.71
2019-05-24,'000413,东旭光电,4.95,5.05,4.93,4.98,5.03,-0.08,-1.5905,61100870,303978446.61
2019-05-23,'000413,东旭光电,5.03,5.25,5.01,5.15,4.96,0.07,1.4113,131402274,673321277.42
2019-05-22,'000413,东旭光电,4.96,5.08,4.92,5.04,5.06,-0.1,-1.9763,91718663,457524061.39
2019-05-21,'000413,东旭光电,5.06,5.13,4.77,4.8,4.73,0.33,6.9767,162167564,802553897.8
2019-05-20,'000413,东旭光电,4.73,4.89,4.58,4.8,4.99,-0.26,-5.2104,155271400,730616356.66
2019-05-17,'000413,东旭光电,4.99,5.42,4.93,5.41,5.48,-0.49,-8.9416,298200047,1527661430.67
2019-05-16,'000413,东旭光电,5.48,5.64,5.31,5.31,5.81,-0.33,-5.6799,258928335,1409541923.84
2019-05-15,'000413,东旭光电,5.81,5.83,5.69,5.72,5.64,0.17,3.0142,93875136,542536137.61
2019-05-14,'000413,东旭光电,5.64,5.73,5.57,5.6,5.71,-0.07,-1.2259,62230718,352750133.73
2019-05-13,'000413,东旭光电,5.71,5.8,5.66,5.75,5.82,-0.11,-1.89,69561496,398845315.34
2019-05-10,'000413,东旭光电,5.82,5.84,5.37,5.75,5.66,0.16,2.8269,128659478,739362571.69
2019-05-09,'000413,东旭光电,5.66,5.78,5.62,5.65,5.69,-0.03,-0.5272,78850380,450026037.95
2019-05-08,'000413,东旭光电,5.69,5.85,5.58,5.69,5.83,-0.14,-2.4014,101843039,582336161.56
2019-05-07,'000413,东旭光电,5.83,5.94,5.69,5.81,5.71,0.12,2.1016,113656525,661308446.47
2019-05-06,'000413,东旭光电,5.71,6.13,5.58,5.99,6.17,-0.46,-7.4554,173655219,1021028961.25
2019-04-30,'000413,东旭光电,6.17,6.22,5.92,6.0,5.82,0.35,6.0137,148357513,906336160.17
2019-04-29,'000413,东旭光电,5.82,6.3,5.78,6.29,6.32,-0.5,-7.9114,190036033,1128798392.27
2019-04-26,'000413,东旭光电,6.32,6.6,6.31,6.44,6.54,-0.22,-3.3639,145992326,944749488.28
2019-04-25,'000413,东旭光电,6.54,6.92,6.44,6.92,7.04,-0.5,-7.1023,253376407,1696008485.29
2019-04-24,'000413,东旭光电,7.04,7.16,6.79,6.83,6.78,0.26,3.8348,274261197,1917998258.02
2019-04-23,'000413,东旭光电,6.78,7.19,6.62,7.19,7.24,-0.46,-6.3536,361631274,2490009405.45
2019-04-22,'000413,东旭光电,7.24,7.58,7.2,7.4,6.99,0.25,3.5765,635274543,4685986694.92
2019-04-19,'000413,东旭光电,6.99,6.99,6.29,6.3,6.35,0.64,10.0787,405942094,2737701574.38
2019-04-18,'000413,东旭光电,6.35,6.52,6.19,6.28,6.33,0.02,0.316,177598478,1124749364.49
2019-04-17,'000413,东旭光电,6.33,6.36,6.12,6.15,6.13,0.2,3.2626,185765866,1166036856.89
2019-04-16,'000413,东旭光电,6.13,6.13,5.86,5.95,5.95,0.18,3.0252,88333026,529950381.05
2019-04-15,'000413,东旭光电,5.95,6.19,5.93,6.16,6.07,-0.12,-1.9769,78990243,480970515.05
2019-04-12,'000413,东旭光电,6.07,6.13,6.01,6.08,6.06,0.01,0.165,62511230,378681196.5
2019-04-11,'000413,东旭光电,6.06,6.27,6.05,6.22,6.29,-0.23,-3.6566,111922114,688954289.83
2019-04-10,'000413,东旭光电,6.29,6.34,6.19,6.25,6.19,0.1,1.6155,131089345,822823214.74
2019-04-09,'000413,东旭光电,6.19,6.28,6.11,6.2,6.22,-0.03,-0.4823,88591522,548583733.19
2019-04-08,'000413,东旭光电,6.22,6.47,6.14,6.44,6.42,-0.2,-3.1153,172404422,1083962685.48
2019-04-04,'000413,东旭光电,6.42,6.54,6.24,6.3,6.28,0.14,2.2293,203146705,1300952500.5
2019-04-03,'000413,东旭光电,6.28,6.31,6.19,6.24,6.3,-0.02,-0.3175,99609582,622625838.45
2019-04-02,'000413,东旭光电,6.3,6.37,6.18,6.24,6.24,0.06,0.9615,160826130,1008890657.2
2019-04-01,'000413,东旭光电,6.24,6.27,6.08,6.08,6.04,0.2,3.3113,152038589,942028503.99
2019-03-29,'000413,东旭光电,6.04,6.05,5.72,5.83,5.81,0.23,3.9587,126331923,748636327.64
2019-03-28,'000413,东旭光电,5.81,5.98,5.75,5.82,5.88,-0.07,-1.1905,86895092,510765735.28
2019-03-27,'000413,东旭光电,5.88,5.95,5.74,5.91,5.84,0.04,0.6849,91012421,533821076.91
2019-03-26,'000413,东旭光电,5.84,6.16,5.82,6.12,6.11,-0.27,-4.419,142331672,849791709.92
2019-03-25,'000413,东旭光电,6.11,6.25,6.1,6.15,6.26,-0.15,-2.3962,103958222,641125164.36
2019-03-22,'000413,东旭光电,6.26,6.33,6.13,6.31,6.29,-0.03,-0.4769,108350760,675136498.21
2019-03-21,'000413,东旭光电,6.29,6.4,6.24,6.28,6.24,0.05,0.8013,130978865,827813669.35
2019-03-20,'000413,东旭光电,6.24,6.38,6.13,6.37,6.36,-0.12,-1.8868,113471099,708492715.62
2019-03-19,'000413,东旭光电,6.36,6.48,6.26,6.34,6.33,0.03,0.4739,139758644,888746002.05
2019-03-18,'000413,东旭光电,6.33,6.38,6.14,6.22,6.14,0.19,3.0945,162193586,1013200679.79
2019-03-15,'000413,东旭光电,6.14,6.19,6.01,6.16,6.09,0.05,0.821,126366029,773848222.44
2019-03-14,'000413,东旭光电,6.09,6.46,6.01,6.38,6.32,-0.23,-3.6392,183013220,1135083897.48
2019-03-13,'000413,东旭光电,6.32,6.57,6.22,6.56,6.62,-0.3,-4.5317,233192052,1494019998.31
2019-03-12,'000413,东旭光电,6.62,6.84,6.47,6.8,6.69,-0.07,-1.0463,305192898,2020757827.53
2019-03-11,'000413,东旭光电,6.69,6.72,6.31,6.49,6.37,0.32,5.0235,328740774,2146171170.76
2019-03-08,'000413,东旭光电,6.37,6.66,6.01,6.08,6.25,0.12,1.92,379300970,2417301703.8
2019-03-07,'000413,东旭光电,6.25,6.43,6.1,6.17,6.22,0.03,0.4823,246330440,1548783566.8
2019-03-06,'000413,东旭光电,6.22,6.26,6.05,6.2,6.27,-0.05,-0.7974,283715054,1745698141.99
2019-03-05,'000413,东旭光电,6.27,6.34,5.74,5.79,5.8,0.47,8.1034,352177442,2148428627.27
2019-03-04,'000413,东旭光电,5.8,5.97,5.71,5.77,5.72,0.08,1.3986,258780315,1507967254.24
2019-03-01,'000413,东旭光电,5.72,5.78,5.59,5.74,5.67,0.05,0.8818,130190584,739539758.24
2019-02-28,'000413,东旭光电,5.67,5.78,5.6,5.62,5.61,0.06,1.0695,123620724,702299101.99
2019-02-27,'000413,东旭光电,5.61,5.84,5.5,5.7,5.78,-0.17,-2.9412,217831777,1240391698.07
2019-02-26,'000413,东旭光电,5.78,6.09,5.56,5.83,5.85,-0.07,-1.1966,390854360,2267577045.88
2019-02-25,'000413,东旭光电,5.85,5.9,5.52,5.6,5.45,0.4,7.3394,384274701,2197894793.9
2019-02-22,'000413,东旭光电,5.45,5.53,5.27,5.3,5.36,0.09,1.6791,216497552,1172416937.95
2019-02-21,'000413,东旭光电,5.36,5.57,5.27,5.37,5.38,-0.02,-0.3717,278169369,1506991733.1
2019-02-20,'000413,东旭光电,5.38,5.5,5.32,5.46,5.5,-0.12,-2.1818,216989086,1170283724.01
2019-02-19,'000413,东旭光电,5.5,5.65,5.33,5.46,5.45,0.05,0.9174,323828760,1769795527.65
2019-02-18,'000413,东旭光电,5.45,5.54,5.23,5.33,5.28,0.17,3.2197,321317390,1730575369.01
2019-02-15,'000413,东旭光电,5.28,5.48,4.91,4.95,4.99,0.29,5.8116,336881771,1776165694.06
2019-02-14,'000413,东旭光电,4.99,5.3,4.92,5.3,4.97,0.02,0.4024,320759632,1627421872.84
2019-02-13,'000413,东旭光电,4.97,4.97,4.56,4.57,4.52,0.45,9.9558,250958290,1219981906.35
2019-02-12,'000413,东旭光电,4.52,4.58,4.36,4.37,4.38,0.14,3.1963,89643950,402351013.56
2019-02-11,'000413,东旭光电,4.38,4.39,4.27,4.29,4.26,0.12,2.8169,51762565,225033568.08
2019-02-01,'000413,东旭光电,4.26,4.26,4.12,4.12,4.1,0.16,3.9024,49759414,210098267.42
2019-01-31,'000413,东旭光电,4.1,4.21,4.05,4.2,4.17,-0.07,-1.6787,52704952,217965692.41
2019-01-30,'000413,东旭光电,4.17,4.3,4.16,4.23,4.28,-0.11,-2.5701,41653752,175937834.31
2019-01-29,'000413,东旭光电,4.28,4.39,4.03,4.38,4.41,-0.13,-2.9478,68502595,290601457.18
2019-01-28,'000413,东旭光电,4.41,4.52,4.4,4.5,4.46,-0.05,-1.1211,47239481,209807782.84
2019-01-25,'000413,东旭光电,4.46,4.5,4.39,4.4,4.42,0.04,0.905,76264580,338493361.58
2019-01-24,'000413,东旭光电,4.42,4.53,4.41,4.49,4.58,-0.16,-3.4934,120077691,534342268.63
2019-01-23,'000413,东旭光电,4.58,4.66,4.53,4.63,4.68,-0.1,-2.1368,65169079,299232655.73
2019-01-22,'000413,东旭光电,4.68,4.76,4.61,4.64,4.66,0.02,0.4292,55981081,262389821.56
2019-01-21,'000413,东旭光电,4.66,4.7,4.59,4.64,4.64,0.02,0.431,50770215,235966633.71
2019-01-18,'000413,东旭光电,4.64,4.68,4.55,4.59,4.61,0.03,0.6508,74922098,345944359.6
2019-01-17,'000413,东旭光电,4.61,4.76,4.51,4.76,4.87,-0.26,-5.3388,102539565,472832709.99
2019-01-16,'000413,东旭光电,4.87,4.92,4.85,4.9,4.92,-0.05,-1.0163,33845429,165177879.74
2019-01-15,'000413,东旭光电,4.92,4.94,4.83,4.9,4.89,0.03,0.6135,47612094,233127499.36
2019-01-14,'000413,东旭光电,4.89,4.96,4.85,4.89,4.9,-0.01,-0.2041,38016149,186554568.14
2019-01-11,'000413,东旭光电,4.9,4.93,4.82,4.85,4.85,0.05,1.0309,41323556,201533721.14
2019-01-10,'000413,东旭光电,4.85,4.97,4.83,4.84,4.84,0.01,0.2066,47151234,230526586.92
2019-01-09,'000413,东旭光电,4.84,4.95,4.83,4.9,4.9,-0.06,-1.2245,65148177,318786896.47
2019-01-08,'000413,东旭光电,4.9,5.04,4.62,4.66,4.66,0.24,5.1502,98034390,478454803.91
2019-01-07,'000413,东旭光电,4.66,4.68,4.61,4.64,4.6,0.06,1.3043,33534265,155953185.55
2019-01-04,'000413,东旭光电,4.6,4.6,4.39,4.45,4.49,0.11,2.4499,37195975,168590344.25
2019-01-03,'000413,东旭光电,4.49,4.59,4.47,4.48,4.47,0.02,0.4474,23147557,104772650.36
2019-01-02,'000413,东旭光电,4.47,4.55,4.47,4.54,4.5,-0.03,-0.6667,17834608,80107471.33
2018-12-28,'000413,东旭光电,4.5,4.58,4.47,4.58,4.54,-0.04,-0.8811,24417614,110240838.5
2018-12-27,'000413,东旭光电,4.54,4.67,4.54,4.65,4.57,-0.03,-0.6565,27030628,124772823.12
2018-12-26,'000413,东旭光电,4.57,4.66,4.56,4.63,4.64,-0.07,-1.5086,19705000,90571637.96
2018-12-25,'000413,东旭光电,4.64,4.67,4.5,4.65,4.71,-0.07,-1.4862,35395613,162215071.5
2018-12-24,'000413,东旭光电,4.71,4.72,4.65,4.66,4.7,0.01,0.2128,16405533,77096236.2
2018-12-21,'000413,东旭光电,4.7,4.73,4.66,4.72,4.73,-0.03,-0.6342,20459400,96074152.2
2018-12-20,'000413,东旭光电,4.73,4.79,4.7,4.72,4.72,0.01,0.2119,24887725,117920433.47
2018-12-19,'000413,东旭光电,4.72,4.77,4.7,4.74,4.73,-0.01,-0.2114,20261484,95872446.58
