日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000415,渤海租赁,4.04,4.04,3.99,4.01,3.92,0.12,3.0612,24556953,98734817.05
2019-06-28,'000415,渤海租赁,3.92,3.99,3.91,3.99,3.98,-0.06,-1.5075,16170278,63548915.54
2019-06-27,'000415,渤海租赁,3.98,4.04,3.96,3.98,3.97,0.01,0.2519,18416865,73592381.36
2019-06-26,'000415,渤海租赁,3.97,3.99,3.94,3.97,3.97,0.0,0.0,10902966,43260711.89
2019-06-25,'000415,渤海租赁,3.97,4.04,3.93,4.02,4.03,-0.06,-1.4888,22250698,88461320.09
2019-06-24,'000415,渤海租赁,4.03,4.07,4.0,4.07,4.07,-0.04,-0.9828,18869122,76163612.54
2019-06-21,'000415,渤海租赁,4.07,4.09,4.0,4.01,4.05,0.02,0.4938,39859898,161651926.18
2019-06-20,'000415,渤海租赁,4.05,4.09,3.86,3.86,3.87,0.18,4.6512,52087302,207998051.58
2019-06-19,'000415,渤海租赁,3.87,3.92,3.86,3.87,3.8,0.07,1.8421,23667490,92059450.03
2019-06-18,'000415,渤海租赁,3.8,3.84,3.79,3.83,3.83,-0.03,-0.7833,12720129,48430211.75
2019-06-17,'000415,渤海租赁,3.83,3.84,3.8,3.82,3.81,0.02,0.5249,13276467,50719485.1
2019-06-14,'000415,渤海租赁,3.81,3.92,3.81,3.89,3.89,-0.08,-2.0566,16222722,62681629.25
2019-06-13,'000415,渤海租赁,3.89,3.91,3.85,3.87,3.88,0.01,0.2577,14257818,55350146.96
2019-06-12,'000415,渤海租赁,3.88,3.93,3.87,3.91,3.92,-0.04,-1.0204,18992054,73950864.42
2019-06-11,'000415,渤海租赁,3.92,3.93,3.79,3.81,3.8,0.12,3.1579,26944314,104483423.04
2019-06-10,'000415,渤海租赁,3.8,3.83,3.77,3.79,3.79,0.01,0.2639,17283018,65690739.3
2019-06-06,'000415,渤海租赁,3.79,3.84,3.77,3.84,3.84,-0.05,-1.3021,16493228,62668267.11
