日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000416,民生控股,5.94,6.09,5.92,6.0,5.87,0.07,1.1925,22822996,136812913.1
2019-06-28,'000416,民生控股,5.87,5.9,5.66,5.83,5.88,-0.01,-0.1701,16948895,97666831.5
2019-06-27,'000416,民生控股,5.88,6.05,5.74,5.75,5.74,0.14,2.439,19621195,115639188.0
2019-06-26,'000416,民生控股,5.74,5.9,5.71,5.8,5.99,-0.25,-4.1736,15343696,88920385.13
2019-06-25,'000416,民生控股,5.99,6.0,5.78,5.84,5.9,0.09,1.5254,24870614,146952923.78
2019-06-24,'000416,民生控股,5.9,6.09,5.86,6.0,6.16,-0.26,-4.2208,31883010,189317152.49
2019-06-21,'000416,民生控股,6.16,6.45,5.75,5.92,5.95,0.21,3.5294,68510485,415831702.36
2019-06-20,'000416,民生控股,5.98,5.98,5.08,5.25,5.44,0.54,9.9265,64617724,367176003.46
2019-06-19,'000416,民生控股,5.44,5.68,5.4,5.68,5.16,0.28,5.4264,36348249,203190022.9
2019-06-18,'000416,民生控股,5.16,5.22,4.91,4.95,4.95,0.21,4.2424,12588122,63867645.23
2019-06-17,'000416,民生控股,4.95,4.99,4.88,4.92,4.93,0.02,0.4057,3461001,17128041.95
2019-06-14,'000416,民生控股,4.93,5.1,4.91,5.05,5.1,-0.17,-3.3333,7120010,35603607.3
2019-06-13,'000416,民生控股,5.1,5.15,4.95,5.0,5.0,0.1,2.0,10775336,54628220.31
2019-06-12,'000416,民生控股,5.0,5.06,4.95,5.05,5.06,-0.06,-1.1858,8731800,43789199.0
2019-06-11,'000416,民生控股,5.06,5.1,4.83,4.85,4.85,0.21,4.3299,11277938,56216543.0
2019-06-10,'000416,民生控股,4.85,4.95,4.71,4.86,4.85,0.0,0.0,7138368,34482011.47
2019-06-06,'000416,民生控股,4.85,5.05,4.77,5.05,5.0,-0.15,-3.0,7469288,36561805.3
2019-06-05,'000416,民生控股,5.0,5.1,4.99,5.04,4.95,0.05,1.0101,7183601,36224090.03
2019-06-04,'000416,民生控股,4.95,5.18,4.93,5.11,5.12,-0.17,-3.3203,7828686,39305965.45
2019-06-03,'000416,民生控股,5.12,5.35,5.1,5.27,5.24,-0.12,-2.2901,8109800,42009116.14
2019-05-31,'000416,民生控股,5.24,5.38,5.23,5.31,5.32,-0.08,-1.5038,7492644,39801265.18
2019-05-30,'000416,民生控股,5.32,5.5,5.1,5.48,5.57,-0.25,-4.4883,15485579,82565984.33
2019-05-29,'000416,民生控股,5.57,5.68,5.43,5.48,5.48,0.09,1.6423,12732993,70718085.29
2019-05-28,'000416,民生控股,5.48,5.64,5.43,5.55,5.58,-0.1,-1.7921,10982518,61129062.9
2019-05-27,'000416,民生控股,5.58,5.63,5.4,5.42,5.42,0.16,2.952,11058750,61082837.86
2019-05-24,'000416,民生控股,5.42,5.53,5.38,5.38,5.47,-0.05,-0.9141,8274943,45151885.49
2019-05-23,'000416,民生控股,5.47,5.7,5.42,5.48,5.55,-0.08,-1.4414,11562901,64140169.6
2019-05-22,'000416,民生控股,5.55,5.74,5.49,5.72,5.73,-0.18,-3.1414,12817365,71658148.58
2019-05-21,'000416,民生控股,5.73,5.85,5.59,5.63,5.61,0.12,2.139,15281016,87562338.85
2019-05-20,'000416,民生控股,5.61,5.67,5.4,5.55,5.65,-0.04,-0.708,11897192,65911857.88
2019-05-17,'000416,民生控股,5.65,5.93,5.51,5.91,5.98,-0.33,-5.5184,21208615,121518104.14
2019-05-16,'000416,民生控股,5.98,6.07,5.65,5.74,5.76,0.22,3.8194,27365260,159895469.86
2019-05-15,'000416,民生控股,5.76,5.85,5.63,5.63,5.6,0.16,2.8571,17832028,102232789.86
2019-05-14,'000416,民生控股,5.6,5.7,5.51,5.51,5.65,-0.05,-0.885,11973752,67408213.07
2019-05-13,'000416,民生控股,5.65,5.75,5.6,5.65,5.81,-0.16,-2.7539,14178737,80483055.82
2019-05-10,'000416,民生控股,5.81,5.88,5.42,5.66,5.55,0.26,4.6847,27029600,154891407.22
2019-05-09,'000416,民生控股,5.55,5.74,5.5,5.51,5.6,-0.05,-0.8929,15505941,86748775.26
2019-05-08,'000416,民生控股,5.6,5.8,5.39,5.49,5.85,-0.25,-4.2735,20774975,117073643.7
2019-05-07,'000416,民生控股,5.85,5.98,5.65,5.67,5.6,0.25,4.4643,24642692,142898567.03
2019-05-06,'000416,民生控股,5.6,6.01,5.38,5.64,5.77,-0.17,-2.9463,31316136,178942002.63
2019-04-30,'000416,民生控股,5.77,5.84,5.57,5.57,5.51,0.26,4.7187,21165270,121011495.55
2019-04-29,'000416,民生控股,5.51,6.14,5.49,6.05,6.08,-0.57,-9.375,24690945,141323249.0
2019-04-26,'000416,民生控股,6.08,6.24,6.03,6.06,6.07,0.01,0.1647,17366283,106278780.04
2019-04-25,'000416,民生控股,6.07,6.46,6.0,6.4,6.45,-0.38,-5.8915,24856600,155333532.96
2019-04-24,'000416,民生控股,6.45,6.59,6.34,6.54,6.51,-0.06,-0.9217,21229196,136519576.46
2019-04-23,'000416,民生控股,6.51,6.83,6.35,6.66,6.83,-0.32,-4.6852,39217343,256697381.08
2019-04-22,'000416,民生控股,6.83,7.47,6.81,7.06,6.97,-0.14,-2.0086,48976378,349574794.51
2019-04-19,'000416,民生控股,6.97,7.13,6.64,6.83,6.88,0.09,1.3081,45663267,317044420.9
2019-04-18,'000416,民生控股,6.88,7.3,6.87,7.0,7.34,-0.46,-6.267,64121990,451594494.66
2019-04-17,'000416,民生控股,7.34,7.72,6.89,7.18,7.19,0.15,2.0862,104671004,771660710.75
2019-04-16,'000416,民生控股,7.19,7.19,6.09,6.2,6.54,0.65,9.9388,83622550,555544485.97
2019-04-15,'000416,民生控股,6.54,7.4,6.45,7.3,6.73,-0.19,-2.8232,101093053,714088934.82
2019-04-12,'000416,民生控股,6.73,6.73,5.81,6.1,6.12,0.61,9.9673,71380414,441370276.63
2019-04-11,'000416,民生控股,6.12,6.12,5.5,5.58,5.56,0.56,10.0719,49331771,294154433.21
2019-04-10,'000416,民生控股,5.56,5.63,5.42,5.59,5.62,-0.06,-1.0676,14575926,80603467.11
