日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000417,合肥百货,5.29,5.3,5.24,5.25,5.19,0.1,1.9268,3618500,19083164.0
2019-06-28,'000417,合肥百货,5.19,5.3,5.16,5.3,5.27,-0.08,-1.518,2358101,12272227.16
2019-06-27,'000417,合肥百货,5.27,5.31,5.24,5.25,5.25,0.02,0.381,2302500,12142883.0
2019-06-26,'000417,合肥百货,5.25,5.32,5.22,5.26,5.29,-0.04,-0.7561,1776033,9351693.83
2019-06-25,'000417,合肥百货,5.29,5.36,5.23,5.36,5.36,-0.07,-1.306,3472229,18314234.78
2019-06-24,'000417,合肥百货,5.36,5.44,5.24,5.25,5.24,0.12,2.2901,4387356,23379590.21
2019-06-21,'000417,合肥百货,5.24,5.28,5.2,5.22,5.2,0.04,0.7692,3302545,17309180.63
2019-06-20,'000417,合肥百货,5.35,5.36,5.26,5.26,5.28,0.07,1.3258,3818740,20337044.71
2019-06-19,'000417,合肥百货,5.28,5.32,5.25,5.28,5.22,0.06,1.1494,2211900,11682766.0
2019-06-18,'000417,合肥百货,5.22,5.26,5.2,5.22,5.24,-0.02,-0.3817,1596993,8347773.75
2019-06-17,'000417,合肥百货,5.24,5.24,5.19,5.2,5.2,0.04,0.7692,1827613,9535503.27
2019-06-14,'000417,合肥百货,5.2,5.27,5.19,5.26,5.23,-0.03,-0.5736,2415929,12661681.17
2019-06-13,'000417,合肥百货,5.23,5.27,5.16,5.19,5.21,0.02,0.3839,2727100,14197209.0
2019-06-12,'000417,合肥百货,5.21,5.27,5.2,5.25,5.25,-0.04,-0.7619,2390030,12494558.5
2019-06-11,'000417,合肥百货,5.25,5.26,5.14,5.14,5.14,0.11,2.1401,3405815,17803900.15
2019-06-10,'000417,合肥百货,5.14,5.2,5.13,5.14,5.12,0.02,0.3906,1902100,9813827.0
2019-06-06,'000417,合肥百货,5.12,5.2,5.11,5.2,5.18,-0.06,-1.1583,2393200,12347002.0
2019-06-05,'000417,合肥百货,5.18,5.24,5.18,5.22,5.16,0.02,0.3876,1508000,7844194.98
2019-06-04,'000417,合肥百货,5.16,5.2,5.14,5.19,5.19,-0.03,-0.578,1375136,7094691.0
2019-06-03,'000417,合肥百货,5.19,5.29,5.18,5.25,5.27,-0.08,-1.518,2947816,15396039.36
2019-05-31,'000417,合肥百货,5.27,5.31,5.23,5.27,5.27,0.0,0.0,1777441,9384425.3
2019-05-30,'000417,合肥百货,5.27,5.28,5.22,5.26,5.28,-0.01,-0.1894,1908404,10021685.2
2019-05-29,'000417,合肥百货,5.28,5.34,5.26,5.29,5.28,0.0,0.0,1671900,8859117.0
2019-05-28,'000417,合肥百货,5.28,5.33,5.27,5.31,5.29,-0.01,-0.189,2251347,11929378.99
