日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-06-20,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-19,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-18,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-17,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-14,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-13,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-12,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-11,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-10,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-06,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-05,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-04,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-06-03,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-31,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-30,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-29,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-28,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-27,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-24,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-23,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-22,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-21,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-20,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-17,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-16,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-15,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-14,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-13,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-10,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-09,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-08,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,57.39,None,None,0,0.0
2019-05-07,'000418,小天鹅Ａ,57.39,57.39,54.3,54.34,53.47,3.92,7.3312,7578470,423938766.2
2019-05-06,'000418,小天鹅Ａ,53.47,55.38,53.47,54.85,57.65,-4.18,-7.2507,6202647,339717241.47
2019-04-30,'000418,小天鹅Ａ,57.65,58.43,56.0,56.0,56.0,1.65,2.9464,4218388,242228600.97
2019-04-29,'000418,小天鹅Ａ,56.0,57.45,54.02,54.5,54.5,1.5,2.7523,4318617,243359574.43
2019-04-26,'000418,小天鹅Ａ,54.5,57.29,54.48,56.16,56.16,-1.66,-2.9558,2665788,147529657.71
2019-04-25,'000418,小天鹅Ａ,56.16,57.85,55.31,57.85,57.9,-1.74,-3.0052,2513704,142549210.05
2019-04-24,'000418,小天鹅Ａ,57.9,58.36,57.1,57.88,57.88,0.02,0.0346,1763080,101799086.26
2019-04-23,'000418,小天鹅Ａ,57.88,58.7,56.99,57.8,59.25,-1.37,-2.3122,2900063,167861854.03
2019-04-22,'000418,小天鹅Ａ,63.25,65.6,62.2,65.4,65.4,-2.15,-3.2875,3285247,207821591.91
2019-04-19,'000418,小天鹅Ａ,65.4,65.91,61.98,63.8,63.95,1.45,2.2674,3166518,202379259.36
2019-04-18,'000418,小天鹅Ａ,63.95,64.57,62.36,62.36,62.01,1.94,3.1285,3674772,234312747.26
2019-04-17,'000418,小天鹅Ａ,62.01,62.65,61.58,62.11,62.08,-0.07,-0.1128,2370191,147021713.17
2019-04-16,'000418,小天鹅Ａ,62.08,62.17,60.0,61.02,61.05,1.03,1.6871,2828323,173734981.72
2019-04-15,'000418,小天鹅Ａ,61.05,63.36,60.98,62.97,61.3,-0.25,-0.4078,2403197,149515302.11
2019-04-12,'000418,小天鹅Ａ,61.3,62.56,58.43,62.14,62.42,-1.12,-1.7943,2196546,134946072.58
2019-04-11,'000418,小天鹅Ａ,62.42,64.98,61.94,64.5,64.19,-1.77,-2.7574,3000328,188264788.32
2019-04-10,'000418,小天鹅Ａ,64.19,65.0,62.86,64.5,64.75,-0.56,-0.8649,2864646,183321533.59
2019-04-09,'000418,小天鹅Ａ,64.75,66.32,63.31,65.5,64.0,0.75,1.1719,3059507,198541031.23
2019-04-08,'000418,小天鹅Ａ,64.0,65.5,63.21,63.4,63.48,0.52,0.8192,4734337,304941443.73
2019-04-04,'000418,小天鹅Ａ,63.48,63.87,61.13,61.79,61.77,1.71,2.7683,4346364,273885759.59
2019-04-03,'000418,小天鹅Ａ,61.77,62.3,59.99,60.0,60.64,1.13,1.8635,3388054,208219693.97
2019-04-02,'000418,小天鹅Ａ,60.64,62.1,60.25,61.97,62.4,-1.76,-2.8205,4394891,267702824.68
2019-04-01,'000418,小天鹅Ａ,62.4,62.62,57.15,57.15,56.93,5.47,9.6083,8557232,519533633.91
2019-03-29,'000418,小天鹅Ａ,56.93,57.2,55.11,55.5,55.19,1.74,3.1527,3874950,219731853.12
2019-03-28,'000418,小天鹅Ａ,55.19,55.91,54.86,55.81,55.84,-0.65,-1.164,1936374,107086452.0
2019-03-27,'000418,小天鹅Ａ,55.84,56.0,54.0,54.25,53.86,1.98,3.6762,3213612,177447636.13
2019-03-26,'000418,小天鹅Ａ,53.86,55.17,53.58,55.0,54.62,-0.76,-1.3914,2063730,111877165.49
2019-03-25,'000418,小天鹅Ａ,54.62,55.75,54.61,55.6,56.44,-1.82,-3.2247,2545949,140599593.58
2019-03-22,'000418,小天鹅Ａ,56.44,56.8,55.8,56.36,56.35,0.09,0.1597,2215907,124615530.67
2019-03-21,'000418,小天鹅Ａ,56.35,56.86,55.85,56.64,56.86,-0.51,-0.8969,2967344,167011625.11
2019-03-20,'000418,小天鹅Ａ,56.86,57.28,56.28,57.27,57.28,-0.42,-0.7332,3436334,195240590.96
2019-03-19,'000418,小天鹅Ａ,57.28,57.97,56.72,57.61,57.47,-0.19,-0.3306,4011177,229191646.59
2019-03-18,'000418,小天鹅Ａ,57.47,58.04,56.0,56.1,57.7,-0.23,-0.3986,8281089,471735013.03
2019-03-15,'000418,小天鹅Ａ,57.7,58.69,56.22,56.47,54.3,3.4,6.2615,14684410,837875173.21
2019-03-14,'000418,小天鹅Ａ,54.3,55.12,53.67,54.0,54.46,-0.16,-0.2938,2402042,130994884.59
2019-03-13,'000418,小天鹅Ａ,54.46,54.46,52.89,54.1,53.59,0.87,1.6234,2110695,113033541.33
2019-03-12,'000418,小天鹅Ａ,53.59,55.12,53.0,55.0,54.37,-0.78,-1.4346,2750952,149026327.55
2019-03-11,'000418,小天鹅Ａ,54.37,54.65,53.65,53.65,53.65,0.72,1.342,1732263,93886251.16
2019-03-08,'000418,小天鹅Ａ,53.65,54.62,53.53,54.43,55.21,-1.56,-2.8256,2698932,146208954.12
2019-03-07,'000418,小天鹅Ａ,55.21,56.95,54.57,56.5,56.99,-1.78,-3.1234,2859941,158293261.1
2019-03-06,'000418,小天鹅Ａ,56.99,57.39,56.2,56.9,56.95,0.04,0.0702,2399618,136187053.45
2019-03-05,'000418,小天鹅Ａ,56.95,57.49,56.1,56.4,56.13,0.82,1.4609,2116549,120244332.93
2019-03-04,'000418,小天鹅Ａ,56.13,57.78,55.84,56.1,55.8,0.33,0.5914,4333303,246735696.45
2019-03-01,'000418,小天鹅Ａ,55.8,55.95,55.31,55.55,55.35,0.45,0.813,3349543,186640863.34
2019-02-28,'000418,小天鹅Ａ,55.35,55.98,55.09,55.6,55.99,-0.64,-1.1431,2960696,164326269.48
2019-02-27,'000418,小天鹅Ａ,55.99,56.4,55.41,55.93,55.95,0.04,0.0715,2961311,165599465.21
2019-02-26,'000418,小天鹅Ａ,55.95,56.59,55.62,56.28,56.91,-0.96,-1.6869,2933131,164363750.45
2019-02-25,'000418,小天鹅Ａ,56.91,57.0,54.3,55.0,54.0,2.91,5.3889,6442261,359953004.98
2019-02-22,'000418,小天鹅Ａ,54.0,54.25,52.61,54.25,54.2,-0.2,-0.369,2774043,148301053.89
2019-02-21,'000418,小天鹅Ａ,54.2,55.8,54.15,55.6,54.29,-0.09,-0.1658,3659040,200781371.79
2019-02-20,'000418,小天鹅Ａ,0.0,0.0,0.0,0.0,54.29,None,None,0,0.0
2019-02-19,'000418,小天鹅Ａ,54.29,55.29,53.45,54.52,54.15,0.14,0.2585,2828933,153875989.93
2019-02-18,'000418,小天鹅Ａ,54.15,54.34,53.05,53.05,52.7,1.45,2.7514,2934216,158505562.24
2019-02-15,'000418,小天鹅Ａ,52.7,54.66,52.56,54.66,54.74,-2.04,-3.7267,2669268,142183945.08
2019-02-14,'000418,小天鹅Ａ,54.74,55.08,53.43,53.47,53.57,1.17,2.1841,3189549,173272241.82
2019-02-13,'000418,小天鹅Ａ,53.57,53.89,52.71,53.42,53.54,0.03,0.056,3036650,162078485.4
2019-02-12,'000418,小天鹅Ａ,53.54,53.99,52.6,53.3,53.37,0.17,0.3185,3338107,177593706.69
2019-02-11,'000418,小天鹅Ａ,53.37,53.58,51.19,51.19,51.02,2.35,4.606,2420974,127684436.65
2019-02-01,'000418,小天鹅Ａ,51.02,51.28,49.79,50.65,50.1,0.92,1.8363,2077382,105113446.48
2019-01-31,'000418,小天鹅Ａ,50.1,50.23,48.53,49.77,48.9,1.2,2.454,2428405,120576775.14
2019-01-30,'000418,小天鹅Ａ,48.9,49.93,48.71,49.93,49.7,-0.8,-1.6097,1655968,81494498.87
2019-01-29,'000418,小天鹅Ａ,49.7,49.75,48.26,48.66,48.7,1.0,2.0534,1879169,92308934.76
2019-01-28,'000418,小天鹅Ａ,48.7,50.2,48.68,48.75,48.73,-0.03,-0.0616,2112619,104591982.84
2019-01-25,'000418,小天鹅Ａ,48.73,49.15,47.8,48.75,48.31,0.42,0.8694,1831015,89135256.38
2019-01-24,'000418,小天鹅Ａ,48.31,48.88,47.7,48.44,48.44,-0.13,-0.2684,1325790,64201680.59
2019-01-23,'000418,小天鹅Ａ,48.44,48.89,47.75,48.17,48.29,0.15,0.3106,1162450,56224582.84
