日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000419,通程控股,4.77,4.78,4.68,4.68,4.64,0.13,2.8017,3344047,15886673.25
2019-06-28,'000419,通程控股,4.64,4.73,4.62,4.72,4.71,-0.07,-1.4862,2528800,11775971.8
2019-06-27,'000419,通程控股,4.71,4.77,4.69,4.71,4.72,-0.01,-0.2119,2386520,11285814.6
2019-06-26,'000419,通程控股,4.72,4.76,4.69,4.74,4.71,0.01,0.2123,1917700,9061469.0
2019-06-25,'000419,通程控股,4.71,4.78,4.67,4.77,4.75,-0.04,-0.8421,2559600,12089545.0
2019-06-24,'000419,通程控股,4.75,4.84,4.72,4.79,4.79,-0.04,-0.8351,2586120,12354291.99
2019-06-21,'000419,通程控股,4.79,4.81,4.72,4.74,4.72,0.07,1.4831,3251210,15534020.7
2019-06-20,'000419,通程控股,4.72,4.76,4.61,4.63,4.64,0.08,1.7241,3372600,15838946.0
2019-06-19,'000419,通程控股,4.64,4.7,4.63,4.67,4.61,0.03,0.6508,2209100,10293308.0
2019-06-18,'000419,通程控股,4.61,4.63,4.56,4.58,4.58,0.03,0.655,1718996,7907451.6
2019-06-17,'000419,通程控股,4.58,4.59,4.5,4.53,4.5,0.08,1.7778,2842101,12940216.54
2019-06-14,'000419,通程控股,4.5,4.65,4.5,4.64,4.65,-0.15,-3.2258,2568888,11735389.71
2019-06-13,'000419,通程控股,4.65,4.65,4.57,4.62,4.61,0.04,0.8677,1544516,7132662.44
2019-06-12,'000419,通程控股,4.61,4.66,4.6,4.62,4.64,-0.03,-0.6466,1877420,8683837.6
2019-06-11,'000419,通程控股,4.64,4.66,4.48,4.51,4.49,0.15,3.3408,2742008,12577081.0
2019-06-10,'000419,通程控股,4.49,4.52,4.45,4.46,4.45,0.04,0.8989,1696708,7608818.76
2019-06-06,'000419,通程控股,4.45,4.57,4.45,4.56,4.54,-0.09,-1.9824,1907383,8579746.18
2019-06-05,'000419,通程控股,4.54,4.62,4.52,4.54,4.52,0.02,0.4425,2901575,13234419.5
2019-06-04,'000419,通程控股,4.52,4.63,4.48,4.59,4.6,-0.08,-1.7391,2313375,10496728.75
2019-06-03,'000419,通程控股,4.6,4.66,4.56,4.61,4.61,-0.01,-0.2169,2204400,10163914.0
2019-05-31,'000419,通程控股,4.61,4.65,4.59,4.61,4.61,0.0,0.0,2035600,9399466.0
2019-05-30,'000419,通程控股,4.61,4.66,4.57,4.66,4.66,-0.05,-1.073,2313370,10654654.6
2019-05-29,'000419,通程控股,4.66,4.71,4.62,4.7,4.68,-0.02,-0.4274,2730800,12750356.0
2019-05-28,'000419,通程控股,4.68,4.75,4.67,4.7,4.72,-0.04,-0.8475,2263146,10689505.28
2019-05-27,'000419,通程控股,4.72,4.72,4.6,4.62,4.62,0.1,2.1645,2255000,10535475.44
2019-05-24,'000419,通程控股,4.62,4.66,4.6,4.62,4.64,-0.02,-0.431,1944616,8999349.76
2019-05-23,'000419,通程控股,4.64,4.77,4.63,4.76,4.77,-0.13,-2.7254,2276361,10663042.09
2019-05-22,'000419,通程控股,4.77,4.8,4.72,4.77,4.78,-0.01,-0.2092,1523700,7269989.0
2019-05-21,'000419,通程控股,4.78,4.81,4.7,4.71,4.71,0.07,1.4862,1947606,9288274.44
2019-05-20,'000419,通程控股,4.71,4.71,4.63,4.68,4.71,0.0,0.0,2140152,10008510.98
2019-05-17,'000419,通程控股,4.71,4.92,4.7,4.9,4.9,-0.19,-3.8776,2696761,12979245.68
2019-05-16,'000419,通程控股,4.9,4.91,4.83,4.87,4.87,0.03,0.616,3025316,14745115.48
