日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000420,吉林化纤,2.73,2.76,2.71,2.72,2.67,0.06,2.2472,8930400,24351347.0
2019-06-28,'000420,吉林化纤,2.67,2.73,2.65,2.73,2.72,-0.05,-1.8382,8298800,22198036.0
2019-06-27,'000420,吉林化纤,2.72,2.76,2.71,2.73,2.74,-0.02,-0.7299,8270902,22562758.44
2019-06-26,'000420,吉林化纤,2.74,2.79,2.73,2.79,2.79,-0.05,-1.7921,9268055,25532227.7
2019-06-25,'000420,吉林化纤,2.79,2.86,2.78,2.85,2.86,-0.07,-2.4476,9038302,25266513.56
2019-06-24,'000420,吉林化纤,2.86,2.86,2.81,2.85,2.84,0.02,0.7042,8906602,25261743.68
2019-06-21,'000420,吉林化纤,2.84,2.84,2.8,2.8,2.8,0.04,1.4286,10653102,30039178.64
2019-06-20,'000420,吉林化纤,2.8,2.82,2.76,2.79,2.79,0.01,0.3584,12071895,33706678.05
2019-06-19,'000420,吉林化纤,2.79,2.84,2.78,2.82,2.77,0.02,0.722,9492206,26652087.74
2019-06-18,'000420,吉林化纤,2.77,2.83,2.76,2.81,2.79,-0.02,-0.7168,9122916,25473052.32
2019-06-17,'000420,吉林化纤,2.79,2.85,2.77,2.85,2.83,-0.04,-1.4134,8940978,25013844.62
2019-06-14,'000420,吉林化纤,2.83,2.94,2.8,2.94,2.91,-0.08,-2.7491,14503368,41483720.84
2019-06-13,'000420,吉林化纤,2.91,3.0,2.88,2.92,2.94,-0.03,-1.0204,14542533,42521039.18
2019-06-12,'000420,吉林化纤,2.94,3.02,2.81,2.86,2.84,0.1,3.5211,32606441,96080423.56
2019-06-11,'000420,吉林化纤,2.84,2.86,2.75,2.79,2.77,0.07,2.5271,18053511,50995068.06
2019-06-10,'000420,吉林化纤,2.77,2.9,2.75,2.9,2.89,-0.12,-4.1522,23702448,66729438.88
2019-06-06,'000420,吉林化纤,2.89,3.04,2.89,2.98,3.01,-0.12,-3.9867,23045334,67884907.62
2019-06-05,'000420,吉林化纤,3.01,3.01,2.86,2.96,2.93,0.08,2.7304,28554602,84078787.78
2019-06-04,'000420,吉林化纤,2.93,3.07,2.91,2.99,2.99,-0.06,-2.0067,37804141,112749868.14
2019-06-03,'000420,吉林化纤,2.99,3.02,2.71,2.87,2.88,0.11,3.8194,45185702,129799464.14
2019-05-31,'000420,吉林化纤,2.88,2.98,2.86,2.98,2.94,-0.06,-2.0408,31950308,93253580.74
2019-05-30,'000420,吉林化纤,2.94,3.07,2.82,2.9,2.8,0.14,5.0,63250092,185518573.2
2019-05-29,'000420,吉林化纤,2.8,2.85,2.75,2.78,2.8,0.0,0.0,15623202,43802672.2
2019-05-28,'000420,吉林化纤,2.8,2.92,2.68,2.81,2.83,-0.03,-1.0601,35287076,99769735.6
2019-05-27,'000420,吉林化纤,2.83,2.83,2.65,2.65,2.62,0.21,8.0153,36437759,100754969.77
2019-05-24,'000420,吉林化纤,2.62,2.63,2.52,2.53,2.54,0.08,3.1496,15404215,40009493.7
2019-05-23,'000420,吉林化纤,2.54,2.57,2.49,2.52,2.53,0.01,0.3953,10339647,26277013.51
2019-05-22,'000420,吉林化纤,2.53,2.54,2.49,2.5,2.51,0.02,0.7968,9620136,24242923.7
2019-05-21,'000420,吉林化纤,2.51,2.53,2.42,2.43,2.45,0.06,2.449,7978002,19888785.0
2019-05-20,'000420,吉林化纤,2.45,2.51,2.39,2.5,2.49,-0.04,-1.6064,7763502,18861649.88
2019-05-17,'000420,吉林化纤,2.49,2.57,2.46,2.55,2.55,-0.06,-2.3529,11150100,27953964.0
2019-05-16,'000420,吉林化纤,2.55,2.62,2.54,2.61,2.58,-0.03,-1.1628,12176300,31160398.0
2019-05-15,'000420,吉林化纤,2.58,2.61,2.45,2.45,2.45,0.13,5.3061,25280396,64538378.16
2019-05-14,'000420,吉林化纤,2.45,2.48,2.39,2.4,2.44,0.01,0.4098,13806468,33801997.38
2019-05-13,'000420,吉林化纤,2.44,2.44,2.35,2.38,2.4,0.04,1.6667,17688278,42566608.8
2019-05-10,'000420,吉林化纤,2.4,2.41,2.33,2.34,2.34,0.06,2.5641,16251222,38612238.6
2019-05-09,'000420,吉林化纤,2.34,2.36,2.32,2.35,2.36,-0.02,-0.8475,8505774,19876595.42
2019-05-08,'000420,吉林化纤,2.36,2.41,2.28,2.34,2.38,-0.02,-0.8403,12395808,29265477.04
2019-05-07,'000420,吉林化纤,2.38,2.41,2.33,2.37,2.34,0.04,1.7094,11565728,27494379.34
2019-05-06,'000420,吉林化纤,2.34,2.46,2.28,2.46,2.48,-0.14,-5.6452,20428544,48263371.96
2019-04-30,'000420,吉林化纤,2.48,2.51,2.38,2.38,2.37,0.11,4.6414,20263840,49898896.68
2019-04-29,'000420,吉林化纤,2.37,2.52,2.34,2.51,2.5,-0.13,-5.2,21297754,51421321.84
2019-04-26,'000420,吉林化纤,2.5,2.54,2.48,2.5,2.54,-0.04,-1.5748,16316722,40916725.18
2019-04-25,'000420,吉林化纤,2.54,2.67,2.53,2.67,2.68,-0.14,-5.2239,18862800,49016786.0
2019-04-24,'000420,吉林化纤,2.68,2.7,2.61,2.7,2.68,0.0,0.0,15930887,42369929.25
2019-04-23,'000420,吉林化纤,2.68,2.76,2.67,2.76,2.73,-0.05,-1.8315,14429100,39068978.0
2019-04-22,'000420,吉林化纤,2.73,2.81,2.73,2.79,2.78,-0.05,-1.7986,15278300,42440706.68
2019-04-19,'000420,吉林化纤,2.78,2.83,2.74,2.79,2.81,-0.03,-1.0676,20043896,55560370.64
2019-04-18,'000420,吉林化纤,2.81,2.86,2.79,2.84,2.84,-0.03,-1.0563,15301800,43289114.0
2019-04-17,'000420,吉林化纤,2.84,2.87,2.81,2.84,2.84,0.0,0.0,17850077,50639553.89
2019-04-16,'000420,吉林化纤,2.84,2.84,2.76,2.8,2.81,0.03,1.0676,18690037,52426939.79
2019-04-15,'000420,吉林化纤,2.81,2.84,2.77,2.77,2.77,0.04,1.444,24365218,68572829.16
2019-04-12,'000420,吉林化纤,2.77,2.82,2.72,2.78,2.78,-0.01,-0.3597,18721294,51832719.62
2019-04-11,'000420,吉林化纤,2.78,2.89,2.75,2.89,2.9,-0.12,-4.1379,37632143,105514839.33
2019-04-10,'000420,吉林化纤,2.9,2.91,2.85,2.88,2.88,0.02,0.6944,22018688,63543515.56
2019-04-09,'000420,吉林化纤,2.88,2.95,2.85,2.95,2.97,-0.09,-3.0303,39614166,114215567.76
2019-04-08,'000420,吉林化纤,2.97,3.14,2.95,3.05,3.01,-0.04,-1.3289,38894556,117408780.25
2019-04-04,'000420,吉林化纤,3.01,3.02,2.98,3.02,3.01,0.0,0.0,19142396,57444526.5
2019-04-03,'000420,吉林化纤,3.01,3.04,2.93,3.04,3.0,0.01,0.3333,23598906,70556108.98
2019-04-02,'000420,吉林化纤,3.0,3.07,2.99,3.06,3.04,-0.04,-1.3158,17716766,53382826.0
2019-04-01,'000420,吉林化纤,3.04,3.07,2.96,2.98,2.96,0.08,2.7027,23612276,71403510.88
2019-03-29,'000420,吉林化纤,2.96,2.98,2.88,2.92,2.92,0.04,1.3699,20064782,59108511.32
2019-03-28,'000420,吉林化纤,2.92,3.01,2.9,2.98,3.04,-0.12,-3.9474,45904448,135185553.56
2019-03-27,'000420,吉林化纤,3.04,3.08,2.74,2.82,2.8,0.24,8.5714,67134773,197947813.77
2019-03-26,'000420,吉林化纤,2.8,2.92,2.78,2.88,2.88,-0.08,-2.7778,28632002,81302386.52
2019-03-25,'000420,吉林化纤,2.88,2.95,2.82,2.85,2.91,-0.03,-1.0309,25158493,72610941.03
2019-03-22,'000420,吉林化纤,2.91,2.93,2.8,2.82,2.84,0.07,2.4648,29694132,84658574.36
2019-03-21,'000420,吉林化纤,2.84,2.88,2.8,2.83,2.84,0.0,0.0,31464613,89443209.52
2019-03-20,'000420,吉林化纤,2.84,2.88,2.72,2.73,2.72,0.12,4.4118,57743385,162450768.44
2019-03-19,'000420,吉林化纤,2.72,2.77,2.66,2.71,2.71,0.01,0.369,36068030,97559383.64
2019-03-18,'000420,吉林化纤,2.71,2.71,2.55,2.59,2.59,0.12,4.6332,46675099,123677338.96
2019-03-15,'000420,吉林化纤,2.59,2.62,2.5,2.52,2.48,0.11,4.4355,38537331,99369254.83
2019-03-14,'000420,吉林化纤,2.48,2.57,2.44,2.54,2.56,-0.08,-3.125,27785919,69618670.75
2019-03-13,'000420,吉林化纤,2.56,2.6,2.53,2.6,2.6,-0.04,-1.5385,34048000,87602090.28
2019-03-12,'000420,吉林化纤,2.6,2.64,2.52,2.59,2.59,0.01,0.3861,40104279,103961466.64
2019-03-11,'000420,吉林化纤,2.59,2.59,2.43,2.43,2.44,0.15,6.1475,45795162,115469031.86
2019-03-08,'000420,吉林化纤,2.44,2.66,2.44,2.6,2.67,-0.23,-8.6142,64649310,165806902.93
2019-03-07,'000420,吉林化纤,2.67,2.71,2.52,2.59,2.6,0.07,2.6923,80049731,210031459.93
2019-03-06,'000420,吉林化纤,2.6,2.6,2.46,2.48,2.5,0.1,4.0,62749201,158668838.31
2019-03-05,'000420,吉林化纤,2.5,2.55,2.33,2.36,2.37,0.13,5.4852,64131646,158220730.5
2019-03-04,'000420,吉林化纤,2.37,2.44,2.35,2.36,2.36,0.01,0.4237,35828300,85486008.98
2019-03-01,'000420,吉林化纤,2.36,2.42,2.29,2.39,2.4,-0.04,-1.6667,41149581,95982855.69
2019-02-28,'000420,吉林化纤,2.4,2.55,2.34,2.35,2.37,0.03,1.2658,60190088,146821530.62
2019-02-27,'000420,吉林化纤,2.37,2.5,2.26,2.29,2.3,0.07,3.0435,73080307,173442956.65
2019-02-26,'000420,吉林化纤,2.3,2.4,2.22,2.25,2.23,0.07,3.139,59582796,136900892.38
2019-02-25,'000420,吉林化纤,2.23,2.25,2.13,2.13,2.13,0.1,4.6948,37522437,82610773.7
2019-02-22,'000420,吉林化纤,2.13,2.14,2.08,2.1,2.1,0.03,1.4286,16364976,34571479.4
2019-02-21,'000420,吉林化纤,2.1,2.18,2.08,2.13,2.13,-0.03,-1.4085,24793734,52784738.08
