日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000422,ST宜化,3.21,3.22,3.18,3.18,3.15,0.06,1.9048,6340663,20306127.34
2019-06-28,'000422,ST宜化,3.15,3.21,3.13,3.2,3.2,-0.05,-1.5625,3930022,12439162.08
2019-06-27,'000422,ST宜化,3.2,3.22,3.18,3.2,3.19,0.01,0.3135,5062468,16197925.6
2019-06-26,'000422,ST宜化,3.19,3.21,3.14,3.17,3.18,0.01,0.3145,3770444,12003851.49
2019-06-25,'000422,ST宜化,3.18,3.21,3.15,3.21,3.21,-0.03,-0.9346,4682044,14843172.04
2019-06-24,'000422,ST宜化,3.21,3.21,3.15,3.18,3.19,0.02,0.627,5099035,16238126.1
2019-06-21,'000422,ST宜化,3.19,3.25,3.17,3.2,3.12,0.07,2.2436,7920614,25367263.52
2019-06-20,'000422,ST宜化,3.12,3.14,3.05,3.09,3.1,0.02,0.6452,6035132,18673552.85
2019-06-19,'000422,ST宜化,3.1,3.17,3.09,3.14,3.09,0.01,0.3236,5662100,17635487.0
2019-06-18,'000422,ST宜化,3.09,3.13,3.06,3.1,3.09,0.0,0.0,3305195,10234821.69
2019-06-17,'000422,ST宜化,3.09,3.15,3.08,3.1,3.13,-0.04,-1.278,3126362,9742463.9
2019-06-14,'000422,ST宜化,3.13,3.22,3.12,3.19,3.2,-0.07,-2.1875,4770200,15085095.44
2019-06-13,'000422,ST宜化,3.2,3.21,3.1,3.15,3.14,0.06,1.9108,5749817,18234975.5
2019-06-12,'000422,ST宜化,3.14,3.23,3.13,3.18,3.18,-0.04,-1.2579,5514510,17532570.75
2019-06-11,'000422,ST宜化,3.18,3.18,3.06,3.08,3.06,0.12,3.9216,5521164,17349068.14
2019-06-10,'000422,ST宜化,3.06,3.14,3.01,3.1,3.08,-0.02,-0.6494,2758301,8499776.07
2019-06-06,'000422,ST宜化,3.08,3.2,3.07,3.19,3.18,-0.1,-3.1447,5183250,16112919.03
2019-06-05,'000422,ST宜化,3.18,3.25,3.17,3.21,3.17,0.01,0.3155,2927326,9345422.68
2019-06-04,'000422,ST宜化,3.17,3.23,3.15,3.21,3.21,-0.04,-1.2461,4163747,13220033.52
2019-06-03,'000422,ST宜化,3.21,3.35,3.18,3.3,3.34,-0.13,-3.8922,7258079,23581299.01
2019-05-31,'000422,ST宜化,3.34,3.41,3.34,3.37,3.39,-0.05,-1.4749,5521390,18580936.6
2019-05-30,'000422,ST宜化,3.39,3.42,3.21,3.25,3.26,0.13,3.9877,8125330,26849448.49
2019-05-29,'000422,ST宜化,3.26,3.29,3.23,3.25,3.26,0.0,0.0,3525301,11514883.26
2019-05-28,'000422,ST宜化,3.26,3.38,3.26,3.31,3.31,-0.05,-1.5106,5866587,19507650.62
2019-05-27,'000422,ST宜化,3.31,3.31,3.21,3.23,3.22,0.09,2.795,6062043,19790381.4
2019-05-24,'000422,ST宜化,3.22,3.31,3.17,3.26,3.29,-0.07,-2.1277,6313912,20313544.05
2019-05-23,'000422,ST宜化,3.29,3.41,3.24,3.35,3.35,-0.06,-1.791,6461422,21345752.06
2019-05-22,'000422,ST宜化,3.35,3.43,3.34,3.39,3.37,-0.02,-0.5935,4778063,16135092.11
2019-05-21,'000422,ST宜化,3.37,3.42,3.31,3.31,3.3,0.07,2.1212,6012632,20288364.04
2019-05-20,'000422,ST宜化,3.3,3.44,3.29,3.42,3.46,-0.16,-4.6243,12950720,42721718.35
2019-05-17,'000422,ST宜化,3.46,3.73,3.46,3.68,3.64,-0.18,-4.9451,19606867,69887231.66
2019-05-16,'000422,ST宜化,3.64,3.64,3.45,3.48,3.47,0.17,4.8991,13416296,48153097.01
