ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000423,¶«°¢°¢½º,40.79,40.81,39.99,40.18,39.82,0.97,2.436,6125347,248057936.08
2019-06-28,'000423,¶«°¢°¢½º,39.82,40.16,39.74,40.16,40.1,-0.28,-0.6983,3525204,140536210.28
2019-06-27,'000423,¶«°¢°¢½º,40.1,40.17,39.85,40.0,39.91,0.19,0.4761,6087060,243502607.41
2019-06-26,'000423,¶«°¢°¢½º,39.91,40.08,39.5,39.7,39.8,0.11,0.2764,5946942,237297446.3
2019-06-25,'000423,¶«°¢°¢½º,39.8,40.08,39.39,39.4,39.21,0.59,1.5047,9335063,371441472.95
2019-06-24,'000423,¶«°¢°¢½º,39.21,39.39,38.93,39.36,39.29,-0.08,-0.2036,4831801,189582985.24
2019-06-21,'000423,¶«°¢°¢½º,39.29,39.53,39.23,39.25,39.24,0.05,0.1274,6592462,259395830.53
2019-06-20,'000423,¶«°¢°¢½º,39.24,39.37,38.56,38.66,38.75,0.49,1.2645,7114982,277538211.04
2019-06-19,'000423,¶«°¢°¢½º,38.75,39.33,38.75,39.2,38.49,0.26,0.6755,4703551,183250943.39
2019-06-18,'000423,¶«°¢°¢½º,38.49,38.69,38.39,38.39,38.39,0.1,0.2605,2869000,110497537.57
2019-06-17,'000423,¶«°¢°¢½º,38.39,38.9,38.34,38.57,38.67,-0.28,-0.7241,5320405,204676041.9
2019-06-14,'000423,¶«°¢°¢½º,38.67,39.73,38.58,39.6,39.61,-0.94,-2.3731,8965280,350868384.1
2019-06-13,'000423,¶«°¢°¢½º,39.61,39.84,39.5,39.82,39.82,-0.21,-0.5274,4238322,167771654.67
2019-06-12,'000423,¶«°¢°¢½º,39.82,40.48,39.73,40.48,40.63,-0.81,-1.9936,5649649,225962384.91
2019-06-11,'000423,¶«°¢°¢½º,40.63,40.65,39.72,39.81,39.84,0.79,1.9829,7172688,288740736.54
2019-06-10,'000423,¶«°¢°¢½º,39.84,40.03,39.52,39.7,39.7,0.14,0.3526,2917607,116001382.27
2019-06-06,'000423,¶«°¢°¢½º,39.7,40.31,39.7,40.3,40.31,-0.61,-1.5133,3408611,136021775.06
2019-06-05,'000423,¶«°¢°¢½º,40.31,40.66,40.08,40.66,40.3,0.01,0.0248,2165229,87473481.58
2019-06-04,'000423,¶«°¢°¢½º,40.3,40.77,40.19,40.77,40.57,-0.27,-0.6655,2367149,95485915.72
2019-06-03,'000423,¶«°¢°¢½º,40.57,41.08,40.4,40.82,40.83,-0.26,-0.6368,2033485,82628223.09
2019-05-31,'000423,¶«°¢°¢½º,40.83,41.19,40.71,40.83,40.87,-0.04,-0.0979,1876809,76859600.33
2019-05-30,'000423,¶«°¢°¢½º,40.87,40.91,40.48,40.78,40.92,-0.05,-0.1222,2130124,86720784.87
2019-05-29,'000423,¶«°¢°¢½º,40.92,41.18,40.66,40.99,41.25,-0.33,-0.8,2298998,94106670.79
2019-05-28,'000423,¶«°¢°¢½º,41.25,41.49,40.84,40.99,41.24,0.01,0.0242,3814194,157064191.17
2019-05-27,'000423,¶«°¢°¢½º,41.24,41.27,40.6,41.0,40.09,1.15,2.8685,4582569,188061413.89
