日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000425,徐工机械,4.72,4.79,4.5,4.55,4.46,0.26,5.8296,151520215,704217817.38
2019-06-28,'000425,徐工机械,4.46,4.5,4.43,4.46,4.47,-0.01,-0.2237,38504836,171830343.38
2019-06-27,'000425,徐工机械,4.47,4.53,4.46,4.49,4.47,0.0,0.0,42293622,189855397.97
2019-06-26,'000425,徐工机械,4.53,4.56,4.47,4.5,4.53,0.0,0.0,39341876,177929097.96
2019-06-25,'000425,徐工机械,4.53,4.6,4.43,4.58,4.59,-0.06,-1.3072,67456608,303600044.57
2019-06-24,'000425,徐工机械,4.59,4.63,4.51,4.63,4.58,0.01,0.2183,63671112,291064680.19
2019-06-21,'000425,徐工机械,4.58,4.64,4.54,4.57,4.58,0.0,0.0,66231292,303444192.97
2019-06-20,'000425,徐工机械,4.58,4.61,4.42,4.42,4.44,0.14,3.1532,88715700,402647267.79
2019-06-19,'000425,徐工机械,4.44,4.63,4.43,4.58,4.45,-0.01,-0.2247,74547249,335462105.21
2019-06-18,'000425,徐工机械,4.45,4.49,4.4,4.47,4.48,-0.03,-0.6696,42178376,187149733.31
2019-06-17,'000425,徐工机械,4.48,4.49,4.38,4.42,4.4,0.08,1.8182,44496215,198685184.56
2019-06-14,'000425,徐工机械,4.4,4.52,4.39,4.47,4.48,-0.08,-1.7857,40624921,181044777.5
2019-06-13,'000425,徐工机械,4.48,4.51,4.38,4.46,4.45,0.03,0.6742,63202996,281373528.24
2019-06-12,'000425,徐工机械,4.45,4.5,4.41,4.45,4.44,0.01,0.2252,62252518,277341640.26
2019-06-11,'000425,徐工机械,4.44,4.45,4.26,4.26,4.25,0.19,4.4706,86629799,380386672.1
2019-06-10,'000425,徐工机械,4.25,4.27,4.15,4.18,4.17,0.08,1.9185,49446798,209060349.07
2019-06-06,'000425,徐工机械,4.17,4.19,4.11,4.18,4.17,0.0,0.0,46966286,195239356.44
2019-06-05,'000425,徐工机械,4.17,4.22,4.15,4.19,4.17,0.0,0.0,44045059,184576794.65
2019-06-04,'000425,徐工机械,4.17,4.28,4.13,4.27,4.27,-0.1,-2.3419,63220896,264093619.61
2019-06-03,'000425,徐工机械,4.27,4.34,4.22,4.27,4.28,-0.01,-0.2336,46168071,197189503.7
2019-05-31,'000425,徐工机械,4.28,4.35,4.27,4.32,4.33,-0.05,-1.1547,42956973,184767296.66
2019-05-30,'000425,徐工机械,4.33,4.39,4.28,4.39,4.41,-0.08,-1.8141,52816890,227961459.57
2019-05-29,'000425,徐工机械,4.41,4.45,4.39,4.42,4.45,-0.04,-0.8989,43338004,191243996.27
2019-05-28,'000425,徐工机械,4.45,4.47,4.38,4.4,4.41,0.04,0.907,69099506,306217597.11
2019-05-27,'000425,徐工机械,4.41,4.43,4.27,4.3,4.3,0.11,2.5581,54471429,237669427.19
2019-05-24,'000425,徐工机械,4.3,4.34,4.26,4.29,4.3,0.0,0.0,38869613,166810913.67
2019-05-23,'000425,徐工机械,4.3,4.37,4.29,4.33,4.35,-0.05,-1.1494,39510963,170708074.7
2019-05-22,'000425,徐工机械,4.35,4.44,4.32,4.44,4.43,-0.08,-1.8059,59056502,258323480.93
2019-05-21,'000425,徐工机械,4.43,4.47,4.35,4.36,4.36,0.07,1.6055,53040088,235056545.53
2019-05-20,'000425,徐工机械,4.36,4.39,4.31,4.35,4.39,-0.03,-0.6834,44839884,195012158.03
2019-05-17,'000425,徐工机械,4.39,4.58,4.37,4.58,4.57,-0.18,-3.9387,76088128,338674363.0
2019-05-16,'000425,徐工机械,4.57,4.57,4.48,4.5,4.49,0.08,1.7817,68544716,310976747.14
2019-05-15,'000425,徐工机械,4.49,4.52,4.42,4.42,4.41,0.08,1.8141,65686375,293867669.07
2019-05-14,'000425,徐工机械,4.41,4.47,4.32,4.36,4.4,0.01,0.2273,76864152,339543222.42
2019-05-13,'000425,徐工机械,4.4,4.47,4.38,4.41,4.49,-0.09,-2.0045,76066646,335508308.28
2019-05-10,'000425,徐工机械,4.49,4.49,4.25,4.36,4.28,0.21,4.9065,110855748,487658671.74
2019-05-09,'000425,徐工机械,4.28,4.42,4.26,4.35,4.39,-0.11,-2.5057,71179082,308123133.01
2019-05-08,'000425,徐工机械,4.39,4.46,4.27,4.3,4.42,-0.03,-0.6787,79834401,350612702.76
2019-05-07,'000425,徐工机械,4.42,4.43,4.22,4.26,4.19,0.23,5.4893,142411253,619334408.87
2019-05-06,'000425,徐工机械,4.19,4.48,4.16,4.4,4.58,-0.39,-8.5153,161864175,694765168.36
2019-04-30,'000425,徐工机械,4.58,4.59,4.5,4.58,4.56,0.02,0.4386,68181897,310500857.37
2019-04-29,'000425,徐工机械,4.56,4.63,4.48,4.53,4.52,0.04,0.885,101257101,462870587.91
2019-04-26,'000425,徐工机械,4.52,4.71,4.51,4.7,4.71,-0.19,-4.034,141956425,648729109.09
2019-04-25,'000425,徐工机械,4.71,4.91,4.67,4.9,4.91,-0.2,-4.0733,121147783,576845235.6
2019-04-24,'000425,徐工机械,4.91,4.95,4.83,4.88,4.89,0.02,0.409,88588496,433422700.83
2019-04-23,'000425,徐工机械,4.89,4.97,4.79,4.85,4.83,0.06,1.2422,137535984,671771566.87
2019-04-22,'000425,徐工机械,4.83,5.16,4.8,5.14,5.08,-0.25,-4.9213,226232855,1114902974.7
2019-04-19,'000425,徐工机械,5.08,5.11,4.98,5.0,5.02,0.06,1.1952,114998242,579885178.63
2019-04-18,'000425,徐工机械,5.02,5.24,4.97,5.05,5.07,-0.05,-0.9862,140469738,713596889.84
2019-04-17,'000425,徐工机械,5.07,5.12,5.03,5.09,5.06,0.01,0.1976,97756200,495288612.44
2019-04-16,'000425,徐工机械,5.06,5.07,4.91,4.93,4.94,0.12,2.4291,133441324,668754566.21
2019-04-15,'000425,徐工机械,4.94,5.36,4.92,5.28,5.12,-0.18,-3.5156,233392717,1195859925.08
2019-04-12,'000425,徐工机械,5.12,5.13,4.93,4.93,4.96,0.16,3.2258,186446689,940704949.26
2019-04-11,'000425,徐工机械,4.96,5.24,4.95,5.07,5.1,-0.14,-2.7451,265979262,1358683493.36
2019-04-10,'000425,徐工机械,5.1,5.18,4.8,4.82,4.87,0.23,4.7228,211148435,1062629586.42
2019-04-09,'000425,徐工机械,4.87,4.9,4.76,4.83,4.83,0.04,0.8282,134611797,652205404.1
2019-04-08,'000425,徐工机械,4.83,4.91,4.71,4.89,4.72,0.11,2.3305,207731625,998632731.41
2019-04-04,'000425,徐工机械,4.72,4.74,4.59,4.6,4.57,0.15,3.2823,181463054,849406205.19
2019-04-03,'000425,徐工机械,4.57,4.58,4.46,4.5,4.49,0.08,1.7817,120735016,547642632.3
2019-04-02,'000425,徐工机械,4.49,4.64,4.48,4.63,4.51,-0.02,-0.4435,108251730,489553935.18
2019-04-01,'000425,徐工机械,4.51,4.59,4.45,4.46,4.4,0.11,2.5,129281496,580846405.88
2019-03-29,'000425,徐工机械,4.4,4.43,4.21,4.24,4.24,0.16,3.7736,130969119,570310424.25
2019-03-28,'000425,徐工机械,4.24,4.32,4.23,4.3,4.33,-0.09,-2.0785,53502871,228538282.58
2019-03-27,'000425,徐工机械,4.33,4.33,4.2,4.27,4.24,0.09,2.1226,81568837,348913997.28
2019-03-26,'000425,徐工机械,4.24,4.41,4.21,4.39,4.36,-0.12,-2.7523,103358215,443375475.17
2019-03-25,'000425,徐工机械,4.36,4.46,4.36,4.42,4.5,-0.14,-3.1111,109925257,484747040.81
2019-03-22,'000425,徐工机械,4.5,4.56,4.43,4.52,4.49,0.01,0.2227,94299899,422834759.94
2019-03-21,'000425,徐工机械,4.49,4.56,4.45,4.55,4.52,-0.03,-0.6637,95904666,431478558.38
