日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000428,华天酒店,3.0,3.0,2.96,2.99,2.95,0.05,1.6949,3370101,10077286.99
2019-06-28,'000428,华天酒店,2.95,2.98,2.94,2.96,2.96,-0.01,-0.3378,3229166,9534553.04
2019-06-27,'000428,华天酒店,2.96,3.0,2.95,2.97,2.98,-0.02,-0.6711,4052000,12034175.0
2019-06-26,'000428,华天酒店,2.98,3.04,2.97,3.03,3.1,-0.12,-3.871,8104077,24255673.69
2019-06-25,'000428,华天酒店,3.1,3.38,3.04,3.13,3.15,-0.05,-1.5873,17228887,53758352.75
2019-06-24,'000428,华天酒店,3.15,3.28,3.01,3.09,3.1,0.05,1.6129,7839916,24389558.91
2019-06-21,'000428,华天酒店,3.1,3.1,3.05,3.09,3.07,0.03,0.9772,6632316,20384953.5
2019-06-20,'000428,华天酒店,3.07,3.07,3.04,3.07,3.05,0.02,0.6557,1877651,5742127.54
2019-06-19,'000428,华天酒店,3.05,3.09,3.03,3.06,3.03,0.02,0.6601,1441253,4391316.59
2019-06-18,'000428,华天酒店,3.03,3.03,2.93,2.94,2.95,0.08,2.7119,2178043,6511041.22
2019-06-17,'000428,华天酒店,2.95,2.97,2.92,2.94,2.93,0.02,0.6826,1065180,3145529.87
2019-06-14,'000428,华天酒店,2.93,3.01,2.93,3.01,3.01,-0.08,-2.6578,2007013,5954794.09
2019-06-13,'000428,华天酒店,3.01,3.04,2.97,3.03,3.03,-0.02,-0.6601,2644680,7925642.6
2019-06-12,'000428,华天酒店,3.03,3.11,3.01,3.1,3.11,-0.08,-2.5723,4496159,13675113.77
2019-06-11,'000428,华天酒店,3.11,3.12,3.08,3.11,3.12,-0.01,-0.3205,11943915,37001825.21
2019-06-10,'000428,华天酒店,3.12,3.2,3.06,3.1,3.12,0.0,0.0,5341589,16599106.19
2019-06-06,'000428,华天酒店,3.12,3.12,3.03,3.05,3.12,0.0,0.0,4509374,13821231.33
2019-06-05,'000428,华天酒店,3.12,3.15,2.98,3.0,3.01,0.11,3.6545,7018140,21408578.96
2019-06-04,'000428,华天酒店,3.01,3.01,2.93,3.0,3.01,0.0,0.0,9541189,28143373.69
2019-06-03,'000428,华天酒店,3.01,3.03,2.87,2.91,2.89,0.12,4.1522,4822769,14236221.59
2019-05-31,'000428,华天酒店,2.89,2.94,2.88,2.9,2.9,-0.01,-0.3448,1360414,3946905.46
2019-05-30,'000428,华天酒店,2.9,2.95,2.85,2.92,2.93,-0.03,-1.0239,1856733,5358352.38
2019-05-29,'000428,华天酒店,2.93,2.97,2.92,2.95,2.95,-0.02,-0.678,1601875,4711183.0
2019-05-28,'000428,华天酒店,2.95,2.99,2.94,2.98,2.96,-0.01,-0.3378,1532400,4542297.0
2019-05-27,'000428,华天酒店,2.96,2.98,2.92,2.92,2.92,0.04,1.3699,1495922,4422136.88
2019-05-24,'000428,华天酒店,2.92,2.96,2.88,2.9,2.97,-0.05,-1.6835,1587274,4637285.06
2019-05-23,'000428,华天酒店,2.97,3.07,2.95,3.07,3.07,-0.1,-3.2573,1730933,5179324.67
2019-05-22,'000428,华天酒店,3.07,3.1,3.04,3.07,3.05,0.02,0.6557,2228567,6845031.24
2019-05-21,'000428,华天酒店,3.05,3.08,3.02,3.04,3.04,0.01,0.3289,1898103,5803055.29
2019-05-20,'000428,华天酒店,3.04,3.07,2.91,3.07,3.07,-0.03,-0.9772,3302115,9899782.65
2019-05-17,'000428,华天酒店,3.07,3.18,3.05,3.12,3.1,-0.03,-0.9677,3343865,10392993.54
2019-05-16,'000428,华天酒店,3.1,3.12,3.05,3.08,3.07,0.03,0.9772,3119321,9663757.48
2019-05-15,'000428,华天酒店,3.07,3.11,3.02,3.05,3.0,0.07,2.3333,3470212,10647448.5
2019-05-14,'000428,华天酒店,3.0,3.09,2.96,2.96,2.96,0.04,1.3514,3612200,10937682.99
2019-05-13,'000428,华天酒店,2.96,3.0,2.91,2.91,2.93,0.03,1.0239,3380776,10014353.16
2019-05-10,'000428,华天酒店,2.93,2.94,2.85,2.88,2.87,0.06,2.0906,3489620,10135997.2
2019-05-09,'000428,华天酒店,2.87,2.91,2.82,2.89,2.89,-0.02,-0.692,3928709,11238845.65
2019-05-08,'000428,华天酒店,2.89,2.92,2.78,2.81,2.85,0.04,1.4035,3752524,10762429.64
2019-05-07,'000428,华天酒店,2.85,2.85,2.78,2.79,2.79,0.06,2.1505,4952918,13894297.16
2019-05-06,'000428,华天酒店,2.79,3.0,2.71,2.98,3.01,-0.22,-7.309,8094003,22984855.24
2019-04-30,'000428,华天酒店,3.01,3.07,2.97,2.97,2.99,0.02,0.6689,5676894,17115417.43
