日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000430,张家界,5.74,5.76,5.66,5.71,5.63,0.11,1.9538,2060426,11789205.2
2019-06-28,'000430,张家界,5.63,5.68,5.55,5.68,5.68,-0.05,-0.8803,1429246,8008533.14
2019-06-27,'000430,张家界,5.68,5.73,5.66,5.69,5.68,0.0,0.0,1008500,5744215.0
2019-06-26,'000430,张家界,5.68,5.71,5.63,5.67,5.66,0.02,0.3534,913521,5190387.49
2019-06-25,'000430,张家界,5.66,5.75,5.63,5.72,5.72,-0.06,-1.049,1269849,7201477.77
2019-06-24,'000430,张家界,5.72,5.79,5.68,5.79,5.76,-0.04,-0.6944,1960100,11212836.0
2019-06-21,'000430,张家界,5.76,5.9,5.72,5.72,5.69,0.07,1.2302,3862000,22382804.47
2019-06-20,'000430,张家界,5.69,5.75,5.62,5.66,5.7,-0.01,-0.1754,2400288,13642318.32
2019-06-19,'000430,张家界,5.7,5.8,5.65,5.75,5.7,0.0,0.0,2942097,16813389.31
2019-06-18,'000430,张家界,5.7,5.86,5.62,5.65,5.67,0.03,0.5291,4527863,26018439.04
2019-06-17,'000430,张家界,5.67,5.74,5.44,5.45,5.45,0.22,4.0367,3960377,22280926.31
2019-06-14,'000430,张家界,5.45,5.58,5.41,5.51,5.53,-0.08,-1.4467,1101488,6076524.52
2019-06-13,'000430,张家界,5.53,5.54,5.44,5.45,5.45,0.08,1.4679,1327000,7298532.0
2019-06-12,'000430,张家界,5.45,5.51,5.44,5.5,5.51,-0.06,-1.0889,1152703,6313260.38
2019-06-11,'000430,张家界,5.51,5.52,5.33,5.37,5.36,0.15,2.7985,1903000,10391236.0
2019-06-10,'000430,张家界,5.36,5.39,5.28,5.33,5.33,0.03,0.5629,819800,4376506.0
2019-06-06,'000430,张家界,5.33,5.47,5.3,5.43,5.44,-0.11,-2.0221,1145366,6138136.1
2019-06-05,'000430,张家界,5.44,5.51,5.37,5.42,5.36,0.08,1.4925,1299239,7073070.9
2019-06-04,'000430,张家界,5.36,5.48,5.34,5.44,5.43,-0.07,-1.2891,1217500,6592281.13
2019-06-03,'000430,张家界,5.43,5.57,5.4,5.56,5.5,-0.07,-1.2727,1363196,7488954.94
2019-05-31,'000430,张家界,5.5,5.57,5.5,5.5,5.53,-0.03,-0.5425,1228987,6807395.5
2019-05-30,'000430,张家界,5.53,5.55,5.38,5.55,5.55,-0.02,-0.3604,1904987,10374375.93
2019-05-29,'000430,张家界,5.55,5.57,5.51,5.55,5.56,-0.01,-0.1799,1354900,7514862.0
2019-05-28,'000430,张家界,5.56,5.63,5.53,5.54,5.53,0.03,0.5425,1491696,8312006.76
2019-05-27,'000430,张家界,5.53,5.53,5.38,5.4,5.4,0.13,2.4074,1376744,7531389.17
2019-05-24,'000430,张家界,5.4,5.47,5.39,5.39,5.42,-0.02,-0.369,1266462,6867151.8
2019-05-23,'000430,张家界,5.42,5.57,5.35,5.57,5.57,-0.15,-2.693,1532501,8358726.53
2019-05-22,'000430,张家界,5.57,5.68,5.51,5.68,5.68,-0.11,-1.9366,1460485,8185860.19
2019-05-21,'000430,张家界,5.68,5.69,5.55,5.59,5.56,0.12,2.1583,1462804,8235377.08
2019-05-20,'000430,张家界,5.56,5.6,5.45,5.58,5.6,-0.04,-0.7143,1573862,8678881.44
2019-05-17,'000430,张家界,5.6,5.94,5.58,5.94,5.94,-0.34,-5.7239,2706600,15521986.0
2019-05-16,'000430,张家界,5.94,6.27,5.75,5.78,5.78,0.16,2.7682,3276600,19418618.8
2019-05-15,'000430,张家界,5.78,5.78,5.63,5.64,5.64,0.14,2.4823,1715582,9833709.22
2019-05-14,'000430,张家界,5.64,5.7,5.59,5.6,5.66,-0.02,-0.3534,1457753,8259805.51
2019-05-13,'000430,张家界,5.66,5.69,5.56,5.6,5.62,0.04,0.7117,2253166,12721253.73
2019-05-10,'000430,张家界,5.62,5.62,5.33,5.49,5.43,0.19,3.4991,2881580,15979797.2
2019-05-09,'000430,张家界,5.43,5.55,5.42,5.51,5.51,-0.08,-1.4519,1354300,7439314.0
2019-05-08,'000430,张家界,5.51,5.59,5.41,5.45,5.53,-0.02,-0.3617,1631310,8999777.3
