日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000498,山东路桥,5.4,5.45,5.37,5.45,5.31,0.09,1.6949,4853716,26202651.83
2019-06-28,'000498,山东路桥,5.31,5.42,5.28,5.4,5.4,-0.09,-1.6667,3876692,20623232.33
2019-06-27,'000498,山东路桥,5.4,5.44,5.38,5.39,5.39,0.01,0.1855,3742419,20233317.6
2019-06-26,'000498,山东路桥,5.39,5.45,5.38,5.42,5.42,-0.03,-0.5535,3439824,18627594.38
2019-06-25,'000498,山东路桥,5.42,5.49,5.33,5.46,5.47,-0.05,-0.9141,5812100,31463675.82
2019-06-24,'000498,山东路桥,5.47,5.54,5.44,5.44,5.51,-0.04,-0.726,3437600,18833121.0
2019-06-21,'000498,山东路桥,5.51,5.56,5.48,5.48,5.48,0.03,0.5474,5845900,32220177.0
2019-06-20,'000498,山东路桥,5.48,5.53,5.44,5.52,5.5,-0.02,-0.3636,7329580,40201045.42
2019-06-19,'000498,山东路桥,5.57,5.75,5.54,5.73,5.61,-0.04,-0.713,8225400,46055712.0
2019-06-18,'000498,山东路桥,5.61,5.62,5.37,5.42,5.43,0.18,3.3149,13563550,74781740.02
2019-06-17,'000498,山东路桥,5.43,5.44,5.29,5.4,5.32,0.11,2.0677,6388897,34288469.69
2019-06-14,'000498,山东路桥,5.32,5.5,5.28,5.5,5.46,-0.14,-2.5641,7179563,38723037.16
2019-06-13,'000498,山东路桥,5.46,5.49,5.39,5.49,5.5,-0.04,-0.7273,9435170,51314853.3
2019-06-12,'000498,山东路桥,5.5,5.54,5.32,5.37,5.37,0.13,2.4209,20446829,111844771.2
2019-06-11,'000498,山东路桥,5.37,5.37,5.08,5.09,5.04,0.33,6.5476,15702900,83070520.71
2019-06-10,'000498,山东路桥,5.04,5.05,4.44,4.93,4.93,0.11,2.2312,8553800,42089506.98
2019-06-06,'000498,山东路桥,4.93,5.09,4.9,5.09,5.08,-0.15,-2.9528,6081200,30362448.0
2019-06-05,'000498,山东路桥,5.08,5.14,5.06,5.13,5.08,0.0,0.0,3713110,18934909.0
2019-06-04,'000498,山东路桥,5.08,5.15,5.07,5.11,5.11,-0.03,-0.5871,5008800,25564045.0
2019-06-03,'000498,山东路桥,5.11,5.24,5.1,5.19,5.19,-0.08,-1.5414,5175900,26601305.0
2019-05-31,'000498,山东路桥,5.19,5.24,5.16,5.19,5.19,0.0,0.0,4204796,21854997.28
2019-05-30,'000498,山东路桥,5.19,5.22,5.12,5.2,5.23,-0.04,-0.7648,5574701,28765305.16
2019-05-29,'000498,山东路桥,5.23,5.27,5.18,5.2,5.19,0.04,0.7707,5179893,27075674.95
