日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000501,鄂武商Ａ,10.95,10.96,10.79,10.8,10.75,0.2,1.8605,4493043,48854904.19
2019-06-28,'000501,鄂武商Ａ,10.75,10.76,10.63,10.73,10.75,0.0,0.0,2086330,22316904.42
2019-06-27,'000501,鄂武商Ａ,10.75,10.81,10.66,10.76,10.72,0.03,0.2799,2262835,24309456.44
2019-06-26,'000501,鄂武商Ａ,10.72,10.77,10.58,10.7,10.71,0.01,0.0934,1241645,13306791.55
2019-06-25,'000501,鄂武商Ａ,10.71,10.82,10.61,10.78,10.76,-0.05,-0.4647,2248368,24003329.24
2019-06-24,'000501,鄂武商Ａ,10.76,10.83,10.71,10.77,10.83,-0.07,-0.6464,2221277,23869535.69
2019-06-21,'000501,鄂武商Ａ,10.83,10.94,10.74,10.78,10.77,0.06,0.5571,3580666,38853263.49
2019-06-20,'000501,鄂武商Ａ,10.77,10.87,10.56,10.6,10.58,0.19,1.7958,3036796,32627933.81
2019-06-19,'000501,鄂武商Ａ,10.58,10.7,10.52,10.54,10.43,0.15,1.4382,3306517,35167910.75
2019-06-18,'000501,鄂武商Ａ,10.43,10.47,10.3,10.3,10.35,0.08,0.7729,2171466,22609588.59
2019-06-17,'000501,鄂武商Ａ,10.35,10.38,10.25,10.27,10.27,0.08,0.779,1671416,17241345.2
2019-06-14,'000501,鄂武商Ａ,10.27,10.5,10.24,10.48,10.48,-0.21,-2.0038,2440428,25233983.28
2019-06-13,'000501,鄂武商Ａ,10.48,10.53,10.34,10.42,10.43,0.05,0.4794,2584198,26936565.38
2019-06-12,'000501,鄂武商Ａ,10.43,10.58,10.41,10.58,10.57,-0.14,-1.3245,1887321,19742859.06
2019-06-11,'000501,鄂武商Ａ,10.57,10.6,10.33,10.38,10.34,0.23,2.2244,2575049,27069856.95
2019-06-10,'000501,鄂武商Ａ,10.34,10.47,10.1,10.21,10.2,0.14,1.3725,2695131,27893477.86
2019-06-06,'000501,鄂武商Ａ,10.2,10.36,10.13,10.25,10.2,0.0,0.0,2093584,21477434.23
2019-06-05,'000501,鄂武商Ａ,10.2,10.33,10.2,10.24,10.2,0.0,0.0,1708341,17535735.64
2019-06-04,'000501,鄂武商Ａ,10.2,10.39,10.1,10.35,10.35,-0.15,-1.4493,3130343,31947961.45
2019-06-03,'000501,鄂武商Ａ,10.35,10.53,10.28,10.46,10.45,-0.1,-0.9569,2380277,24760625.18
2019-05-31,'000501,鄂武商Ａ,10.45,10.59,10.38,10.48,10.49,-0.04,-0.3813,2592391,27143001.83
2019-05-30,'000501,鄂武商Ａ,10.49,10.61,10.35,10.51,10.57,-0.08,-0.7569,2463156,25717050.4
2019-05-29,'000501,鄂武商Ａ,10.57,10.69,10.53,10.65,10.63,-0.06,-0.5644,2016781,21388656.28
2019-05-28,'000501,鄂武商Ａ,10.63,10.86,10.58,10.64,10.64,-0.01,-0.094,3291279,35273699.85
2019-05-27,'000501,鄂武商Ａ,10.64,10.75,10.4,10.55,10.4,0.24,2.3077,3218450,34146584.06
