хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,Ёи╫╩а©,Ёи╫╩╫П╤Н
2019-07-01,'000502,бл╬╟©ь╧и,7.95,7.98,7.83,7.83,7.75,0.2,2.5806,1771002,14030431.73
2019-06-28,'000502,бл╬╟©ь╧и,7.75,7.91,7.7,7.9,7.86,-0.11,-1.3995,1231100,9589371.0
2019-06-27,'000502,бл╬╟©ь╧и,7.86,7.89,7.77,7.89,7.83,0.03,0.3831,1165485,9149349.17
2019-06-26,'000502,бл╬╟©ь╧и,7.83,7.95,7.75,7.89,7.84,-0.01,-0.1276,2186978,17126651.95
2019-06-25,'000502,бл╬╟©ь╧и,7.84,8.04,7.8,7.92,7.95,-0.11,-1.3836,1973865,15576248.6
2019-06-24,'000502,бл╬╟©ь╧и,7.95,8.18,7.82,8.01,8.32,-0.37,-4.4471,4465925,35754305.72
2019-06-21,'000502,бл╬╟©ь╧и,8.32,8.5,8.01,8.3,7.73,0.59,7.6326,8660477,72182340.05
2019-06-20,'000502,бл╬╟©ь╧и,7.73,7.74,7.38,7.6,7.54,0.19,2.5199,2195532,16644517.46
2019-06-19,'000502,бл╬╟©ь╧и,7.54,7.71,7.49,7.65,7.5,0.04,0.5333,1779891,13525509.69
2019-06-18,'000502,бл╬╟©ь╧и,7.5,7.72,7.44,7.66,7.71,-0.21,-2.7237,1255552,9464439.89
2019-06-17,'000502,бл╬╟©ь╧и,7.71,7.76,7.5,7.55,7.49,0.22,2.9372,952300,7277796.0
2019-06-14,'000502,бл╬╟©ь╧и,7.49,7.9,7.46,7.78,7.83,-0.34,-4.3423,1420159,10864668.25
2019-06-13,'000502,бл╬╟©ь╧и,7.83,7.83,7.63,7.78,7.67,0.16,2.086,1114500,8647823.0
2019-06-12,'000502,бл╬╟©ь╧и,7.67,7.94,7.64,7.88,7.82,-0.15,-1.9182,937153,7283523.9
2019-06-11,'000502,бл╬╟©ь╧и,7.82,8.0,7.44,7.58,7.55,0.27,3.5762,1688193,13224055.13
2019-06-10,'000502,бл╬╟©ь╧и,7.55,7.63,7.44,7.47,7.44,0.11,1.4785,770359,5810400.73
2019-06-06,'000502,бл╬╟©ь╧и,7.44,7.81,7.36,7.81,7.8,-0.36,-4.6154,1327900,9952583.7
2019-06-05,'000502,бл╬╟©ь╧и,7.8,7.85,7.51,7.71,7.58,0.22,2.9024,1106565,8551682.28
2019-06-04,'000502,бл╬╟©ь╧и,7.58,7.9,7.5,7.85,7.87,-0.29,-3.6849,1117572,8577865.79
2019-06-03,'000502,бл╬╟©ь╧и,7.87,8.04,7.82,7.96,7.96,-0.09,-1.1307,771205,6080069.0
2019-05-31,'000502,бл╬╟©ь╧и,7.96,8.03,7.86,7.89,7.84,0.12,1.5306,1039031,8261613.35
2019-05-30,'000502,бл╬╟©ь╧и,7.84,7.98,7.8,7.98,7.95,-0.11,-1.3836,1032290,8111346.28
