日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000503,国新健康,17.92,18.14,17.26,17.42,17.16,0.76,4.4289,18735960,333259655.83
2019-06-28,'000503,国新健康,17.16,17.8,16.83,17.69,17.4,-0.24,-1.3793,10872131,187614198.06
2019-06-27,'000503,国新健康,17.4,17.85,17.27,17.68,17.47,-0.07,-0.4007,10356176,182114084.54
2019-06-26,'000503,国新健康,17.47,17.8,17.34,17.48,17.41,0.06,0.3446,7569437,133249102.63
2019-06-25,'000503,国新健康,17.41,18.1,17.22,18.05,18.07,-0.66,-3.6525,11951769,209078774.55
2019-06-24,'000503,国新健康,18.07,18.27,17.85,18.14,18.17,-0.1,-0.5504,10890888,196333166.85
2019-06-21,'000503,国新健康,18.17,18.31,17.72,17.81,17.59,0.58,3.2973,16973610,307014308.6
2019-06-20,'000503,国新健康,17.59,17.89,17.01,17.08,17.09,0.5,2.9257,13105782,229328762.47
2019-06-19,'000503,国新健康,17.09,17.5,17.05,17.3,16.89,0.2,1.1841,10117699,174996812.15
2019-06-18,'000503,国新健康,16.89,17.23,16.65,16.91,16.9,-0.01,-0.0592,8612104,145496799.13
2019-06-17,'000503,国新健康,16.9,17.28,16.78,17.01,17.03,-0.13,-0.7634,7987836,135873560.74
2019-06-14,'000503,国新健康,17.03,17.91,16.81,17.9,17.85,-0.82,-4.5938,20325327,350288261.84
2019-06-13,'000503,国新健康,17.85,18.05,17.43,17.5,17.6,0.25,1.4205,11006072,195312922.92
2019-06-12,'000503,国新健康,17.6,18.38,17.53,18.13,18.1,-0.5,-2.7624,12745489,228021767.28
2019-06-11,'000503,国新健康,18.1,18.34,17.11,17.5,17.48,0.62,3.5469,15503233,276294751.3
2019-06-10,'000503,国新健康,17.48,18.08,17.25,17.84,17.83,-0.35,-1.963,12101737,212546895.16
2019-06-06,'000503,国新健康,17.83,18.48,17.41,18.33,18.38,-0.55,-2.9924,9938921,177634413.35
2019-06-05,'000503,国新健康,18.38,18.99,18.12,18.55,18.22,0.16,0.8782,14035797,261022301.58
2019-06-04,'000503,国新健康,18.22,19.35,17.68,17.8,17.67,0.55,3.1126,22063491,409814101.43
2019-06-03,'000503,国新健康,17.67,18.46,17.56,18.29,18.23,-0.56,-3.0719,11323442,202601337.15
2019-05-31,'000503,国新健康,18.23,18.46,17.79,17.9,17.77,0.46,2.5886,16796661,306012303.14
2019-05-30,'000503,国新健康,17.77,18.89,17.23,18.89,18.87,-1.1,-5.8294,23564522,419037462.74
2019-05-29,'000503,国新健康,18.87,19.19,18.7,18.95,19.08,-0.21,-1.1006,7482873,142117613.49
2019-05-28,'000503,国新健康,19.08,19.5,18.93,19.29,19.3,-0.22,-1.1399,11118136,213664029.4
2019-05-27,'000503,国新健康,19.3,19.32,18.51,18.86,18.73,0.57,3.0432,14729527,279644420.49
2019-05-24,'000503,国新健康,18.73,19.09,18.53,18.66,18.72,0.01,0.0534,7297242,137262048.59
2019-05-23,'000503,国新健康,18.72,19.58,18.6,19.17,19.21,-0.49,-2.5508,12612064,239865823.75
2019-05-22,'000503,国新健康,19.21,19.78,19.01,19.7,19.63,-0.42,-2.1396,11132981,215417843.71
2019-05-21,'000503,国新健康,19.63,19.77,19.11,19.22,19.1,0.53,2.7749,12008249,234915155.73
2019-05-20,'000503,国新健康,19.1,19.44,18.29,18.56,18.5,0.6,3.2432,16153162,305506848.63
2019-05-17,'000503,国新健康,18.5,20.33,18.37,20.33,20.18,-1.68,-8.3251,22060341,424234632.8
2019-05-16,'000503,国新健康,20.18,20.55,20.01,20.53,20.42,-0.24,-1.1753,12088360,244845765.1
2019-05-15,'000503,国新健康,20.42,20.61,20.06,20.4,20.1,0.32,1.592,12954224,263512690.01
