日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000505,京粮控股,6.62,6.64,6.53,6.58,6.51,0.11,1.6897,10349584,68301720.88
2019-06-28,'000505,京粮控股,6.51,6.64,6.41,6.64,6.66,-0.15,-2.2523,8881900,57860975.0
2019-06-27,'000505,京粮控股,6.66,6.7,6.56,6.6,6.6,0.06,0.9091,9778700,64877984.0
2019-06-26,'000505,京粮控股,6.6,6.78,6.55,6.69,6.74,-0.14,-2.0772,12787200,85100168.0
2019-06-25,'000505,京粮控股,6.74,6.9,6.66,6.86,6.93,-0.19,-2.7417,14392500,97190361.0
2019-06-24,'000505,京粮控股,6.93,6.99,6.64,6.74,6.78,0.15,2.2124,19641152,134155459.75
2019-06-21,'000505,京粮控股,6.78,6.86,6.66,6.73,6.75,0.03,0.4444,18353683,124370776.09
2019-06-20,'000505,京粮控股,6.75,6.9,6.5,6.89,6.99,-0.24,-3.4335,25845282,173124648.22
2019-06-19,'000505,京粮控股,6.99,7.15,6.92,6.97,6.97,0.02,0.2869,22297351,156689939.58
2019-06-18,'000505,京粮控股,6.97,7.38,6.92,7.1,7.17,-0.2,-2.7894,23785349,169271996.83
2019-06-17,'000505,京粮控股,7.17,7.28,6.82,6.93,6.94,0.23,3.3141,27506654,194486942.95
2019-06-14,'000505,京粮控股,6.94,7.15,6.83,7.01,7.14,-0.2,-2.8011,25840694,180602946.28
2019-06-13,'000505,京粮控股,7.14,7.4,7.09,7.38,7.47,-0.33,-4.4177,36681700,264582796.26
2019-06-12,'000505,京粮控股,7.47,7.89,7.0,7.04,7.5,-0.03,-0.4,63953966,473337849.04
2019-06-11,'000505,京粮控股,7.5,7.5,7.48,7.48,6.82,0.68,9.9707,17300499,129687975.5
2019-06-10,'000505,京粮控股,6.82,6.97,6.62,6.93,6.44,0.38,5.9006,38933848,265072951.82
2019-06-06,'000505,京粮控股,6.44,6.76,6.28,6.68,6.72,-0.28,-4.1667,28683200,186510770.0
2019-06-05,'000505,京粮控股,6.72,6.72,6.12,6.17,6.11,0.61,9.9836,41987233,276707656.2
2019-06-04,'000505,京粮控股,6.11,6.52,6.04,6.5,6.66,-0.55,-8.2583,22963600,142770669.0
2019-06-03,'000505,京粮控股,6.66,6.81,6.5,6.56,6.47,0.19,2.9366,25869666,172777414.45
2019-05-31,'000505,京粮控股,6.47,6.6,6.35,6.58,6.68,-0.21,-3.1437,16808455,108857033.16
2019-05-30,'000505,京粮控股,6.68,6.74,6.45,6.46,6.44,0.24,3.7267,27519472,181947728.85
2019-05-29,'000505,京粮控股,6.44,6.49,6.21,6.26,6.29,0.15,2.3847,18300384,116854465.86
2019-05-28,'000505,京粮控股,6.29,6.55,6.22,6.28,6.32,-0.03,-0.4747,16941701,107978149.47
2019-05-27,'000505,京粮控股,6.32,6.35,6.09,6.19,6.2,0.12,1.9355,11566803,72206833.78
2019-05-24,'000505,京粮控股,6.2,6.53,6.11,6.36,6.43,-0.23,-3.577,17488588,110103434.22
2019-05-23,'000505,京粮控股,6.43,6.9,6.41,6.9,7.12,-0.69,-9.691,31469749,209297950.17
2019-05-22,'000505,京粮控股,7.12,7.32,6.64,6.76,6.93,0.19,2.7417,41645875,290809261.06
2019-05-21,'000505,京粮控股,6.93,7.03,6.6,6.69,6.95,-0.02,-0.2878,29940874,204369840.28
2019-05-20,'000505,京粮控股,6.95,7.5,6.93,7.42,7.7,-0.75,-9.7403,56361009,396449318.51
2019-05-17,'000505,京粮控股,7.7,7.7,6.95,7.09,7.0,0.7,10.0,70363208,531019180.6
2019-05-16,'000505,京粮控股,7.0,7.4,6.96,7.35,7.21,-0.21,-2.9126,42505029,304619910.14
2019-05-15,'000505,京粮控股,7.21,7.27,6.86,6.94,6.83,0.38,5.5637,45416824,320539921.38
2019-05-14,'000505,京粮控股,6.83,7.06,6.73,6.98,7.12,-0.29,-4.073,35538135,244155510.93
2019-05-13,'000505,京粮控股,7.12,7.35,6.55,6.6,6.83,0.29,4.246,47702167,336065017.57
2019-05-10,'000505,京粮控股,6.83,7.16,6.45,6.45,6.88,-0.05,-0.7267,55949416,385276372.59
2019-05-09,'000505,京粮控股,6.88,7.3,6.62,6.93,7.36,-0.48,-6.5217,40965552,278260420.24
2019-05-08,'000505,京粮控股,7.36,7.36,7.04,7.36,6.69,0.67,10.0149,28117286,206779851.94
2019-05-07,'000505,京粮控股,6.69,6.69,6.69,6.69,6.08,0.61,10.0329,8957650,59926678.5
2019-05-06,'000505,京粮控股,6.08,6.34,5.83,6.03,5.88,0.2,3.4014,27480526,167068471.11
2019-04-30,'000505,京粮控股,5.88,5.96,5.8,5.87,5.86,0.02,0.3413,6491695,38279600.52
