日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000507,珠海港,6.31,6.35,6.26,6.26,6.17,0.14,2.269,10208019,64228281.43
2019-06-28,'000507,珠海港,6.17,6.24,6.08,6.19,6.16,0.01,0.1623,7372027,45348357.93
2019-06-27,'000507,珠海港,6.16,6.25,6.11,6.19,6.17,-0.01,-0.1621,6337400,39177240.15
2019-06-26,'000507,珠海港,6.17,6.21,6.15,6.18,6.19,-0.02,-0.3231,4295205,26521890.38
2019-06-25,'000507,珠海港,6.23,6.3,6.17,6.3,6.29,-0.06,-0.9539,5433256,33810943.72
2019-06-24,'000507,珠海港,6.29,6.32,6.26,6.31,6.33,-0.04,-0.6319,5008590,31512926.47
2019-06-21,'000507,珠海港,6.33,6.35,6.25,6.27,6.25,0.08,1.28,8691201,54862259.31
2019-06-20,'000507,珠海港,6.25,6.26,6.12,6.17,6.18,0.07,1.1327,7732119,48064466.71
2019-06-19,'000507,珠海港,6.18,6.26,6.15,6.15,6.06,0.12,1.9802,7180466,44472238.88
2019-06-18,'000507,珠海港,6.06,6.1,6.05,6.06,6.06,0.0,0.0,2307971,14017306.06
2019-06-17,'000507,珠海港,6.06,6.13,6.05,6.09,6.09,-0.03,-0.4926,3439328,20917963.96
2019-06-14,'000507,珠海港,6.09,6.22,6.09,6.18,6.18,-0.09,-1.4563,4899556,30186111.56
2019-06-13,'000507,珠海港,6.18,6.21,6.14,6.18,6.18,0.0,0.0,4138322,25564724.3
2019-06-12,'000507,珠海港,6.18,6.24,6.18,6.24,6.26,-0.08,-1.278,5504800,34145948.0
2019-06-11,'000507,珠海港,6.26,6.27,6.05,6.06,6.07,0.19,3.1301,7666289,47443580.17
2019-06-10,'000507,珠海港,6.07,6.08,6.02,6.03,6.03,0.04,0.6633,4007880,24262193.64
2019-06-06,'000507,珠海港,6.03,6.2,6.02,6.18,6.19,-0.16,-2.5848,6113700,37238460.0
2019-06-05,'000507,珠海港,6.19,6.28,6.19,6.26,6.23,-0.04,-0.6421,4391700,27364414.0
2019-06-04,'000507,珠海港,6.23,6.33,6.17,6.33,6.33,-0.1,-1.5798,7525700,47044924.0
2019-06-03,'000507,珠海港,6.33,6.41,6.31,6.38,6.38,-0.05,-0.7837,4919224,31260266.64
2019-05-31,'000507,珠海港,6.38,6.42,6.37,6.38,6.38,0.0,0.0,4334125,27686868.23
2019-05-30,'000507,珠海港,6.38,6.45,6.36,6.45,6.45,-0.07,-1.0853,4913791,31386491.3
2019-05-29,'000507,珠海港,6.45,6.5,6.42,6.45,6.46,-0.01,-0.1548,4616342,29805311.94
2019-05-28,'000507,珠海港,6.46,6.53,6.43,6.47,6.49,-0.03,-0.4622,6472073,42005505.1
2019-05-27,'000507,珠海港,6.49,6.5,6.35,6.38,6.35,0.14,2.2047,7557267,48603887.78
2019-05-24,'000507,珠海港,6.35,6.42,6.34,6.39,6.36,-0.01,-0.1572,4207260,26808161.75
2019-05-23,'000507,珠海港,6.36,6.47,6.35,6.45,6.47,-0.11,-1.7002,6660403,42611522.51
2019-05-22,'000507,珠海港,6.47,6.56,6.43,6.55,6.56,-0.09,-1.372,5675700,36884644.0
2019-05-21,'000507,珠海港,6.56,6.58,6.42,6.47,6.48,0.08,1.2346,7413951,48426803.42
2019-05-20,'000507,珠海港,6.48,6.57,6.3,6.57,6.58,-0.1,-1.5198,11081022,70908459.52
2019-05-17,'000507,珠海港,6.58,6.83,6.51,6.68,6.71,-0.13,-1.9374,12075740,80668625.8
2019-05-16,'000507,珠海港,6.71,6.77,6.66,6.72,6.72,-0.01,-0.1488,7369424,49414136.52
2019-05-15,'000507,珠海港,6.72,6.8,6.58,6.61,6.52,0.2,3.0675,11618097,77716665.71
2019-05-14,'000507,珠海港,6.52,6.59,6.44,6.47,6.6,-0.08,-1.2121,5606332,36563660.66
2019-05-13,'000507,珠海港,6.6,6.64,6.55,6.6,6.67,-0.07,-1.0495,5717194,37755529.86
2019-05-10,'000507,珠海港,6.67,6.67,6.36,6.54,6.48,0.19,2.9321,11538779,75889716.95
2019-05-09,'000507,珠海港,6.48,6.55,6.47,6.51,6.55,-0.07,-1.0687,5884958,38283679.6
2019-05-08,'000507,珠海港,6.55,6.63,6.42,6.49,6.6,-0.05,-0.7576,7782900,51063692.74
2019-05-07,'000507,珠海港,6.6,6.63,6.51,6.57,6.52,0.08,1.227,8191786,53902594.88
2019-05-06,'000507,珠海港,6.52,6.86,6.38,6.86,7.05,-0.53,-7.5177,16733838,110786454.04
2019-04-30,'000507,珠海港,7.05,7.13,6.97,7.0,7.0,0.05,0.7143,7766200,54819104.0
2019-04-29,'000507,珠海港,7.0,7.34,6.89,7.27,7.25,-0.25,-3.4483,13470234,95451886.25
2019-04-26,'000507,珠海港,7.25,7.47,7.25,7.43,7.41,-0.16,-2.1592,12917212,94945934.34
2019-04-25,'000507,珠海港,7.41,7.77,7.4,7.73,7.74,-0.33,-4.2636,15594811,118420284.54
2019-04-24,'000507,珠海港,7.74,7.76,7.62,7.7,7.7,0.04,0.5195,10329612,79557520.77
