日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
1997-04-22,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-21,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-18,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-17,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-16,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-15,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-14,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-11,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-10,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-09,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-08,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-07,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-04,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-03,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-02,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-04-01,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-03-31,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-03-28,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-03-27,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-03-26,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
1997-03-25,'000508,琼民源A,0.0,0.0,0.0,0.0,23.5,None,None,0,0.0
