日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000509,华塑控股,2.8,2.83,2.76,2.78,2.74,0.06,2.1898,13131318,36675539.6
2019-06-28,'000509,华塑控股,2.74,2.84,2.72,2.82,2.82,-0.08,-2.8369,9125611,25081195.25
2019-06-27,'000509,华塑控股,2.82,2.83,2.77,2.79,2.79,0.03,1.0753,11246671,31503642.38
2019-06-26,'000509,华塑控股,2.79,2.87,2.78,2.85,2.85,-0.06,-2.1053,12642201,35490476.79
2019-06-25,'000509,华塑控股,2.85,2.91,2.76,2.88,2.93,-0.08,-2.7304,25047564,70604201.48
2019-06-24,'000509,华塑控股,2.93,3.09,2.77,2.77,2.81,0.12,4.2705,40486745,119041392.94
2019-06-21,'000509,华塑控股,2.81,2.96,2.79,2.86,2.75,0.06,2.1818,30779479,87803823.52
2019-06-20,'000509,华塑控股,2.75,2.79,2.68,2.78,2.79,-0.04,-1.4337,26323688,71795278.86
2019-06-19,'000509,华塑控股,2.79,2.98,2.76,2.98,2.86,-0.07,-2.4476,37571431,106126848.34
2019-06-18,'000509,华塑控股,2.86,2.86,2.57,2.59,2.6,0.26,10.0,17719003,48654731.9
2019-06-17,'000509,华塑控股,2.6,2.66,2.57,2.66,2.62,-0.02,-0.7634,6900627,17961316.16
2019-06-14,'000509,华塑控股,2.62,2.7,2.61,2.69,2.69,-0.07,-2.6022,11780568,31286049.48
2019-06-13,'000509,华塑控股,2.69,2.71,2.56,2.6,2.59,0.1,3.861,15208796,40313967.24
2019-06-12,'000509,华塑控股,2.59,2.64,2.56,2.57,2.59,0.0,0.0,9722416,25301662.22
2019-06-11,'000509,华塑控股,2.59,2.59,2.45,2.48,2.48,0.11,4.4355,13061496,33202899.86
2019-06-10,'000509,华塑控股,2.48,2.51,2.39,2.46,2.46,0.02,0.813,8723610,21475859.5
2019-06-06,'000509,华塑控股,2.46,2.54,2.43,2.52,2.54,-0.08,-3.1496,10291847,25488252.07
2019-06-05,'000509,华塑控股,2.54,2.59,2.5,2.57,2.54,0.0,0.0,10598621,26978426.46
2019-06-04,'000509,华塑控股,2.54,2.64,2.53,2.63,2.63,-0.09,-3.4221,10636173,27303442.15
2019-06-03,'000509,华塑控股,2.63,2.71,2.61,2.66,2.68,-0.05,-1.8657,9525200,25250194.0
2019-05-31,'000509,华塑控股,2.68,2.76,2.68,2.74,2.7,-0.02,-0.7407,9476721,25706799.46
2019-05-30,'000509,华塑控股,2.7,2.75,2.64,2.74,2.75,-0.05,-1.8182,11845869,31926786.3
2019-05-29,'000509,华塑控股,2.75,2.8,2.72,2.74,2.78,-0.03,-1.0791,12906889,35644078.89
2019-05-28,'000509,华塑控股,2.78,2.89,2.7,2.73,2.72,0.06,2.2059,21543677,60038340.93
2019-05-27,'000509,华塑控股,2.72,2.75,2.63,2.68,2.67,0.05,1.8727,16623030,44968707.07
2019-05-24,'000509,华塑控股,2.67,2.7,2.62,2.63,2.63,0.04,1.5209,13689334,36459649.92
2019-05-23,'000509,华塑控股,2.63,2.75,2.63,2.7,2.69,-0.06,-2.2305,19168600,51589893.0
2019-05-22,'000509,华塑控股,2.69,2.78,2.66,2.73,2.73,-0.04,-1.4652,16687027,45371529.44
2019-05-21,'000509,华塑控股,2.73,2.77,2.65,2.65,2.65,0.08,3.0189,22056400,59967805.0
2019-05-20,'000509,华塑控股,2.65,2.75,2.5,2.73,2.75,-0.1,-3.6364,22072537,57540844.35
2019-05-17,'000509,华塑控股,2.75,2.94,2.72,2.94,2.93,-0.18,-6.1433,26563621,74876321.54
2019-05-16,'000509,华塑控股,2.93,2.94,2.88,2.92,2.91,0.02,0.6873,15972402,46643876.86
2019-05-15,'000509,华塑控股,2.91,2.95,2.86,2.87,2.84,0.07,2.4648,19244700,55855137.79
2019-05-14,'000509,华塑控股,2.84,2.92,2.79,2.82,2.87,-0.03,-1.0453,17575011,50220823.13
2019-05-13,'000509,华塑控股,2.87,2.93,2.83,2.89,2.94,-0.07,-2.381,17288300,49897791.27
2019-05-10,'000509,华塑控股,2.94,2.97,2.76,2.87,2.87,0.07,2.439,22268972,64816875.04
2019-05-09,'000509,华塑控股,2.87,2.94,2.82,2.88,2.91,-0.04,-1.3746,17284900,50159975.0
2019-05-08,'000509,华塑控股,2.91,2.97,2.81,2.89,2.98,-0.07,-2.349,28674101,83269855.69
2019-05-07,'000509,华塑控股,2.98,3.12,2.88,3.08,3.11,-0.13,-4.1801,38490271,114986377.88
2019-05-06,'000509,华塑控股,3.11,3.34,3.11,3.3,3.45,-0.34,-9.8551,31612626,100505320.31
2019-04-30,'000509,华塑控股,3.45,3.55,3.33,3.39,3.42,0.03,0.8772,32050891,110874116.19
2019-04-29,'000509,华塑控股,3.42,3.66,3.37,3.51,3.49,-0.07,-2.0057,41044019,145100754.04
2019-04-26,'000509,华塑控股,3.49,3.74,3.4,3.74,3.78,-0.29,-7.672,50627021,179978490.35
2019-04-25,'000509,华塑控股,3.78,4.08,3.65,3.68,3.75,0.03,0.8,72540447,281986283.73
2019-04-24,'000509,华塑控股,3.75,3.83,3.63,3.67,3.65,0.1,2.7397,38047448,142099256.04
2019-04-23,'000509,华塑控股,3.65,3.88,3.55,3.85,3.94,-0.29,-7.3604,53006039,198510439.91
