日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000510,金路集团,4.68,4.72,4.62,4.63,4.56,0.12,2.6316,5705658,26643068.5
2019-06-28,'000510,金路集团,4.56,4.7,4.55,4.67,4.68,-0.12,-2.5641,5069530,23353279.77
2019-06-27,'000510,金路集团,4.68,4.74,4.65,4.66,4.65,0.03,0.6452,4872407,22848015.52
2019-06-26,'000510,金路集团,4.65,4.73,4.61,4.68,4.73,-0.08,-1.6913,5586899,25990185.19
2019-06-25,'000510,金路集团,4.73,4.82,4.61,4.76,4.73,0.0,0.0,9817295,46256779.99
2019-06-24,'000510,金路集团,4.73,4.8,4.71,4.75,4.71,0.02,0.4246,6546004,31118010.68
2019-06-21,'000510,金路集团,4.71,4.81,4.68,4.7,4.71,0.0,0.0,12450250,58938774.13
2019-06-20,'000510,金路集团,4.71,4.8,4.59,4.63,4.65,0.06,1.2903,11852257,56059258.18
2019-06-19,'000510,金路集团,4.65,4.71,4.55,4.56,4.49,0.16,3.5635,11406071,52854520.33
2019-06-18,'000510,金路集团,4.49,4.52,4.43,4.52,4.48,0.01,0.2232,3626102,16234414.96
2019-06-17,'000510,金路集团,4.48,4.51,4.38,4.39,4.38,0.1,2.2831,5423686,24255949.42
2019-06-14,'000510,金路集团,4.38,4.52,4.36,4.51,4.51,-0.13,-2.8825,5243200,23386113.28
2019-06-13,'000510,金路集团,4.51,4.53,4.43,4.46,4.47,0.04,0.8949,4589913,20645568.74
2019-06-12,'000510,金路集团,4.47,4.56,4.47,4.52,4.56,-0.09,-1.9737,6791912,30609660.12
2019-06-11,'000510,金路集团,4.56,4.57,4.41,4.41,4.48,0.08,1.7857,9642462,43441652.09
2019-06-10,'000510,金路集团,4.48,4.56,4.22,4.3,4.26,0.22,5.1643,11482149,50620350.17
2019-06-06,'000510,金路集团,4.26,4.33,4.16,4.24,4.22,0.04,0.9479,7797302,33042611.44
2019-06-05,'000510,金路集团,4.22,4.34,4.2,4.3,4.27,-0.05,-1.171,5895415,25266679.31
2019-06-04,'000510,金路集团,4.27,4.48,4.25,4.48,4.48,-0.21,-4.6875,7149601,31008748.27
2019-06-03,'000510,金路集团,4.48,4.6,4.45,4.56,4.57,-0.09,-1.9694,5343204,24071728.93
2019-05-31,'000510,金路集团,4.57,4.64,4.53,4.57,4.6,-0.03,-0.6522,4740138,21695158.48
2019-05-30,'000510,金路集团,4.6,4.63,4.54,4.62,4.65,-0.05,-1.0753,5941119,27190960.2
