日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2018-07-17,'000511,烯碳退,0.61,0.68,0.6,0.64,0.64,-0.03,-4.6875,81260723,51847630.98
2018-07-16,'000511,烯碳退,0.64,0.69,0.64,0.68,0.71,-0.07,-9.8592,76426265,49777033.09
2018-07-13,'000511,烯碳退,0.71,0.79,0.71,0.78,0.79,-0.08,-10.1266,63143526,46374421.64
2018-07-12,'000511,烯碳退,0.79,0.81,0.77,0.8,0.8,-0.01,-1.25,36078309,28468376.22
2018-07-11,'000511,烯碳退,0.8,0.8,0.77,0.79,0.8,0.0,0.0,36411056,28664401.52
2018-07-10,'000511,烯碳退,0.8,0.82,0.76,0.8,0.79,0.01,1.2658,58301938,45970406.82
2018-07-09,'000511,烯碳退,0.79,0.79,0.76,0.76,0.75,0.04,5.3333,31294696,24411979.87
2018-07-06,'000511,烯碳退,0.75,0.8,0.74,0.78,0.78,-0.03,-3.8462,35555079,27190393.97
2018-07-05,'000511,烯碳退,0.78,0.83,0.77,0.82,0.82,-0.04,-4.878,38586747,30732109.07
2018-07-04,'000511,烯碳退,0.82,0.85,0.79,0.79,0.79,0.03,3.7975,55879786,45958260.53
2018-07-03,'000511,烯碳退,0.79,0.8,0.77,0.78,0.78,0.01,1.2821,31915148,25117710.82
2018-07-02,'000511,烯碳退,0.78,0.82,0.76,0.8,0.79,-0.01,-1.2658,51817735,40570604.7
2018-06-29,'000511,烯碳退,0.79,0.87,0.79,0.82,0.88,-0.09,-10.2273,115469341,92709887.06
2018-06-28,'000511,烯碳退,0.88,0.94,0.88,0.88,0.98,-0.1,-10.2041,94391000,83315827.43
2018-06-27,'000511,烯碳退,0.98,0.98,0.98,0.98,1.09,-0.11,-10.0917,73551600,72080568.0
2018-06-26,'000511,烯碳退,1.09,1.09,1.09,1.09,1.21,-0.12,-9.9174,4426700,4825103.0
2018-06-25,'000511,烯碳退,1.21,1.21,1.21,1.21,1.34,-0.13,-9.7015,29600,35816.0
2018-06-22,'000511,烯碳退,1.34,1.34,1.34,1.34,1.49,-0.15,-10.0671,26300,35242.0
2018-06-21,'000511,烯碳退,1.49,1.49,1.49,1.49,1.66,-0.17,-10.241,12900,19221.0
2018-06-20,'000511,烯碳退,1.66,1.66,1.66,1.66,1.84,-0.18,-9.7826,8500,14110.0
2018-06-19,'000511,烯碳退,1.84,1.84,1.84,1.84,2.04,-0.2,-9.8039,600,1104.0
2018-06-15,'000511,烯碳退,2.04,2.04,2.04,2.04,2.27,-0.23,-10.1322,15300,31212.0
2018-06-14,'000511,烯碳退,2.27,2.27,2.27,2.27,2.52,-0.25,-9.9206,3400,7718.0
2018-06-13,'000511,烯碳退,2.52,2.52,2.52,2.52,2.8,-0.28,-10.0,1300,3276.0
2018-06-12,'000511,烯碳退,2.8,2.8,2.8,2.8,3.11,-0.31,-9.9678,1300,3640.0
2018-06-11,'000511,烯碳退,3.11,3.11,3.11,3.11,3.46,-0.35,-10.1156,1200,3732.0
2018-06-08,'000511,烯碳退,3.46,3.46,3.46,3.46,3.84,-0.38,-9.8958,1700,5882.0
2018-06-07,'000511,烯碳退,3.84,3.84,3.84,3.84,4.27,-0.43,-10.0703,18100,69504.0
2018-06-06,'000511,烯碳退,4.27,4.27,4.27,4.27,4.74,-0.47,-9.9156,1200,5124.0
2018-06-05,'000511,烯碳退,4.74,4.74,4.74,4.74,5.27,-0.53,-10.0569,3000,14220.0
2017-07-05,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-07-04,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-07-03,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-30,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-29,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-28,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-27,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-26,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-23,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-22,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-21,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-20,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-19,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-16,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-15,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-14,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-13,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-12,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-09,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-08,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-07,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-06,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-05,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-02,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-06-01,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-31,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-26,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-25,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-24,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-23,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-22,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-19,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-18,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-17,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-16,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-15,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-12,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-11,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-10,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-09,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-08,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-05,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-04,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-03,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-05-02,'000511,*ST烯碳,0.0,0.0,0.0,0.0,5.27,None,None,0,0.0
2017-04-28,'000511,*ST烯碳,5.27,5.27,5.27,5.27,5.55,-0.28,-5.045,14116200,74392374.0
2017-04-27,'000511,*ST烯碳,5.55,5.56,5.24,5.5,5.52,0.03,0.5435,21893224,118450500.92
2017-04-26,'000511,*ST烯碳,5.52,5.66,5.48,5.52,5.52,0.0,0.0,14950872,83262062.99
2017-04-25,'000511,*ST烯碳,5.52,5.61,5.34,5.37,5.34,0.18,3.3708,19790459,108517323.48
2017-04-24,'000511,*ST烯碳,5.34,5.66,5.33,5.63,5.59,-0.25,-4.4723,19089239,104347378.68
2017-04-21,'000511,*ST烯碳,5.59,5.69,5.44,5.51,5.49,0.1,1.8215,21153875,117789385.33
2017-04-20,'000511,*ST烯碳,5.49,5.56,5.38,5.48,5.46,0.03,0.5495,14985061,82116955.72
2017-04-19,'000511,*ST烯碳,5.46,5.65,5.38,5.62,5.62,-0.16,-2.847,22045021,120439484.02
2017-04-18,'000511,*ST烯碳,5.62,5.81,5.58,5.7,5.7,-0.08,-1.4035,18890076,107457316.56
2017-04-17,'000511,*ST烯碳,5.7,5.87,5.67,5.85,5.97,-0.27,-4.5226,26766533,153865762.55
2017-04-14,'000511,*ST烯碳,5.97,6.15,5.97,6.03,6.06,-0.09,-1.4851,22617754,137180646.06
2017-04-13,'000511,*ST烯碳,6.06,6.18,6.02,6.05,6.1,-0.04,-0.6557,21196272,129260934.42
2017-04-12,'000511,*ST烯碳,6.1,6.24,5.74,5.9,5.94,0.16,2.6936,41742435,252829137.71
2017-04-11,'000511,*ST烯碳,5.94,6.16,5.86,6.15,6.17,-0.23,-3.7277,61930946,367330943.27
2017-04-10,'000511,*ST烯碳,6.17,6.43,6.13,6.37,6.37,-0.2,-3.1397,33850781,210623669.84
2017-04-07,'000511,*ST烯碳,6.37,6.5,6.34,6.38,6.34,0.03,0.4732,25337955,162591198.42
2017-04-06,'000511,*ST烯碳,6.34,6.4,6.3,6.35,6.38,-0.04,-0.627,20436535,129479807.12
2017-04-05,'000511,*ST烯碳,6.38,6.45,6.21,6.23,6.27,0.11,1.7544,26291597,167359352.01
2017-03-31,'000511,*ST烯碳,6.27,6.28,6.13,6.19,6.18,0.09,1.4563,23777022,147756617.5
2017-03-30,'000511,*ST烯碳,6.18,6.32,6.08,6.19,6.21,-0.03,-0.4831,43255989,266805078.26
2017-03-29,'000511,*ST烯碳,6.21,6.57,6.21,6.5,6.54,-0.33,-5.0459,42604416,272216705.93
2017-03-28,'000511,*ST烯碳,6.54,6.63,6.42,6.42,6.5,0.04,0.6154,27931920,183218732.14
2017-03-27,'000511,*ST烯碳,6.5,6.64,6.4,6.63,6.69,-0.19,-2.8401,40096191,260926017.46
2017-03-24,'000511,*ST烯碳,6.69,6.78,6.61,6.74,6.76,-0.07,-1.0355,29891789,199685720.08
2017-03-23,'000511,*ST烯碳,6.76,6.95,6.6,6.89,6.88,-0.12,-1.7442,42108157,286296460.74
2017-03-22,'000511,*ST烯碳,6.88,6.93,6.76,6.8,6.89,-0.01,-0.1451,31740406,217710518.99
2017-03-21,'000511,*ST烯碳,6.89,7.11,6.83,7.0,7.0,-0.11,-1.5714,49439545,343125302.84
2017-03-20,'000511,*ST烯碳,7.0,7.0,6.78,6.84,6.78,0.22,3.2448,54012068,373298251.36
2017-03-17,'000511,*ST烯碳,6.78,6.99,6.69,6.7,6.69,0.09,1.3453,59743175,409208845.06
2017-03-16,'000511,*ST烯碳,6.69,6.74,6.55,6.55,6.56,0.13,1.9817,41310534,274508416.87
2017-03-15,'000511,*ST烯碳,6.56,6.77,6.51,6.54,6.61,-0.05,-0.7564,40745284,270045683.63
2017-03-14,'000511,*ST烯碳,6.61,6.79,6.59,6.68,6.47,0.14,2.1638,59361026,396854585.07
2017-03-13,'000511,*ST烯碳,6.47,6.53,6.22,6.4,6.55,-0.08,-1.2214,56831838,361703553.17
2017-03-10,'000511,*ST烯碳,6.55,6.89,6.55,6.85,6.89,-0.34,-4.9347,82826150,548851110.84
2017-03-09,'000511,*ST烯碳,6.89,6.95,6.66,6.69,6.75,0.14,2.0741,58311059,398011477.41
2017-03-08,'000511,*ST烯碳,6.75,6.84,6.6,6.66,6.73,0.02,0.2972,62416799,418956401.22
2017-03-07,'000511,*ST烯碳,6.73,7.01,6.71,6.76,6.74,-0.01,-0.1484,92932896,637294970.81
2017-03-06,'000511,*ST烯碳,6.74,6.74,6.36,6.44,6.42,0.32,4.9844,72362107,480730974.56
2017-03-03,'000511,*ST烯碳,6.42,6.6,6.3,6.34,6.36,0.06,0.9434,71694976,462697568.36
2017-03-02,'000511,*ST烯碳,6.36,6.45,6.09,6.1,6.15,0.21,3.4146,80892596,511044658.48
2017-03-01,'000511,*ST烯碳,6.15,6.26,5.97,6.01,6.01,0.14,2.3295,53859223,331122460.7
2017-02-28,'000511,*ST烯碳,6.01,6.05,5.96,6.03,6.02,-0.01,-0.1661,15621528,93694785.48
2017-02-27,'000511,*ST烯碳,6.02,6.12,5.96,6.0,5.99,0.03,0.5008,26488866,160122540.47
2017-02-24,'000511,*ST烯碳,5.99,6.08,5.94,6.07,6.08,-0.09,-1.4803,31551112,189523476.35
2017-02-23,'000511,*ST烯碳,6.08,6.15,6.04,6.1,6.09,-0.01,-0.1642,23861383,145196549.94
2017-02-22,'000511,*ST烯碳,6.09,6.15,6.06,6.09,6.1,-0.01,-0.1639,19916458,121358951.77
2017-02-21,'000511,*ST烯碳,6.1,6.16,6.04,6.13,6.12,-0.02,-0.3268,26027155,158313099.16
2017-02-20,'000511,*ST烯碳,6.12,6.36,6.04,6.11,6.08,0.04,0.6579,47075297,289762164.62
2017-02-17,'000511,*ST烯碳,6.08,6.18,6.05,6.17,6.18,-0.1,-1.6181,43962041,268120711.6
2017-02-16,'000511,*ST烯碳,6.18,6.18,5.87,5.87,5.89,0.29,4.9236,82130698,503296479.82
2017-02-15,'000511,*ST烯碳,5.89,6.07,5.85,6.05,6.05,-0.16,-2.6446,37194633,220927228.46
2017-02-14,'000511,*ST烯碳,6.05,6.13,5.81,5.82,5.84,0.21,3.5959,55195650,333142711.14
2017-02-13,'000511,*ST烯碳,5.84,5.86,5.8,5.81,5.85,-0.01,-0.1709,21335549,124359312.95
2017-02-10,'000511,*ST烯碳,5.85,5.93,5.82,5.91,5.91,-0.06,-1.0152,27181157,159200547.75
2017-02-09,'000511,*ST烯碳,5.91,6.03,5.88,5.98,5.98,-0.07,-1.1706,34565721,204914088.22
