日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000514,渝 开 发,5.0,5.01,4.88,4.89,4.82,0.18,3.7344,9363850,46353531.92
2019-06-28,'000514,渝 开 发,4.82,4.88,4.75,4.88,4.88,-0.06,-1.2295,5716348,27522092.4
2019-06-27,'000514,渝 开 发,4.88,4.9,4.83,4.86,4.85,0.03,0.6186,6120955,29838117.94
2019-06-26,'000514,渝 开 发,4.85,4.95,4.84,4.95,4.94,-0.09,-1.8219,6655967,32390066.95
2019-06-25,'000514,渝 开 发,4.94,4.95,4.81,4.86,4.86,0.08,1.6461,12258985,60007072.29
2019-06-24,'000514,渝 开 发,4.86,4.92,4.8,4.87,4.83,0.03,0.6211,7749600,37548871.0
2019-06-21,'000514,渝 开 发,4.83,4.85,4.72,4.74,4.72,0.11,2.3305,10739113,51590787.2
2019-06-20,'000514,渝 开 发,4.72,4.74,4.58,4.63,4.61,0.11,2.3861,7898660,36941493.97
2019-06-19,'000514,渝 开 发,4.61,4.72,4.6,4.68,4.6,0.01,0.2174,6684298,31132710.94
2019-06-18,'000514,渝 开 发,4.6,4.64,4.53,4.55,4.57,0.03,0.6565,3531378,16209817.17
2019-06-17,'000514,渝 开 发,4.57,4.6,4.49,4.55,4.55,0.02,0.4396,4239806,19326472.36
2019-06-14,'000514,渝 开 发,4.55,4.71,4.54,4.7,4.69,-0.14,-2.9851,5935084,27440837.72
2019-06-13,'000514,渝 开 发,4.69,4.7,4.6,4.69,4.66,0.03,0.6438,6448315,30068238.43
2019-06-12,'000514,渝 开 发,4.66,4.7,4.56,4.65,4.66,0.0,0.0,7034599,32677216.7
2019-06-11,'000514,渝 开 发,4.66,4.67,4.46,4.47,4.46,0.2,4.4843,8775267,40355964.28
2019-06-10,'000514,渝 开 发,4.46,4.49,4.38,4.43,4.42,0.04,0.905,4813966,21404554.36
2019-06-06,'000514,渝 开 发,4.42,4.64,4.41,4.62,4.62,-0.2,-4.329,7878237,35271144.61
2019-06-05,'000514,渝 开 发,4.62,4.76,4.6,4.75,4.7,-0.08,-1.7021,6936939,32382656.5
2019-06-04,'000514,渝 开 发,4.7,4.81,4.62,4.76,4.76,-0.06,-1.2605,6933451,32601053.68
2019-06-03,'000514,渝 开 发,4.76,4.96,4.76,4.92,4.95,-0.19,-3.8384,9903400,48015375.36
2019-05-31,'000514,渝 开 发,4.95,5.14,4.81,4.81,4.82,0.13,2.6971,16152297,80560676.75
2019-05-30,'000514,渝 开 发,4.82,4.95,4.71,4.92,4.95,-0.13,-2.6263,11548616,55607115.76
2019-05-29,'000514,渝 开 发,4.95,5.0,4.92,5.0,5.0,-0.05,-1.0,7109102,35220287.86
2019-05-28,'000514,渝 开 发,5.0,5.08,4.93,4.99,5.01,-0.01,-0.1996,10354900,51981611.16
2019-05-27,'000514,渝 开 发,5.01,5.02,4.86,4.95,4.9,0.11,2.2449,6910088,34282868.18
2019-05-24,'000514,渝 开 发,4.9,4.97,4.86,4.9,4.87,0.03,0.616,7138426,35066629.35
2019-05-23,'000514,渝 开 发,4.87,5.05,4.85,4.99,4.95,-0.08,-1.6162,8323457,41244924.49
2019-05-22,'000514,渝 开 发,4.95,5.16,4.88,5.14,5.09,-0.14,-2.7505,11036710,55200809.95
2019-05-21,'000514,渝 开 发,5.09,5.13,5.02,5.03,5.0,0.09,1.8,10207113,51963308.78
2019-05-20,'000514,渝 开 发,5.0,5.06,4.81,5.04,5.0,0.0,0.0,9847855,48791871.21
2019-05-17,'000514,渝 开 发,5.0,5.36,4.98,5.34,5.29,-0.29,-5.482,17109257,87899838.13
2019-05-16,'000514,渝 开 发,5.29,5.39,5.18,5.23,5.24,0.05,0.9542,16857311,89167684.21
2019-05-15,'000514,渝 开 发,5.24,5.25,5.14,5.17,5.14,0.1,1.9455,15887560,82629925.07
2019-05-14,'000514,渝 开 发,5.14,5.26,5.07,5.13,5.26,-0.12,-2.2814,17689696,91358648.34
2019-05-13,'000514,渝 开 发,5.26,5.36,4.96,5.0,5.07,0.19,3.7475,27537833,143794682.78
2019-05-10,'000514,渝 开 发,5.07,5.09,4.77,4.91,4.83,0.24,4.9689,18746871,93254506.21
2019-05-09,'000514,渝 开 发,4.83,5.01,4.82,4.92,4.92,-0.09,-1.8293,13999445,69041768.05
2019-05-08,'000514,渝 开 发,4.92,4.97,4.69,4.77,4.9,0.02,0.4082,13129915,64043292.97
2019-05-07,'000514,渝 开 发,4.9,4.94,4.77,4.83,4.82,0.08,1.6598,15747400,76689154.13
2019-05-06,'000514,渝 开 发,4.82,5.15,4.82,5.15,5.35,-0.53,-9.9065,17544777,86845567.08
2019-04-30,'000514,渝 开 发,5.35,5.45,5.2,5.23,5.2,0.15,2.8846,16271246,86792905.94
2019-04-29,'000514,渝 开 发,5.2,5.6,5.19,5.54,5.54,-0.34,-6.1372,18600600,99745312.58
2019-04-26,'000514,渝 开 发,5.54,5.69,5.5,5.58,5.62,-0.08,-1.4235,17006762,95033662.76
2019-04-25,'000514,渝 开 发,5.62,6.07,5.53,6.04,6.04,-0.42,-6.9536,33612149,193980550.51
2019-04-24,'000514,渝 开 发,6.04,6.18,5.92,6.13,6.15,-0.11,-1.7886,21267263,128260233.09
2019-04-23,'000514,渝 开 发,6.15,6.21,5.97,6.13,6.14,0.01,0.1629,23631450,143936112.0
2019-04-22,'000514,渝 开 发,6.14,6.44,6.01,6.4,6.53,-0.39,-5.9724,39633738,245752480.35
2019-04-19,'000514,渝 开 发,6.53,6.75,6.41,6.58,6.81,-0.28,-4.1116,40457375,265645765.67
2019-04-18,'000514,渝 开 发,6.81,7.13,6.5,6.66,6.65,0.16,2.406,66529876,449799357.81
2019-04-17,'000514,渝 开 发,6.65,6.79,6.33,6.48,6.61,0.04,0.6051,51027150,334038045.13
2019-04-16,'000514,渝 开 发,6.61,6.82,6.26,6.82,6.93,-0.32,-4.6176,59454890,385952013.8
2019-04-15,'000514,渝 开 发,6.93,7.3,6.62,6.85,6.85,0.08,1.1679,69345640,483261643.08
2019-04-12,'000514,渝 开 发,6.85,7.8,6.75,7.47,7.5,-0.65,-8.6667,92205702,662994675.53
2019-04-11,'000514,渝 开 发,7.5,7.5,7.1,7.36,6.82,0.68,9.9707,68305039,508113720.15
2019-04-10,'000514,渝 开 发,6.82,6.82,6.2,6.21,6.2,0.62,10.0,77892642,518932250.93
2019-04-09,'000514,渝 开 发,6.2,6.2,5.35,5.57,5.64,0.56,9.9291,62383113,365798245.73
2019-04-08,'000514,渝 开 发,5.64,5.64,5.12,5.16,5.13,0.51,9.9415,47922638,264540314.11
2019-04-04,'000514,渝 开 发,5.13,5.15,5.04,5.11,5.12,0.01,0.1953,12842312,65358582.9
