ΘΥΖΪ,ΉΙΖ±΄ϊΒλ,Γϋ³Ζ,ΚΥΕΜΌΫ,ΧξΈίΌΫ,ΧξµΝΌΫ,ΏªΕΜΌΫ,Η°ΚΥΕΜ,ΥΗµψ¶ξ,ΥΗµψ·ω,³Ι½»ΑΏ,³Ι½»½π¶ξ
2009-05-05,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-05-04,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-04-30,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-04-29,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-04-28,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-04-27,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-04-24,'000515,ΕΚΣεξΡÒµ,0.0,0.0,0.0,0.0,15.29,None,None,0,0.0
2009-04-23,'000515,ΕΚΣεξΡÒµ,15.29,15.43,15.01,15.29,15.27,0.02,0.131,3685968,56085288.56
2009-04-22,'000515,ΕΚΣεξΡÒµ,15.27,15.79,15.16,15.47,15.48,-0.21,-1.3566,3381350,51798209.2
2009-04-21,'000515,ΕΚΣεξΡÒµ,15.48,15.71,15.4,15.71,15.71,-0.23,-1.464,2768328,42962864.95
2009-04-20,'000515,ΕΚΣεξΡÒµ,15.71,15.85,15.18,15.27,15.26,0.45,2.9489,4445820,68980863.65
2009-04-17,'000515,ΕΚΣεξΡÒµ,15.26,15.3,14.99,15.04,15.03,0.23,1.5303,3433174,51865040.6
2009-04-16,'000515,ΕΚΣεξΡÒµ,15.03,15.06,14.95,15.04,15.04,-0.01,-0.0665,1561415,23422516.5
2009-04-15,'000515,ΕΚΣεξΡÒµ,15.04,15.05,14.97,15.04,15.05,-0.01,-0.0664,1384961,20801015.24
2009-04-14,'000515,ΕΚΣεξΡÒµ,15.05,15.08,14.9,14.93,14.98,0.07,0.4673,2633677,39592446.23
2009-04-13,'000515,ΕΚΣεξΡÒµ,14.98,15.03,14.83,14.88,14.86,0.12,0.8075,4855141,72541547.74
2009-04-10,'000515,ΕΚΣεξΡÒµ,14.86,14.88,14.79,14.83,14.83,0.03,0.2023,2665153,39536342.01
2009-04-09,'000515,ΕΚΣεξΡÒµ,14.83,14.87,14.67,14.7,14.67,0.16,1.0907,2562224,37870015.57
2009-04-08,'000515,ΕΚΣεξΡÒµ,14.67,14.8,14.66,14.75,14.76,-0.09,-0.6098,1838672,27035143.01
2009-04-07,'000515,ΕΚΣεξΡÒµ,14.76,14.83,14.73,14.75,14.73,0.03,0.2037,1696897,25076688.51
2009-04-03,'000515,ΕΚΣεξΡÒµ,14.73,14.77,14.55,14.67,14.68,0.05,0.3406,2551295,37542188.54
2009-04-02,'000515,ΕΚΣεξΡÒµ,14.68,14.69,14.41,14.44,14.43,0.25,1.7325,2652699,38612077.4
2009-04-01,'000515,ΕΚΣεξΡÒµ,14.43,14.51,14.32,14.5,14.54,-0.11,-0.7565,2663536,38334600.14
2009-03-31,'000515,ΕΚΣεξΡÒµ,14.54,14.75,14.37,14.7,14.69,-0.15,-1.0211,4111205,59971912.57
2009-03-30,'000515,ΕΚΣεξΡÒµ,14.69,14.78,14.62,14.71,14.67,0.02,0.1363,2877346,42213998.75
2009-03-27,'000515,ΕΚΣεξΡÒµ,14.67,14.86,14.57,14.7,14.56,0.11,0.7555,4935749,72584313.04
2009-03-26,'000515,ΕΚΣεξΡÒµ,14.56,14.6,14.41,14.48,14.52,0.04,0.2755,1276041,18506309.23
2009-03-25,'000515,ΕΚΣεξΡÒµ,14.52,14.62,14.44,14.59,14.52,0.0,0.0,2074443,30107729.82
2009-03-24,'000515,ΕΚΣεξΡÒµ,14.52,14.6,14.47,14.55,14.56,-0.04,-0.2747,1436402,20851808.79
2009-03-23,'000515,ΕΚΣεξΡÒµ,14.56,14.67,14.4,14.67,14.6,-0.04,-0.274,2770811,40241208.58
2009-03-20,'000515,ΕΚΣεξΡÒµ,14.6,14.7,14.24,14.27,14.26,0.34,2.3843,6012384,87578491.91
2009-03-19,'000515,ΕΚΣεξΡÒµ,14.26,14.29,14.23,14.24,14.23,0.03,0.2108,1546255,22046012.4
2009-03-18,'000515,ΕΚΣεξΡÒµ,14.23,14.27,14.21,14.26,14.26,-0.03,-0.2104,1663351,23681147.51
2009-03-17,'000515,ΕΚΣεξΡÒµ,14.26,14.31,14.24,14.28,14.28,-0.02,-0.1401,2122443,30287862.01
2009-03-16,'000515,ΕΚΣεξΡÒµ,14.28,14.29,14.22,14.28,14.27,0.01,0.0701,898419,12819432.94
2009-03-13,'000515,ΕΚΣεξΡÒµ,14.27,14.32,14.2,14.22,14.22,0.05,0.3516,1894787,27008854.72
2009-03-12,'000515,ΕΚΣεξΡÒµ,14.22,14.24,14.15,14.18,14.18,0.04,0.2821,1533405,21738031.36
2009-03-11,'000515,ΕΚΣεξΡÒµ,14.18,14.19,14.15,14.15,14.15,0.03,0.212,1222671,17314672.04
2009-03-10,'000515,ΕΚΣεξΡÒµ,14.15,14.2,14.14,14.15,14.16,-0.01,-0.0706,1893345,26814210.04
2009-03-09,'000515,ΕΚΣεξΡÒµ,14.16,14.2,14.14,14.17,14.19,-0.03,-0.2114,2396995,33934175.2
2009-03-06,'000515,ΕΚΣεξΡÒµ,14.19,14.23,14.14,14.15,14.15,0.04,0.2827,3732857,52864683.77
2009-03-05,'000515,ΕΚΣεξΡÒµ,14.15,14.33,14.14,14.33,14.33,-0.18,-1.2561,6561287,93050737.27
2009-03-04,'000515,ΕΚΣεξΡÒµ,14.33,14.38,14.18,14.27,14.28,0.05,0.3501,5516603,78743833.8
2009-03-03,'000515,ΕΚΣεξΡÒµ,14.28,14.35,14.13,14.21,14.2,0.08,0.5634,4822785,68389000.19
2009-03-02,'000515,ΕΚΣεξΡÒµ,14.2,14.35,14.16,14.25,14.21,-0.01,-0.0704,4695565,66666002.64
2009-02-27,'000515,ΕΚΣεξΡÒµ,14.21,14.49,14.13,14.15,14.15,0.06,0.424,5282539,75522290.88
2009-02-26,'000515,ΕΚΣεξΡÒµ,14.15,14.46,14.1,14.3,14.39,-0.24,-1.6678,9381416,133450245.6
2009-02-25,'000515,ΕΚΣεξΡÒµ,14.39,14.9,14.16,14.9,15.0,-0.61,-4.0667,14812804,214241069.87
2009-02-24,'000515,ΕΚΣεξΡÒµ,15.0,15.07,13.95,13.95,13.7,1.3,9.4891,26620974,387088409.48
2009-02-23,'000515,ΕΚΣεξΡÒµ,13.7,13.79,13.5,13.52,13.5,0.2,1.4815,3139460,42883682.91
2009-02-20,'000515,ΕΚΣεξΡÒµ,13.5,13.54,13.45,13.54,13.47,0.03,0.2227,2263783,30514140.44
2009-02-19,'000515,ΕΚΣεξΡÒµ,13.47,13.65,13.45,13.55,13.5,-0.03,-0.2222,3232680,43686027.43
2009-02-18,'000515,ΕΚΣεξΡÒµ,13.5,13.78,13.5,13.55,13.58,-0.08,-0.5891,3051476,41491656.77
2009-02-17,'000515,ΕΚΣεξΡÒµ,13.58,13.92,13.5,13.86,13.9,-0.32,-2.3022,5079592,69518654.95
2009-02-16,'000515,ΕΚΣεξΡÒµ,13.9,13.97,13.45,13.56,13.55,0.35,2.583,9472074,130914662.42
2009-02-13,'000515,ΕΚΣεξΡÒµ,13.55,13.59,13.29,13.45,13.48,0.07,0.5193,6874497,91897684.56
2009-02-12,'000515,ΕΚΣεξΡÒµ,13.48,13.89,13.45,13.88,13.81,-0.33,-2.3896,5025084,68259152.06
2009-02-11,'000515,ΕΚΣεξΡÒµ,13.81,14.0,13.69,13.69,13.68,0.13,0.9503,7134962,98631609.57
2009-02-10,'000515,ΕΚΣεξΡÒµ,13.68,13.94,13.59,13.94,13.85,-0.17,-1.2274,6912481,95153280.43
2009-02-09,'000515,ΕΚΣεξΡÒµ,13.85,14.02,13.46,13.5,13.5,0.35,2.5926,12835389,175746205.93
2009-02-06,'000515,ΕΚΣεξΡÒµ,13.5,13.58,13.38,13.45,13.48,0.02,0.1484,1927162,25938546.88
2009-02-05,'000515,ΕΚΣεξΡÒµ,13.48,13.5,13.44,13.46,13.49,-0.01,-0.0741,599455,8071146.81
2009-02-04,'000515,ΕΚΣεξΡÒµ,13.49,13.51,13.44,13.47,13.5,-0.01,-0.0741,422990,5698892.29
2009-02-03,'000515,ΕΚΣεξΡÒµ,13.5,13.5,13.45,13.46,13.5,0.0,0.0,337408,4544922.86
2009-02-02,'000515,ΕΚΣεξΡÒµ,13.5,13.56,13.41,13.56,13.56,-0.06,-0.4425,277671,3738676.67
2009-01-23,'000515,ΕΚΣεξΡÒµ,13.56,13.56,13.43,13.47,13.45,0.11,0.8178,499599,6737555.55
2009-01-22,'000515,ΕΚΣεξΡÒµ,13.45,13.5,13.43,13.47,13.46,-0.01,-0.0743,331900,4461230.01
2009-01-21,'000515,ΕΚΣεξΡÒµ,13.46,13.51,13.45,13.5,13.54,-0.08,-0.5908,221852,2989027.92
2009-01-20,'000515,ΕΚΣεξΡÒµ,13.54,13.65,13.49,13.5,13.54,0.0,0.0,611729,8310667.21
2009-01-19,'000515,ΕΚΣεξΡÒµ,13.54,13.6,13.49,13.52,13.53,0.01,0.0739,230937,3121529.76
2009-01-16,'000515,ΕΚΣεξΡÒµ,13.53,13.6,13.52,13.59,13.57,-0.04,-0.2948,380121,5148235.99
2009-01-15,'000515,ΕΚΣεξΡÒµ,13.57,13.62,13.55,13.6,13.6,-0.03,-0.2206,531613,7213218.26
2009-01-14,'000515,ΕΚΣεξΡÒµ,13.6,13.65,13.55,13.6,13.6,0.0,0.0,670843,9123023.84
2009-01-13,'000515,ΕΚΣεξΡÒµ,13.6,13.7,13.55,13.61,13.55,0.05,0.369,1359334,18494626.06
2009-01-12,'000515,ΕΚΣεξΡÒµ,13.55,13.62,13.53,13.6,13.58,-0.03,-0.2209,397230,5383655.7
2009-01-09,'000515,ΕΚΣεξΡÒµ,13.58,13.6,13.5,13.59,13.59,-0.01,-0.0736,246061,3333196.36
2009-01-08,'000515,ΕΚΣεξΡÒµ,13.59,13.64,13.47,13.6,13.6,-0.01,-0.0735,223945,3035160.93
2009-01-07,'000515,ΕΚΣεξΡÒµ,13.6,13.7,13.58,13.59,13.64,-0.04,-0.2933,452519,6165090.81
2009-01-06,'000515,ΕΚΣεξΡÒµ,13.64,13.7,13.56,13.68,13.68,-0.04,-0.2924,624707,8521606.53
2009-01-05,'000515,ΕΚΣεξΡÒµ,13.68,13.77,13.54,13.54,13.63,0.05,0.3668,775077,10583417.69
2008-12-31,'000515,ΕΚΣεξΡÒµ,13.63,13.74,13.62,13.63,13.64,-0.01,-0.0733,212900,2907462.0
2008-12-30,'000515,ΕΚΣεξΡÒµ,13.64,13.79,13.6,13.76,13.76,-0.12,-0.8721,518564,7094974.08
2008-12-29,'000515,ΕΚΣεξΡÒµ,13.76,13.97,13.75,13.97,13.96,-0.2,-1.4327,936861,12961116.19
2008-12-26,'000515,ΕΚΣεξΡÒµ,13.96,13.98,13.66,13.77,13.42,0.54,4.0238,2298500,31888199.43
2008-12-25,'000515,ΕΚΣεξΡÒµ,13.42,13.43,13.29,13.35,13.35,0.07,0.5243,542263,7236779.84
2008-12-24,'000515,ΕΚΣεξΡÒµ,13.35,13.35,13.23,13.23,13.2,0.15,1.1364,929868,12373802.68
2008-12-23,'000515,ΕΚΣεξΡÒµ,13.2,13.54,13.2,13.54,13.5,-0.3,-2.2222,365801,4877328.56
2008-12-22,'000515,ΕΚΣεξΡÒµ,13.5,13.58,13.42,13.58,13.59,-0.09,-0.6623,520763,7028095.22
2008-12-19,'000515,ΕΚΣεξΡÒµ,13.59,13.6,13.33,13.45,13.45,0.14,1.0409,255780,3462430.22
2008-12-18,'000515,ΕΚΣεξΡÒµ,13.45,13.51,13.38,13.51,13.51,-0.06,-0.4441,597837,8040814.36
2008-12-17,'000515,ΕΚΣεξΡÒµ,13.51,13.56,13.46,13.5,13.56,-0.05,-0.3687,245232,3309467.28
2008-12-16,'000515,ΕΚΣεξΡÒµ,13.56,13.57,13.45,13.55,13.55,0.01,0.0738,263055,3545688.84
2008-12-15,'000515,ΕΚΣεξΡÒµ,13.55,13.68,13.54,13.67,13.66,-0.11,-0.8053,377794,5126480.71
2008-12-12,'000515,ΕΚΣεξΡÒµ,13.66,13.71,13.52,13.68,13.65,0.01,0.0733,477857,6507780.36
2008-12-11,'000515,ΕΚΣεξΡÒµ,13.65,13.7,13.51,13.6,13.57,0.08,0.5895,551887,7506785.7
2008-12-10,'000515,ΕΚΣεξΡÒµ,13.57,13.74,13.51,13.69,13.66,-0.09,-0.6589,540965,7358429.04
2008-12-09,'000515,ΕΚΣεξΡÒµ,13.66,13.72,13.51,13.59,13.56,0.1,0.7375,2036576,27810106.2
2008-12-08,'000515,ΕΚΣεξΡÒµ,13.56,13.67,13.47,13.6,13.6,-0.04,-0.2941,593848,8044886.98
2008-12-05,'000515,ΕΚΣεξΡÒµ,13.6,13.7,13.4,13.54,13.59,0.01,0.0736,778494,10564704.8
