日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000516,国际医学,5.22,5.26,5.16,5.18,5.08,0.14,2.7559,17560865,91472921.16
2019-06-28,'000516,国际医学,5.08,5.17,5.07,5.17,5.13,-0.05,-0.9747,10023588,51229281.29
2019-06-27,'000516,国际医学,5.22,5.28,5.2,5.23,5.21,0.01,0.1919,11023880,57814607.44
2019-06-26,'000516,国际医学,5.21,5.24,5.14,5.16,5.2,0.01,0.1923,8660094,45119490.81
2019-06-25,'000516,国际医学,5.2,5.27,5.13,5.25,5.26,-0.06,-1.1407,10164687,52655323.26
2019-06-24,'000516,国际医学,5.26,5.32,5.24,5.28,5.27,-0.01,-0.1898,10602666,55929359.32
2019-06-21,'000516,国际医学,5.27,5.31,5.23,5.25,5.23,0.04,0.7648,14956808,78890607.64
2019-06-20,'000516,国际医学,5.23,5.27,5.13,5.14,5.16,0.07,1.3566,14791550,77276902.03
2019-06-19,'000516,国际医学,5.16,5.27,5.16,5.22,5.11,0.05,0.9785,14540937,75761368.86
2019-06-18,'000516,国际医学,5.11,5.15,5.1,5.13,5.14,-0.03,-0.5837,5755420,29491074.29
2019-06-17,'000516,国际医学,5.14,5.18,5.06,5.09,5.07,0.07,1.3807,12459341,63817850.87
2019-06-14,'000516,国际医学,5.07,5.16,5.05,5.15,5.14,-0.07,-1.3619,10278417,52521769.44
2019-06-13,'000516,国际医学,5.14,5.18,5.09,5.16,5.2,-0.06,-1.1538,13068594,67188494.28
2019-06-12,'000516,国际医学,5.2,5.22,5.09,5.16,5.12,0.08,1.5625,17541033,90299176.68
2019-06-11,'000516,国际医学,5.12,5.13,4.93,4.95,4.95,0.17,3.4343,15549576,78726229.62
2019-06-10,'000516,国际医学,4.95,4.99,4.9,4.95,4.92,0.03,0.6098,8946865,44215761.62
2019-06-06,'000516,国际医学,4.92,5.05,4.92,5.04,5.04,-0.12,-2.381,13741922,68253343.74
2019-06-05,'000516,国际医学,5.04,5.1,5.01,5.05,5.0,0.04,0.8,9818969,49615625.88
2019-06-04,'000516,国际医学,5.0,5.11,4.98,5.08,5.11,-0.11,-2.1526,14921816,75074427.63
2019-06-03,'000516,国际医学,5.11,5.23,5.09,5.19,5.2,-0.09,-1.7308,13847150,71117753.5
2019-05-31,'000516,国际医学,5.2,5.24,5.16,5.18,5.19,0.01,0.1927,7909025,41147508.0
2019-05-30,'000516,国际医学,5.19,5.28,5.15,5.28,5.27,-0.08,-1.518,14063399,72942091.46
2019-05-29,'000516,国际医学,5.27,5.31,5.23,5.27,5.26,0.01,0.1901,12676042,66883779.49
2019-05-28,'000516,国际医学,5.26,5.35,5.24,5.29,5.28,-0.02,-0.3788,13258461,70424996.77
2019-05-27,'000516,国际医学,5.28,5.3,5.16,5.2,5.18,0.1,1.9305,13995922,73464592.0
2019-05-24,'000516,国际医学,5.18,5.3,5.16,5.25,5.27,-0.09,-1.7078,15272048,79700814.82
