日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000517,荣安地产,3.11,3.13,3.06,3.08,3.07,0.04,1.3029,15262794,47237868.08
2019-06-28,'000517,荣安地产,3.07,3.15,3.02,3.06,3.05,0.02,0.6557,14348797,44347129.58
2019-06-27,'000517,荣安地产,3.05,3.08,3.03,3.05,3.05,0.0,0.0,5444074,16637191.1
2019-06-26,'000517,荣安地产,3.05,3.07,3.02,3.04,3.05,0.0,0.0,4496622,13707664.35
2019-06-25,'000517,荣安地产,3.05,3.09,3.01,3.09,3.08,-0.03,-0.974,8111450,24622917.3
2019-06-24,'000517,荣安地产,3.08,3.11,3.06,3.08,3.08,0.0,0.0,6594000,20339422.0
2019-06-21,'000517,荣安地产,3.08,3.11,3.06,3.07,3.07,0.01,0.3257,12962360,40003867.8
2019-06-20,'000517,荣安地产,3.07,3.08,2.98,3.03,3.01,0.06,1.9934,13751829,41946762.15
2019-06-19,'000517,荣安地产,3.01,3.08,3.01,3.05,3.0,0.01,0.3333,8161894,24775049.82
2019-06-18,'000517,荣安地产,3.0,3.03,2.98,3.02,3.02,-0.02,-0.6623,6145000,18417803.0
2019-06-17,'000517,荣安地产,3.02,3.04,2.95,2.98,2.99,0.03,1.0033,8092544,24292479.0
2019-06-14,'000517,荣安地产,2.99,3.12,2.98,3.06,3.02,-0.03,-0.9934,13809200,42071672.0
2019-06-13,'000517,荣安地产,3.02,3.05,2.99,3.0,3.0,0.02,0.6667,9620815,29028896.03
2019-06-12,'000517,荣安地产,3.0,3.06,3.0,3.04,3.04,-0.04,-1.3158,11657600,35300312.0
2019-06-11,'000517,荣安地产,3.04,3.06,2.93,2.96,2.94,0.1,3.4014,16306515,48991238.15
2019-06-10,'000517,荣安地产,2.94,2.96,2.85,2.88,2.88,0.06,2.0833,12881244,37738449.54
2019-06-06,'000517,荣安地产,2.88,2.95,2.86,2.94,2.96,-0.08,-2.7027,12246456,35431910.25
2019-06-05,'000517,荣安地产,2.96,3.02,2.93,2.96,2.92,0.04,1.3699,15420553,45893522.12
2019-06-04,'000517,荣安地产,2.92,2.94,2.88,2.92,2.92,0.0,0.0,9821528,28557183.28
2019-06-03,'000517,荣安地产,2.92,3.07,2.88,3.05,3.05,-0.13,-4.2623,19394254,57442781.58
2019-05-31,'000517,荣安地产,3.05,3.09,3.04,3.08,3.07,-0.02,-0.6515,6729100,20618511.0
2019-05-30,'000517,荣安地产,3.07,3.09,3.04,3.06,3.08,-0.01,-0.3247,9521000,29139536.0
2019-05-29,'000517,荣安地产,3.08,3.12,3.07,3.11,3.12,-0.04,-1.2821,7350000,22743845.0
2019-05-28,'000517,荣安地产,3.12,3.16,3.1,3.12,3.11,0.01,0.3215,12188385,38112143.17
2019-05-27,'000517,荣安地产,3.11,3.12,3.03,3.06,3.05,0.06,1.9672,8349100,25750124.0
2019-05-24,'000517,荣安地产,3.05,3.09,3.04,3.07,3.08,-0.03,-0.974,9264500,28340180.0
2019-05-23,'000517,荣安地产,3.08,3.14,3.06,3.07,3.12,-0.04,-1.2821,10687100,32980239.0
2019-05-22,'000517,荣安地产,3.12,3.18,3.09,3.16,3.17,-0.05,-1.5773,13368541,41764390.69
2019-05-21,'000517,荣安地产,3.17,3.22,3.1,3.11,3.16,0.01,0.3165,12954782,41183242.12
2019-05-20,'000517,荣安地产,3.16,3.21,3.06,3.15,3.21,-0.05,-1.5576,17912800,55864773.0
2019-05-17,'000517,荣安地产,3.21,3.4,3.2,3.4,3.41,-0.2,-5.8651,33314570,109717371.7
2019-05-16,'000517,荣安地产,3.41,3.44,3.23,3.29,3.31,0.1,3.0211,39352671,131713352.74
2019-05-15,'000517,荣安地产,3.31,3.37,3.19,3.22,3.19,0.12,3.7618,27819015,91443735.12
2019-05-14,'000517,荣安地产,3.19,3.24,3.15,3.2,3.25,-0.06,-1.8462,14756603,47099265.51
2019-05-13,'000517,荣安地产,3.25,3.3,3.22,3.3,3.34,-0.09,-2.6946,16813900,54906719.97
2019-05-10,'000517,荣安地产,3.34,3.42,3.17,3.27,3.24,0.1,3.0864,28398043,93718769.19
2019-05-09,'000517,荣安地产,3.24,3.31,3.16,3.2,3.25,-0.01,-0.3077,19562080,63505467.0
2019-05-08,'000517,荣安地产,3.25,3.42,3.21,3.31,3.44,-0.19,-5.5233,42813373,142650703.11
2019-05-07,'000517,荣安地产,3.44,3.44,3.12,3.12,3.13,0.31,9.9042,60490156,200302525.67
2019-05-06,'000517,荣安地产,3.13,3.22,3.04,3.1,3.24,-0.11,-3.3951,36390317,114813721.12
2019-04-30,'000517,荣安地产,3.24,3.3,3.12,3.15,3.12,0.12,3.8462,26441697,85030552.0
2019-04-29,'000517,荣安地产,3.12,3.22,3.03,3.11,3.13,-0.01,-0.3195,20328645,63362024.55
2019-04-26,'000517,荣安地产,3.13,3.17,3.02,3.06,3.09,0.04,1.2945,20714830,64076730.3
2019-04-25,'000517,荣安地产,3.09,3.29,3.07,3.29,3.29,-0.2,-6.079,23778621,75454627.49
2019-04-24,'000517,荣安地产,3.29,3.31,3.24,3.28,3.26,0.03,0.9202,13132904,42981753.17
2019-04-23,'000517,荣安地产,3.26,3.31,3.24,3.3,3.3,-0.04,-1.2121,17989200,58816352.0
2019-04-22,'000517,荣安地产,3.3,3.42,3.28,3.42,3.44,-0.14,-4.0698,31394474,104564199.64
2019-04-19,'000517,荣安地产,3.44,3.44,3.35,3.43,3.4,0.04,1.1765,23925174,81235984.38
2019-04-18,'000517,荣安地产,3.4,3.56,3.4,3.56,3.59,-0.19,-5.2925,42759021,147588653.2
2019-04-17,'000517,荣安地产,3.59,3.65,3.55,3.6,3.7,-0.11,-2.973,54518980,196245335.57
2019-04-16,'000517,荣安地产,3.7,3.75,3.46,3.53,3.61,0.09,2.4931,81472683,295107337.72
2019-04-15,'000517,荣安地产,3.61,3.74,3.45,3.74,3.49,0.12,3.4384,75814106,269355932.85
2019-04-12,'000517,荣安地产,3.49,3.55,3.35,3.39,3.4,0.09,2.6471,54951194,190652823.37
2019-04-11,'000517,荣安地产,3.4,3.53,3.31,3.35,3.34,0.06,1.7964,65170588,222671319.31
2019-04-10,'000517,荣安地产,3.34,3.44,3.25,3.27,3.36,-0.02,-0.5952,49590828,165987959.65
2019-04-09,'000517,荣安地产,3.36,3.39,3.22,3.25,3.22,0.14,4.3478,59598271,197629373.06
2019-04-08,'000517,荣安地产,3.22,3.31,3.15,3.29,3.27,-0.05,-1.5291,31259930,100881227.82
2019-04-04,'000517,荣安地产,3.27,3.35,3.22,3.3,3.3,-0.03,-0.9091,34338700,112478511.0
2019-04-03,'000517,荣安地产,3.3,3.34,3.17,3.21,3.23,0.07,2.1672,41510251,135809586.28
2019-04-02,'000517,荣安地产,3.23,3.32,3.19,3.31,3.26,-0.03,-0.9202,41555267,134639287.82
2019-04-01,'000517,荣安地产,3.26,3.42,3.11,3.14,3.19,0.07,2.1944,57747614,188947807.72
2019-03-29,'000517,荣安地产,3.19,3.22,2.98,3.02,3.0,0.19,6.3333,47337268,147824954.81
2019-03-28,'000517,荣安地产,3.0,3.08,2.99,3.06,3.1,-0.1,-3.2258,21963251,66742133.0
2019-03-27,'000517,荣安地产,3.1,3.11,2.96,3.05,3.05,0.05,1.6393,32418803,98468393.09
2019-03-26,'000517,荣安地产,3.05,3.23,3.04,3.19,3.17,-0.12,-3.7855,37744266,118024125.87
2019-03-25,'000517,荣安地产,3.17,3.3,3.15,3.23,3.34,-0.17,-5.0898,42159382,136322851.68
2019-03-22,'000517,荣安地产,3.34,3.4,3.24,3.34,3.48,-0.14,-4.023,70611559,234459757.51
2019-03-21,'000517,荣安地产,3.48,3.6,3.28,3.45,3.39,0.09,2.6549,138422064,477193064.88
2019-03-20,'000517,荣安地产,3.39,3.39,3.0,3.01,3.08,0.31,10.0649,105184465,345067139.7
2019-03-19,'000517,荣安地产,3.08,3.35,3.07,3.14,3.14,-0.06,-1.9108,65514054,208476914.86
2019-03-18,'000517,荣安地产,3.14,3.2,2.95,3.03,3.03,0.11,3.6304,57555104,178038050.95
2019-03-15,'000517,荣安地产,3.03,3.08,2.93,2.94,2.96,0.07,2.3649,32425994,97773472.57
2019-03-14,'000517,荣安地产,2.96,3.14,2.94,3.03,3.15,-0.19,-6.0317,48908101,148392944.95
2019-03-13,'000517,荣安地产,3.15,3.15,2.96,3.0,2.96,0.19,6.4189,69216190,212119177.02
2019-03-12,'000517,荣安地产,2.96,3.07,2.92,2.96,2.96,0.0,0.0,36724823,109639287.88
2019-03-11,'000517,荣安地产,2.96,3.0,2.73,2.73,2.81,0.15,5.3381,43479954,124415635.81
2019-03-08,'000517,荣安地产,2.81,3.12,2.8,3.11,3.1,-0.29,-9.3548,52125151,155271742.16
2019-03-07,'000517,荣安地产,3.1,3.13,3.03,3.08,3.09,0.01,0.3236,53727902,165527312.12
2019-03-06,'000517,荣安地产,3.09,3.09,2.98,3.05,3.09,0.0,0.0,62786317,191249939.61
2019-03-05,'000517,荣安地产,3.09,3.14,3.0,3.05,3.07,0.02,0.6515,54017941,166195312.94
