日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000518,四环生物,3.64,3.68,3.61,3.62,3.57,0.07,1.9608,8852713,32263163.7
2019-06-28,'000518,四环生物,3.57,3.69,3.55,3.69,3.69,-0.12,-3.252,9338610,33452900.5
2019-06-27,'000518,四环生物,3.69,3.78,3.58,3.66,3.65,0.04,1.0959,13463637,49486991.63
2019-06-26,'000518,四环生物,3.65,3.77,3.61,3.61,3.63,0.02,0.551,14353101,52985640.42
2019-06-25,'000518,四环生物,3.63,3.7,3.56,3.7,3.73,-0.1,-2.681,15542395,56169123.98
2019-06-24,'000518,四环生物,3.73,3.82,3.69,3.82,3.79,-0.06,-1.5831,13388200,49898305.0
2019-06-21,'000518,四环生物,3.79,3.87,3.75,3.81,3.86,-0.07,-1.8135,23515373,89405379.6
2019-06-20,'000518,四环生物,3.86,3.95,3.74,3.83,4.0,-0.14,-3.5,34764941,133273198.37
2019-06-19,'000518,四环生物,4.0,4.3,3.61,3.94,3.94,0.06,1.5228,55075508,216353090.0
2019-06-18,'000518,四环生物,3.94,4.06,3.75,3.79,3.73,0.21,5.63,59846122,234594958.51
2019-06-17,'000518,四环生物,3.73,3.73,3.6,3.6,3.39,0.34,10.0295,17008617,63223755.28
2019-06-14,'000518,四环生物,3.39,3.42,3.36,3.38,3.39,0.0,0.0,4748184,16082554.14
2019-06-13,'000518,四环生物,3.39,3.41,3.34,3.38,3.38,0.01,0.2959,5327429,18005836.83
2019-06-12,'000518,四环生物,3.38,3.41,3.32,3.33,3.4,-0.02,-0.5882,6066007,20453567.57
2019-06-11,'000518,四环生物,3.4,3.5,3.27,3.28,3.25,0.15,4.6154,9475700,32260378.99
2019-06-10,'000518,四环生物,3.25,3.26,3.2,3.22,3.22,0.03,0.9317,3156978,10227842.88
2019-06-06,'000518,四环生物,3.22,3.33,3.15,3.32,3.34,-0.12,-3.5928,6342500,20525790.99
2019-06-05,'000518,四环生物,3.34,3.45,3.32,3.35,3.31,0.03,0.9063,6385200,21584492.0
2019-06-04,'000518,四环生物,3.31,3.36,3.3,3.34,3.32,-0.01,-0.3012,3447401,11435689.3
2019-06-03,'000518,四环生物,3.32,3.41,3.3,3.36,3.38,-0.06,-1.7751,5107901,17067460.32
2019-05-31,'000518,四环生物,3.38,3.45,3.38,3.4,3.4,-0.02,-0.5882,4073379,13861321.02
2019-05-30,'000518,四环生物,3.4,3.45,3.36,3.44,3.44,-0.04,-1.1628,5294671,17946501.69
2019-05-29,'000518,四环生物,3.44,3.5,3.41,3.5,3.46,-0.02,-0.578,5517297,19010454.75
2019-05-28,'000518,四环生物,3.46,3.53,3.43,3.47,3.51,-0.05,-1.4245,8250900,28790500.0
2019-05-27,'000518,四环生物,3.51,3.61,3.3,3.3,3.46,0.05,1.4451,12287426,42112961.8
2019-05-24,'000518,四环生物,3.46,3.53,3.42,3.42,3.49,-0.03,-0.8596,3875101,13418372.46
2019-05-23,'000518,四环生物,3.49,3.63,3.48,3.62,3.63,-0.14,-3.8567,8060898,28305470.98
2019-05-22,'000518,四环生物,3.63,3.71,3.6,3.68,3.68,-0.05,-1.3587,9093010,33138089.6
2019-05-21,'000518,四环生物,3.68,3.74,3.57,3.58,3.64,0.04,1.0989,11326418,41803857.52
2019-05-20,'000518,四环生物,3.64,3.91,3.52,3.91,3.91,-0.27,-6.9054,17116644,62411241.12
2019-05-17,'000518,四环生物,3.91,4.14,3.74,3.81,3.86,0.05,1.2953,31483052,124554747.98
2019-05-16,'000518,四环生物,3.86,3.99,3.68,3.74,3.73,0.13,3.4853,18667335,71848663.58
2019-05-15,'000518,四环生物,3.73,3.77,3.67,3.72,3.67,0.06,1.6349,10314416,38331272.49
2019-05-14,'000518,四环生物,3.67,3.77,3.63,3.74,3.79,-0.12,-3.1662,10159433,37478591.44
2019-05-13,'000518,四环生物,3.79,3.84,3.71,3.8,3.89,-0.1,-2.5707,14099583,53257333.27
2019-05-10,'000518,四环生物,3.89,3.98,3.69,3.83,3.83,0.06,1.5666,23771954,91528398.04
2019-05-09,'000518,四环生物,3.83,4.18,3.8,4.0,3.94,-0.11,-2.7919,36178336,143697353.88
2019-05-08,'000518,四环生物,3.94,3.94,3.43,3.5,3.58,0.36,10.0559,14860713,56927147.64
2019-05-07,'000518,四环生物,3.58,3.63,3.3,3.3,3.3,0.28,8.4848,16714810,58645052.9
2019-05-06,'000518,四环生物,3.3,3.52,3.21,3.52,3.55,-0.25,-7.0423,10737683,36014117.57
2019-04-30,'000518,四环生物,3.55,3.58,3.49,3.49,3.49,0.06,1.7192,8820029,31208607.03
2019-04-29,'000518,四环生物,3.49,3.77,3.42,3.72,3.8,-0.31,-8.1579,16996748,59879903.64
2019-04-26,'000518,四环生物,3.8,3.93,3.8,3.89,3.89,-0.09,-2.3136,11082600,42626763.98
2019-04-25,'000518,四环生物,3.89,4.1,3.88,4.09,4.14,-0.25,-6.0386,16932579,67831274.42
2019-04-24,'000518,四环生物,4.14,4.24,3.98,4.24,4.32,-0.18,-4.1667,26713898,109186507.33
2019-04-23,'000518,四环生物,4.32,4.35,4.11,4.25,4.24,0.08,1.8868,19771676,83844211.36
2019-04-22,'000518,四环生物,4.24,4.39,4.23,4.32,4.33,-0.09,-2.0785,16126264,68786453.6
2019-04-19,'000518,四环生物,4.33,4.41,4.23,4.27,4.31,0.02,0.464,17394915,75339960.99
2019-04-18,'000518,四环生物,4.31,4.44,4.3,4.43,4.47,-0.16,-3.5794,23552245,102669868.1
2019-04-17,'000518,四环生物,4.47,4.58,4.28,4.38,4.39,0.08,1.8223,37191841,164015302.39
2019-04-16,'000518,四环生物,4.39,4.43,4.21,4.24,4.38,0.01,0.2283,30362374,131185671.13
2019-04-15,'000518,四环生物,4.38,4.63,4.29,4.3,4.54,-0.16,-3.5242,46067519,203793884.34
2019-04-12,'000518,四环生物,4.54,4.79,4.53,4.79,5.03,-0.49,-9.7416,91274556,424167875.39
2019-04-11,'000518,四环生物,5.03,5.03,5.03,5.03,4.57,0.46,10.0656,12317714,61958101.42
2019-04-10,'000518,四环生物,4.57,4.57,4.19,4.2,4.15,0.42,10.1205,37934390,170001266.92
2019-04-09,'000518,四环生物,4.15,4.2,4.09,4.15,4.14,0.01,0.2415,13366407,55352370.05
2019-04-08,'000518,四环生物,4.14,4.24,4.08,4.23,4.16,-0.02,-0.4808,15028815,62483410.22
2019-04-04,'000518,四环生物,4.16,4.24,4.15,4.23,4.2,-0.04,-0.9524,14329708,59999735.6
2019-04-03,'000518,四环生物,4.2,4.21,4.16,4.17,4.16,0.04,0.9615,15939198,66785366.56
2019-04-02,'000518,四环生物,4.16,4.25,4.14,4.25,4.2,-0.04,-0.9524,20387339,85345256.1
2019-04-01,'000518,四环生物,4.2,4.2,4.12,4.17,4.09,0.11,2.6895,22069684,92072587.71
2019-03-29,'000518,四环生物,4.09,4.09,3.92,4.0,4.0,0.09,2.25,15520692,62388350.46
2019-03-28,'000518,四环生物,4.0,4.14,3.98,4.12,4.1,-0.1,-2.439,15652096,63372497.86
2019-03-27,'000518,四环生物,4.1,4.2,4.05,4.05,4.0,0.1,2.5,21286278,87608539.54
2019-03-26,'000518,四环生物,4.0,4.22,3.96,4.15,4.16,-0.16,-3.8462,19306484,78836340.89
2019-03-25,'000518,四环生物,4.16,4.25,4.15,4.2,4.28,-0.12,-2.8037,19359010,81243149.9
2019-03-22,'000518,四环生物,4.28,4.35,4.17,4.32,4.35,-0.07,-1.6092,21191101,90075143.2
2019-03-21,'000518,四环生物,4.35,4.39,4.28,4.29,4.34,0.01,0.2304,19735557,85906927.74
2019-03-20,'000518,四环生物,4.34,4.45,4.25,4.44,4.42,-0.08,-1.81,18558523,80436164.26
2019-03-19,'000518,四环生物,4.42,4.55,4.37,4.39,4.46,-0.04,-0.8969,23307852,103301560.2
2019-03-18,'000518,四环生物,4.46,4.6,4.18,4.26,4.24,0.22,5.1887,33923279,148890766.1
2019-03-15,'000518,四环生物,4.24,4.27,4.2,4.2,4.2,0.04,0.9524,16083171,68117797.67
2019-03-14,'000518,四环生物,4.2,4.48,4.15,4.33,4.33,-0.13,-3.0023,19338717,82815610.91
2019-03-13,'000518,四环生物,4.33,4.6,4.25,4.59,4.57,-0.24,-5.2516,25476757,112933629.75
2019-03-12,'000518,四环生物,4.57,4.67,4.5,4.67,4.6,-0.03,-0.6522,29490147,135238251.4
2019-03-11,'000518,四环生物,4.6,4.64,4.42,4.49,4.51,0.09,1.9956,23845592,108111417.82
2019-03-08,'000518,四环生物,4.51,4.93,4.49,4.93,4.99,-0.48,-9.6192,36671639,171070320.89
2019-03-07,'000518,四环生物,4.99,5.16,4.85,4.97,5.03,-0.04,-0.7952,50804850,252642847.5
2019-03-06,'000518,四环生物,5.03,5.22,4.75,4.82,4.91,0.12,2.444,62204800,310637414.0
2019-03-05,'000518,四环生物,4.91,4.95,4.75,4.85,4.94,-0.03,-0.6073,43704098,212486007.97
2019-03-04,'000518,四环生物,4.94,5.1,4.58,4.59,4.74,0.2,4.2194,62946525,302579304.68
2019-03-01,'000518,四环生物,4.74,5.15,4.69,4.78,4.78,-0.04,-0.8368,52421428,254261322.88
2019-02-28,'000518,四环生物,4.78,4.78,4.46,4.46,4.95,-0.17,-3.4343,68049585,312264352.89
2019-02-27,'000518,四环生物,4.95,5.23,4.65,4.75,4.75,0.2,4.2105,92601972,456404377.53
2019-02-26,'000518,四环生物,4.75,4.75,4.16,4.27,4.32,0.43,9.9537,68034371,313344157.44
2019-02-25,'000518,四环生物,4.32,4.5,4.13,4.2,4.17,0.15,3.5971,49506379,212438689.01
2019-02-22,'000518,四环生物,4.17,4.2,4.1,4.13,4.26,-0.09,-2.1127,28975086,120216129.8
2019-02-21,'000518,四环生物,4.26,4.34,4.02,4.32,4.41,-0.15,-3.4014,44490506,187697741.61
2019-02-20,'000518,四环生物,4.41,4.49,4.17,4.34,4.35,0.06,1.3793,55693685,241278151.68
2019-02-19,'000518,四环生物,4.35,4.69,4.23,4.23,4.51,-0.16,-3.5477,70552895,311840276.1
2019-02-18,'000518,四环生物,4.51,4.64,3.8,4.31,4.22,0.29,6.872,86495842,365014005.19
2019-02-15,'000518,四环生物,4.22,4.22,3.77,3.78,3.84,0.38,9.8958,64120952,262337871.34
2019-02-14,'000518,四环生物,3.84,3.84,3.32,3.44,3.49,0.35,10.0287,57934583,205758131.24
2019-02-13,'000518,四环生物,3.49,3.49,3.31,3.39,3.17,0.32,10.0946,41183440,142598910.23
2019-02-12,'000518,四环生物,3.17,3.17,3.17,3.17,2.88,0.29,10.0694,4564413,14469189.21
2019-02-11,'000518,四环生物,2.88,2.88,2.61,2.62,2.62,0.26,9.9237,6671124,18950042.96
2019-02-01,'000518,四环生物,2.62,2.63,2.49,2.55,2.56,0.06,2.3438,5968406,15398701.56
