日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000519,中兵红箭,7.87,7.91,7.79,7.85,7.73,0.14,1.8111,18955994,148895660.19
2019-06-28,'000519,中兵红箭,7.73,7.84,7.66,7.78,7.8,-0.07,-0.8974,12124136,93632496.73
2019-06-27,'000519,中兵红箭,7.8,7.97,7.76,7.89,7.88,-0.08,-1.0152,18734901,147417420.65
2019-06-26,'000519,中兵红箭,7.88,7.93,7.73,7.8,7.9,-0.02,-0.2532,19458177,152380630.69
2019-06-25,'000519,中兵红箭,7.9,8.02,7.78,7.96,8.03,-0.13,-1.6189,27927009,220534311.76
2019-06-24,'000519,中兵红箭,8.03,8.32,7.68,7.8,7.83,0.2,2.5543,40651560,323657384.66
2019-06-21,'000519,中兵红箭,7.83,7.85,7.56,7.59,7.6,0.23,3.0263,29096049,225479804.61
2019-06-20,'000519,中兵红箭,7.6,7.62,7.37,7.45,7.46,0.14,1.8767,18870887,142288837.97
2019-06-19,'000519,中兵红箭,7.5,7.56,7.42,7.47,7.36,0.14,1.9022,13576371,101569813.8
2019-06-18,'000519,中兵红箭,7.36,7.41,7.31,7.35,7.37,-0.01,-0.1357,5819916,42800432.33
2019-06-17,'000519,中兵红箭,7.37,7.47,7.3,7.4,7.48,-0.11,-1.4706,10711403,78990997.96
2019-06-14,'000519,中兵红箭,7.48,7.82,7.46,7.56,7.58,-0.1,-1.3193,19173224,146861307.65
2019-06-13,'000519,中兵红箭,7.58,7.66,7.53,7.55,7.62,-0.04,-0.5249,11530935,87617022.25
2019-06-12,'000519,中兵红箭,7.62,7.69,7.46,7.51,7.54,0.08,1.061,16517186,125273519.74
2019-06-11,'000519,中兵红箭,7.54,7.56,7.28,7.33,7.3,0.24,3.2877,13183971,98169246.97
2019-06-10,'000519,中兵红箭,7.3,7.36,7.21,7.21,7.24,0.06,0.8287,7723038,56320356.13
2019-06-06,'000519,中兵红箭,7.24,7.53,7.23,7.51,7.52,-0.28,-3.7234,12736447,93201852.86
2019-06-05,'000519,中兵红箭,7.52,7.64,7.48,7.63,7.55,-0.03,-0.3974,12955482,97883644.6
2019-06-04,'000519,中兵红箭,7.55,7.81,7.46,7.77,7.81,-0.26,-3.3291,19060067,144738042.18
2019-06-03,'000519,中兵红箭,7.81,8.2,7.76,8.06,7.92,-0.11,-1.3889,30341293,241017138.76
