ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000520,³¤º½·ï»Ë,3.47,3.48,3.42,3.45,3.43,0.04,1.1662,10400470,35928384.01
2019-06-28,'000520,³¤º½·ï»Ë,3.43,3.5,3.34,3.5,3.48,-0.05,-1.4368,12472700,42399837.0
2019-06-27,'000520,³¤º½·ï»Ë,3.48,3.55,3.47,3.53,3.51,-0.03,-0.8547,6838955,23993862.56
2019-06-26,'000520,³¤º½·ï»Ë,3.51,3.56,3.5,3.52,3.54,-0.03,-0.8475,5124693,18062754.4
2019-06-25,'000520,³¤º½·ï»Ë,3.54,3.61,3.51,3.6,3.58,-0.04,-1.1173,6434323,22787932.0
2019-06-24,'000520,³¤º½·ï»Ë,3.58,3.63,3.57,3.62,3.61,-0.03,-0.831,6795076,24430156.57
2019-06-21,'000520,³¤º½·ï»Ë,3.61,3.65,3.58,3.61,3.59,0.02,0.5571,9417555,34077158.82
2019-06-20,'000520,³¤º½·ï»Ë,3.59,3.62,3.54,3.6,3.62,-0.03,-0.8287,8952950,32030650.51
2019-06-19,'000520,³¤º½·ï»Ë,3.62,3.69,3.6,3.66,3.6,0.02,0.5556,8284960,30060146.6
2019-06-18,'000520,³¤º½·ï»Ë,3.6,3.65,3.58,3.59,3.59,0.01,0.2786,5477299,19803858.99
2019-06-17,'000520,³¤º½·ï»Ë,3.59,3.63,3.56,3.62,3.59,0.0,0.0,6327684,22704365.78
2019-06-14,'000520,³¤º½·ï»Ë,3.59,3.68,3.58,3.61,3.63,-0.04,-1.1019,11612942,42055830.42
2019-06-13,'000520,³¤º½·ï»Ë,3.63,3.64,3.5,3.52,3.5,0.13,3.7143,16958065,61051012.7
2019-06-12,'000520,³¤º½·ï»Ë,3.5,3.51,3.4,3.4,3.42,0.08,2.3392,9922182,34521010.21
2019-06-11,'000520,³¤º½·ï»Ë,3.42,3.44,3.33,3.33,3.33,0.09,2.7027,6797608,23072551.28
