日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000523,广州浪奇,5.54,5.61,5.52,5.6,5.46,0.08,1.4652,5026203,27904966.33
2019-06-28,'000523,广州浪奇,5.46,5.6,5.4,5.57,5.55,-0.09,-1.6216,4704304,25779053.96
2019-06-27,'000523,广州浪奇,5.55,5.62,5.5,5.55,5.47,0.08,1.4625,5920524,32953290.39
2019-06-26,'000523,广州浪奇,5.47,5.58,5.46,5.55,5.59,-0.12,-2.1467,5143074,28349905.48
2019-06-25,'000523,广州浪奇,5.59,5.63,5.46,5.61,5.63,-0.04,-0.7105,6973513,38601667.28
2019-06-24,'000523,广州浪奇,5.63,5.64,5.54,5.61,5.61,0.02,0.3565,5675761,31831966.22
2019-06-21,'000523,广州浪奇,5.61,5.65,5.56,5.58,5.56,0.05,0.8993,7390006,41515301.0
2019-06-20,'000523,广州浪奇,5.56,5.61,5.4,5.4,5.46,0.1,1.8315,8316296,45918633.63
2019-06-19,'000523,广州浪奇,5.46,5.54,5.44,5.54,5.4,0.06,1.1111,6633920,36365150.4
2019-06-18,'000523,广州浪奇,5.4,5.48,5.37,5.4,5.35,0.05,0.9346,6035140,32698848.0
2019-06-17,'000523,广州浪奇,5.35,5.48,5.3,5.36,5.36,-0.01,-0.1866,4639260,24894749.8
2019-06-14,'000523,广州浪奇,5.36,5.6,5.27,5.5,5.33,0.03,0.5629,12985913,70555445.15
2019-06-13,'000523,广州浪奇,5.33,5.43,5.14,5.28,5.27,0.06,1.1385,12074695,64081417.69
2019-06-12,'000523,广州浪奇,5.27,5.4,5.23,5.29,5.33,-0.06,-1.1257,8687465,46160380.1
2019-06-11,'000523,广州浪奇,5.33,5.4,5.14,5.17,5.16,0.17,3.2946,10352401,54848962.57
2019-06-10,'000523,广州浪奇,5.16,5.18,4.93,4.99,4.96,0.2,4.0323,7857884,39752904.95
2019-06-06,'000523,广州浪奇,4.96,5.19,4.93,5.18,5.15,-0.19,-3.6893,7846315,39510561.62
2019-06-05,'000523,广州浪奇,5.15,5.28,5.12,5.25,5.16,-0.01,-0.1938,7232579,37535271.28
2019-06-04,'000523,广州浪奇,5.16,5.32,5.12,5.3,5.3,-0.14,-2.6415,10386384,54197495.82
