日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000524,岭南控股,8.6,8.63,8.44,8.5,8.37,0.23,2.7479,3159779,27055647.51
2019-06-28,'000524,岭南控股,8.37,8.44,8.2,8.41,8.34,0.03,0.3597,2147112,17868059.77
2019-06-27,'000524,岭南控股,8.34,8.45,8.24,8.25,8.25,0.09,1.0909,2409100,20145710.0
2019-06-26,'000524,岭南控股,8.47,8.66,8.26,8.66,8.65,-0.18,-2.0809,2531507,21480433.25
2019-06-25,'000524,岭南控股,8.65,8.66,8.5,8.57,8.53,0.12,1.4068,2814488,24161561.34
2019-06-24,'000524,岭南控股,8.53,8.63,8.48,8.54,8.53,0.0,0.0,2386400,20448929.0
2019-06-21,'000524,岭南控股,8.53,8.62,8.47,8.59,8.53,0.0,0.0,2810363,24027788.39
2019-06-20,'000524,岭南控股,8.53,8.59,8.23,8.25,8.23,0.3,3.6452,3546900,30072151.0
2019-06-19,'000524,岭南控股,8.23,8.35,8.2,8.28,8.14,0.09,1.1057,1696500,14062477.0
2019-06-18,'000524,岭南控股,8.14,8.24,8.12,8.16,8.16,-0.02,-0.2451,1030800,8419604.0
2019-06-17,'000524,岭南控股,8.16,8.24,8.03,8.04,8.08,0.08,0.9901,1734500,14144778.0
2019-06-14,'000524,岭南控股,8.08,8.27,8.06,8.23,8.24,-0.16,-1.9417,1256087,10223539.31
2019-06-13,'000524,岭南控股,8.24,8.29,8.17,8.29,8.3,-0.06,-0.7229,1474000,12115972.04
2019-06-12,'000524,岭南控股,8.3,8.32,8.15,8.2,8.23,0.07,0.8505,1389430,11425219.7
2019-06-11,'000524,岭南控股,8.23,8.26,7.98,8.0,8.0,0.23,2.875,1980000,16200041.4
2019-06-10,'000524,岭南控股,8.0,8.08,7.91,8.0,8.0,0.0,0.0,1198832,9589863.64
2019-06-06,'000524,岭南控股,8.0,8.22,7.95,8.17,8.17,-0.17,-2.0808,1403901,11333969.95
2019-06-05,'000524,岭南控股,8.17,8.29,8.16,8.22,8.2,-0.03,-0.3659,1216732,10007161.08
2019-06-04,'000524,岭南控股,8.2,8.29,8.12,8.19,8.22,-0.02,-0.2433,1602632,13174896.73
2019-06-03,'000524,岭南控股,8.22,8.45,8.18,8.33,8.37,-0.15,-1.7921,2028531,16820423.71
2019-05-31,'000524,岭南控股,8.37,8.53,8.3,8.49,8.51,-0.14,-1.6451,2041899,17203061.99
