ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000525,ºì Ì« Ñô,13.1,13.16,13.03,13.09,12.91,0.19,1.4717,5532125,72445451.37
2019-06-28,'000525,ºì Ì« Ñô,12.91,13.16,12.9,13.1,13.11,-0.2,-1.5256,3360928,43537187.07
2019-06-27,'000525,ºì Ì« Ñô,13.11,13.18,13.05,13.05,13.08,0.03,0.2294,2306400,30278877.0
2019-06-26,'000525,ºì Ì« Ñô,13.08,13.14,13.0,13.08,13.08,0.0,0.0,1622921,21202177.05
2019-06-25,'000525,ºì Ì« Ñô,13.08,13.24,12.97,13.24,13.23,-0.15,-1.1338,3294593,43050583.86
2019-06-24,'000525,ºì Ì« Ñô,13.23,13.33,13.17,13.31,13.28,-0.05,-0.3765,3728703,49334926.71
2019-06-21,'000525,ºì Ì« Ñô,13.28,13.39,13.19,13.26,13.28,0.0,0.0,7001630,93033657.0
2019-06-20,'000525,ºì Ì« Ñô,13.28,13.31,13.09,13.14,13.17,0.11,0.8352,4233602,55979196.67
2019-06-19,'000525,ºì Ì« Ñô,13.17,13.29,13.04,13.1,12.93,0.24,1.8561,3580279,47106668.36
2019-06-18,'000525,ºì Ì« Ñô,12.93,12.99,12.86,12.94,12.98,-0.05,-0.3852,1674400,21632702.0
2019-06-17,'000525,ºì Ì« Ñô,12.98,13.17,12.85,13.01,13.03,-0.05,-0.3837,1979133,25699021.94
2019-06-14,'000525,ºì Ì« Ñô,13.03,13.46,13.03,13.23,13.24,-0.21,-1.5861,3053000,40415513.0
2019-06-13,'000525,ºì Ì« Ñô,13.24,13.32,13.16,13.28,13.26,-0.02,-0.1508,2508586,33188459.48
2019-06-12,'000525,ºì Ì« Ñô,13.26,13.41,13.22,13.41,13.46,-0.2,-1.4859,4125388,54915538.43
2019-06-11,'000525,ºì Ì« Ñô,13.46,13.53,13.08,13.2,13.2,0.26,1.9697,6758128,90378697.15
2019-06-10,'000525,ºì Ì« Ñô,13.2,13.36,13.05,13.19,13.22,-0.02,-0.1513,2999105,39543343.75
2019-06-06,'000525,ºì Ì« Ñô,13.22,13.55,13.14,13.3,13.13,0.09,0.6855,5852422,78229764.78
2019-06-05,'000525,ºì Ì« Ñô,13.13,13.28,13.09,13.12,13.02,0.11,0.8449,3362180,44356663.71
2019-06-04,'000525,ºì Ì« Ñô,13.02,13.05,12.81,12.81,12.88,0.14,1.087,2501116,32416609.07
2019-06-03,'000525,ºì Ì« Ñô,12.88,13.24,12.87,13.13,13.15,-0.27,-2.0532,3408337,44335425.63
2019-05-31,'000525,ºì Ì« Ñô,13.15,13.29,13.1,13.21,13.21,-0.06,-0.4542,2307816,30475480.19
2019-05-30,'000525,ºì Ì« Ñô,13.21,13.34,13.14,13.31,13.31,-0.1,-0.7513,2549753,33696368.98
2019-05-29,'000525,ºì Ì« Ñô,13.31,13.44,13.25,13.27,13.33,-0.02,-0.15,3103367,41437606.06
2019-05-28,'000525,ºì Ì« Ñô,13.33,13.56,13.29,13.44,13.46,-0.13,-0.9658,3540199,47584037.42
2019-05-27,'000525,ºì Ì« Ñô,13.46,13.52,13.2,13.25,13.13,0.33,2.5133,3152576,42149353.73
2019-05-24,'000525,ºì Ì« Ñô,13.13,13.34,13.1,13.22,13.24,-0.11,-0.8308,2079080,27389438.94
2019-05-23,'000525,ºì Ì« Ñô,13.24,13.55,13.16,13.41,13.61,-0.37,-2.7186,4069916,54268866.17
2019-05-22,'000525,ºì Ì« Ñô,13.61,13.74,13.31,13.52,13.51,0.1,0.7402,5317380,71970190.54
2019-05-21,'000525,ºì Ì« Ñô,13.51,13.57,13.27,13.39,13.35,0.16,1.1985,4409771,59470634.31
2019-05-20,'000525,ºì Ì« Ñô,13.35,13.88,13.08,13.7,13.84,-0.49,-3.5405,6266310,83241327.12
2019-05-17,'000525,ºì Ì« Ñô,13.84,14.28,13.61,14.21,14.31,-0.47,-3.2844,10955361,152384310.89
2019-05-16,'000525,ºì Ì« Ñô,14.31,14.85,13.39,13.48,13.5,0.81,6.0,16299830,231933481.38
2019-05-15,'000525,ºì Ì« Ñô,13.5,13.63,13.35,13.37,13.27,0.23,1.7332,5806383,78231937.69
2019-05-14,'000525,ºì Ì« Ñô,13.27,13.47,13.18,13.41,13.48,-0.21,-1.5579,3668501,48895411.98
2019-05-13,'000525,ºì Ì« Ñô,13.48,13.58,13.41,13.51,13.64,-0.16,-1.173,2330737,31470338.5
2019-05-10,'000525,ºì Ì« Ñô,13.64,13.72,13.1,13.52,13.45,0.19,1.4126,5874267,79673843.2
2019-05-09,'000525,ºì Ì« Ñô,13.45,13.52,13.2,13.2,13.47,-0.02,-0.1485,2577868,34600178.86
2019-05-08,'000525,ºì Ì« Ñô,13.47,13.57,13.01,13.18,13.37,0.1,0.7479,3403780,45703701.64
2019-05-07,'000525,ºì Ì« Ñô,13.37,13.66,13.17,13.25,13.18,0.19,1.4416,4462527,59623928.18
