日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000526,紫光学大,21.39,21.55,21.05,21.05,20.97,0.42,2.0029,1383653,29632525.84
2019-06-28,'000526,紫光学大,20.97,21.22,20.88,20.93,20.93,0.04,0.1911,1186127,24988330.11
2019-06-27,'000526,紫光学大,20.93,21.23,20.6,20.6,20.6,0.33,1.6019,1284420,26888362.6
2019-06-26,'000526,紫光学大,20.6,20.87,20.6,20.75,20.81,-0.21,-1.0091,742416,15385880.52
2019-06-25,'000526,紫光学大,20.81,21.13,20.75,20.8,21.05,-0.24,-1.1401,1035500,21674819.0
2019-06-24,'000526,紫光学大,21.05,21.4,20.91,21.35,21.8,-0.75,-3.4404,1797471,37898675.38
2019-06-21,'000526,紫光学大,21.8,23.5,21.0,22.32,21.99,-0.19,-0.864,6130504,133987506.12
2019-06-20,'000526,紫光学大,21.99,22.26,21.06,21.3,21.43,0.56,2.6132,2830060,61477019.52
2019-06-19,'000526,紫光学大,21.43,21.43,20.76,20.92,20.88,0.55,2.6341,1382745,29129669.88
2019-06-18,'000526,紫光学大,20.88,21.0,19.85,19.87,19.87,1.01,5.083,907744,18563331.36
2019-06-17,'000526,紫光学大,19.87,20.27,19.84,19.9,20.07,-0.2,-0.9965,522300,10428500.8
2019-06-14,'000526,紫光学大,20.07,20.45,19.94,20.4,20.39,-0.32,-1.5694,686100,13811126.0
2019-06-13,'000526,紫光学大,20.39,20.5,20.13,20.27,20.32,0.07,0.3445,626900,12749666.94
2019-06-12,'000526,紫光学大,20.32,20.77,20.22,20.51,20.54,-0.22,-1.0711,824317,16853789.67
2019-06-11,'000526,紫光学大,20.54,20.74,20.1,20.19,20.15,0.39,1.9355,1062354,21684761.88
2019-06-10,'000526,紫光学大,20.15,20.46,19.97,20.08,20.24,-0.09,-0.4447,471344,9513832.12
2019-06-06,'000526,紫光学大,20.24,20.45,19.76,20.36,20.45,-0.21,-1.0269,762500,15323316.0
2019-06-05,'000526,紫光学大,20.45,20.95,20.14,20.6,20.53,-0.08,-0.3897,586100,12027872.0
2019-06-04,'000526,紫光学大,20.53,21.25,20.4,21.2,21.31,-0.78,-3.6603,680208,14142435.36
2019-06-03,'000526,紫光学大,21.31,22.1,21.3,21.95,21.78,-0.47,-2.1579,667801,14398171.4
2019-05-31,'000526,紫光学大,21.78,22.1,21.26,21.3,21.34,0.44,2.0619,748700,16255384.0
2019-05-30,'000526,紫光学大,21.34,21.62,21.2,21.5,21.57,-0.23,-1.0663,500201,10694935.47
2019-05-29,'000526,紫光学大,21.57,21.84,21.35,21.35,21.6,-0.03,-0.1389,610602,13189992.97
2019-05-28,'000526,紫光学大,21.6,21.97,21.6,21.85,21.95,-0.35,-1.5945,769700,16775027.0
2019-05-27,'000526,紫光学大,21.95,22.06,21.39,21.8,21.8,0.15,0.6881,1038850,22514583.5
2019-05-24,'000526,紫光学大,21.8,21.91,21.46,21.51,22.2,-0.4,-1.8018,1493839,32474812.5
2019-05-23,'000526,紫光学大,22.2,24.5,22.2,22.78,22.87,-0.67,-2.9296,2449965,56174535.68
2019-05-22,'000526,紫光学大,22.87,22.89,21.0,22.75,22.85,0.02,0.0875,1207100,27145024.44
2019-05-21,'000526,紫光学大,22.85,22.88,21.82,22.18,22.22,0.63,2.8353,1344312,29938345.18
2019-05-20,'000526,紫光学大,22.22,22.6,21.71,22.53,22.87,-0.65,-2.8422,1248260,27614994.92
2019-05-17,'000526,紫光学大,22.87,24.48,21.98,22.46,22.47,0.4,1.7802,1756974,39269892.52
2019-05-16,'000526,紫光学大,22.47,22.55,21.53,21.71,21.72,0.75,3.453,1529600,33692216.0
2019-05-15,'000526,紫光学大,21.72,21.75,21.4,21.44,21.4,0.32,1.4953,1218631,26324740.71
2019-05-14,'000526,紫光学大,21.4,21.67,21.15,21.23,21.47,-0.07,-0.326,1184732,25323572.8
2019-05-13,'000526,紫光学大,21.47,21.68,21.08,21.29,21.28,0.19,0.8929,1181777,25336008.96
2019-05-10,'000526,紫光学大,21.28,21.58,20.5,20.98,20.84,0.44,2.1113,1482377,31396556.64
2019-05-09,'000526,紫光学大,20.84,21.72,20.42,20.59,20.71,0.13,0.6277,1193239,25143967.47
2019-05-08,'000526,紫光学大,20.71,21.2,20.26,20.8,20.9,-0.19,-0.9091,803135,16762150.41
2019-05-07,'000526,紫光学大,20.9,21.1,20.44,20.5,20.23,0.67,3.3119,1307442,27162107.64
2019-05-06,'000526,紫光学大,20.23,21.76,20.14,21.27,22.38,-2.15,-9.6068,1618102,33721310.82
2019-04-30,'000526,紫光学大,22.38,22.6,21.78,21.96,21.82,0.56,2.5665,877500,19571653.96
2019-04-29,'000526,紫光学大,21.82,23.23,21.8,22.98,22.97,-1.15,-5.0065,1328431,29541996.92
2019-04-26,'000526,紫光学大,22.97,23.48,22.93,23.01,23.14,-0.17,-0.7347,876033,20327118.32
2019-04-25,'000526,紫光学大,23.14,24.83,23.13,24.83,24.59,-1.45,-5.8967,1159600,27932593.0
