日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000528,柳 工,6.86,6.91,6.73,6.77,6.66,0.2,3.003,29394702,200424804.02
2019-06-28,'000528,柳 工,6.66,6.73,6.62,6.72,6.71,-0.05,-0.7452,12406292,82690362.11
2019-06-27,'000528,柳 工,6.71,6.79,6.7,6.71,6.7,0.01,0.1493,11960433,80637205.52
2019-06-26,'000528,柳 工,6.7,6.76,6.69,6.74,6.76,-0.06,-0.8876,12771364,85873041.6
2019-06-25,'000528,柳 工,6.76,6.89,6.72,6.88,6.92,-0.16,-2.3121,22540098,152957510.23
2019-06-24,'000528,柳 工,6.92,7.03,6.74,6.79,6.79,0.13,1.9146,32599134,224395282.14
2019-06-21,'000528,柳 工,6.79,6.84,6.73,6.74,6.74,0.05,0.7418,24690498,167567999.25
2019-06-20,'000528,柳 工,6.74,6.81,6.58,6.58,6.62,0.12,1.8127,24430803,164002388.88
2019-06-19,'000528,柳 工,6.62,6.77,6.6,6.74,6.6,0.02,0.303,18329455,122255015.58
2019-06-18,'000528,柳 工,6.6,6.63,6.56,6.58,6.59,0.01,0.1517,7371686,48540622.37
2019-06-17,'000528,柳 工,6.59,6.65,6.56,6.64,6.62,-0.03,-0.4532,7385060,48747071.14
2019-06-14,'000528,柳 工,6.62,6.7,6.6,6.69,6.69,-0.07,-1.0463,11545152,76694306.34
2019-06-13,'000528,柳 工,6.69,6.73,6.57,6.63,6.63,0.06,0.905,16753635,111604464.79
2019-06-12,'000528,柳 工,6.63,6.71,6.61,6.69,6.69,-0.06,-0.8969,18373236,122394944.1
2019-06-11,'000528,柳 工,6.69,6.7,6.45,6.45,6.44,0.25,3.882,24958384,165281475.26
2019-06-10,'000528,柳 工,6.44,6.46,6.37,6.4,6.36,0.08,1.2579,7615411,48891157.41
2019-06-06,'000528,柳 工,6.36,6.49,6.36,6.46,6.46,-0.1,-1.548,11139607,71388075.43
2019-06-05,'000528,柳 工,6.46,6.56,6.46,6.53,6.47,-0.01,-0.1546,8567408,55647717.94
2019-06-04,'000528,柳 工,6.47,6.57,6.43,6.56,6.54,-0.07,-1.0703,11056343,71555396.95
2019-06-03,'000528,柳 工,6.54,6.63,6.52,6.57,6.56,-0.02,-0.3049,9635245,63238762.4
2019-05-31,'000528,柳 工,6.56,6.64,6.56,6.6,6.61,-0.05,-0.7564,10125775,66780086.66
2019-05-30,'000528,柳 工,6.61,6.63,6.54,6.63,6.64,-0.03,-0.4518,10995908,72192562.92
2019-05-29,'000528,柳 工,6.64,6.67,6.6,6.62,6.64,0.0,0.0,11478598,76155806.19
2019-05-28,'000528,柳 工,6.64,6.72,6.61,6.68,6.65,-0.01,-0.1504,15936057,106275801.9
2019-05-27,'000528,柳 工,6.8,6.85,6.65,6.67,6.66,0.14,2.1021,18968167,128339654.92
2019-05-24,'000528,柳 工,6.66,6.67,6.56,6.6,6.61,0.05,0.7564,10127186,67030835.89
2019-05-23,'000528,柳 工,6.61,6.67,6.58,6.65,6.68,-0.07,-1.0479,13227518,87531033.9
2019-05-22,'000528,柳 工,6.68,6.78,6.64,6.78,6.76,-0.08,-1.1834,12991776,87048578.18
2019-05-21,'000528,柳 工,6.76,6.78,6.61,6.64,6.62,0.14,2.1148,16506753,110901563.72
2019-05-20,'000528,柳 工,6.62,6.72,6.52,6.68,6.68,-0.06,-0.8982,15253075,100455171.48
2019-05-17,'000528,柳 工,6.68,6.95,6.63,6.95,6.96,-0.28,-4.023,27128143,183871834.39
2019-05-16,'000528,柳 工,6.96,6.96,6.81,6.84,6.84,0.12,1.7544,26107329,180047586.38
2019-05-15,'000528,柳 工,6.84,6.87,6.75,6.81,6.73,0.11,1.6345,19842374,135179047.18
2019-05-14,'000528,柳 工,6.73,6.84,6.71,6.73,6.82,-0.09,-1.3196,16894675,114508387.84
2019-05-13,'000528,柳 工,6.82,6.88,6.78,6.88,6.94,-0.12,-1.7291,15855555,108134760.73
2019-05-10,'000528,柳 工,6.94,6.95,6.6,6.78,6.71,0.23,3.4277,28881286,197493941.73
2019-05-09,'000528,柳 工,6.71,6.86,6.71,6.76,6.83,-0.12,-1.757,14105705,95568972.24
