日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000530,大冷股份,4.47,4.49,4.39,4.45,4.34,0.13,2.9954,9014983,40154559.01
2019-06-28,'000530,大冷股份,4.34,4.44,4.32,4.42,4.43,-0.09,-2.0316,6611993,28826165.42
2019-06-27,'000530,大冷股份,4.43,4.5,4.42,4.43,4.43,0.0,0.0,5553656,24738692.22
2019-06-26,'000530,大冷股份,4.43,4.47,4.4,4.45,4.45,-0.02,-0.4494,4696950,20809526.89
2019-06-25,'000530,大冷股份,4.45,4.51,4.38,4.51,4.52,-0.07,-1.5487,7067310,31361930.74
2019-06-24,'000530,大冷股份,4.52,4.52,4.42,4.44,4.45,0.07,1.573,7983825,35673665.12
2019-06-21,'000530,大冷股份,4.45,4.52,4.4,4.42,4.4,0.05,1.1364,11366318,50755543.49
2019-06-20,'000530,大冷股份,4.4,4.42,4.29,4.32,4.32,0.08,1.8519,9746897,42627778.83
2019-06-19,'000530,大冷股份,4.32,4.4,4.32,4.38,4.29,0.03,0.6993,8228780,35796989.7
2019-06-18,'000530,大冷股份,4.29,4.33,4.26,4.29,4.33,-0.04,-0.9238,6068220,26006735.4
2019-06-17,'000530,大冷股份,4.33,4.42,4.21,4.25,4.21,0.12,2.8504,11047999,47832009.35
2019-06-14,'000530,大冷股份,4.21,4.36,4.19,4.34,4.33,-0.12,-2.7714,5570081,23852360.54
2019-06-13,'000530,大冷股份,4.33,4.34,4.26,4.27,4.29,0.04,0.9324,5323195,22929418.71
2019-06-12,'000530,大冷股份,4.29,4.37,4.26,4.33,4.36,-0.07,-1.6055,6906323,29767163.69
2019-06-11,'000530,大冷股份,4.36,4.36,4.17,4.18,4.19,0.17,4.0573,8649919,37059644.34
2019-06-10,'000530,大冷股份,4.19,4.22,4.14,4.17,4.16,0.03,0.7212,4945045,20670425.46
2019-06-06,'000530,大冷股份,4.16,4.3,4.15,4.29,4.33,-0.17,-3.9261,7940149,33398616.55
2019-06-05,'000530,大冷股份,4.33,4.43,4.22,4.3,4.26,0.07,1.6432,8873689,38299379.5
2019-06-04,'000530,大冷股份,4.26,4.3,4.22,4.24,4.26,0.0,0.0,5265860,22384646.41
2019-06-03,'000530,大冷股份,4.26,4.44,4.23,4.39,4.42,-0.16,-3.6199,7618742,32898694.72
2019-05-31,'000530,大冷股份,4.42,4.5,4.4,4.47,4.49,-0.07,-1.559,8286467,36728935.95
2019-05-30,'000530,大冷股份,4.49,4.49,4.32,4.35,4.39,0.1,2.2779,10157666,44734290.65
2019-05-29,'000530,大冷股份,4.39,4.44,4.32,4.35,4.36,0.03,0.6881,6860063,30203024.8
2019-05-28,'000530,大冷股份,4.36,4.41,4.31,4.31,4.32,0.04,0.9259,9674901,42299559.21
2019-05-27,'000530,大冷股份,4.32,4.35,4.18,4.22,4.19,0.13,3.1026,7923587,33907467.9
2019-05-24,'000530,大冷股份,4.19,4.25,4.16,4.18,4.19,0.0,0.0,5340847,22417305.33
2019-05-23,'000530,大冷股份,4.19,4.3,4.17,4.29,4.28,-0.09,-2.1028,8121959,34263631.01
2019-05-22,'000530,大冷股份,4.28,4.37,4.24,4.33,4.37,-0.09,-2.0595,9313001,40123554.12
2019-05-21,'000530,大冷股份,4.37,4.39,4.27,4.3,4.28,0.09,2.1028,8654548,37614327.23
2019-05-20,'000530,大冷股份,4.28,4.37,4.21,4.35,4.37,-0.09,-2.0595,10456924,44618268.7
2019-05-17,'000530,大冷股份,4.37,4.64,4.29,4.54,4.48,-0.11,-2.4554,17717675,79920748.85
2019-05-16,'000530,大冷股份,4.48,4.52,4.41,4.41,4.44,0.04,0.9009,10429892,46671633.02
2019-05-15,'000530,大冷股份,4.44,4.46,4.38,4.4,4.37,0.07,1.6018,9125960,40393489.0
2019-05-14,'000530,大冷股份,4.37,4.46,4.36,4.37,4.45,-0.08,-1.7978,9545403,42080808.7
2019-05-13,'000530,大冷股份,4.45,4.48,4.32,4.35,4.43,0.02,0.4515,9964753,44037170.5
2019-05-10,'000530,大冷股份,4.43,4.44,4.2,4.34,4.31,0.12,2.7842,15275144,66929602.82
2019-05-09,'000530,大冷股份,4.31,4.4,4.22,4.24,4.29,0.02,0.4662,11427732,49381385.22
2019-05-08,'000530,大冷股份,4.29,4.39,4.14,4.21,4.29,0.0,0.0,10781015,46263181.46
2019-05-07,'000530,大冷股份,4.29,4.37,4.18,4.29,4.22,0.07,1.6588,12338379,52722884.32
2019-05-06,'000530,大冷股份,4.22,4.51,4.13,4.39,4.56,-0.34,-7.4561,16599649,71802540.27
2019-04-30,'000530,大冷股份,4.56,4.61,4.39,4.42,4.41,0.15,3.4014,14371824,65228982.6
2019-04-29,'000530,大冷股份,4.41,4.76,4.36,4.71,4.7,-0.29,-6.1702,16714810,75811471.88
2019-04-26,'000530,大冷股份,4.7,4.82,4.66,4.69,4.71,-0.01,-0.2123,13374740,63283215.38
2019-04-25,'000530,大冷股份,4.71,5.08,4.65,5.07,5.07,-0.36,-7.1006,24847648,121210464.86
2019-04-24,'000530,大冷股份,5.07,5.12,4.97,5.12,5.05,0.02,0.396,16291408,82019829.22
2019-04-23,'000530,大冷股份,5.05,5.22,5.02,5.21,5.24,-0.19,-3.626,22721912,115743957.03
2019-04-22,'000530,大冷股份,5.24,5.35,5.16,5.21,5.15,0.09,1.7476,36842750,193390379.63
2019-04-19,'000530,大冷股份,5.15,5.24,5.06,5.14,5.24,-0.09,-1.7176,29322172,150718050.18
2019-04-18,'000530,大冷股份,5.24,5.29,4.95,4.98,4.98,0.26,5.2209,49386479,253316816.48
2019-04-17,'000530,大冷股份,4.98,5.05,4.87,4.9,4.91,0.07,1.4257,27438481,136707084.91
2019-04-16,'000530,大冷股份,4.91,4.91,4.69,4.85,4.88,0.03,0.6148,18044354,86664601.92
2019-04-15,'000530,大冷股份,4.88,5.04,4.85,5.0,4.95,-0.07,-1.4141,18836569,93318195.04
2019-04-12,'000530,大冷股份,4.95,4.98,4.86,4.86,4.89,0.06,1.227,13091669,64558287.89
2019-04-11,'000530,大冷股份,4.89,5.01,4.88,4.95,4.95,-0.06,-1.2121,20093124,99484231.24
2019-04-10,'000530,大冷股份,4.95,4.96,4.82,4.89,4.9,0.05,1.0204,19764463,96925734.89
2019-04-09,'000530,大冷股份,4.9,4.93,4.85,4.85,4.86,0.04,0.823,14166225,69334148.84
2019-04-08,'000530,大冷股份,4.86,5.01,4.81,5.01,4.95,-0.09,-1.8182,20977936,102718289.01
2019-04-04,'000530,大冷股份,4.95,5.03,4.9,5.0,5.01,-0.06,-1.1976,22059484,109193623.36
2019-04-03,'000530,大冷股份,5.01,5.02,4.88,4.92,4.96,0.05,1.0081,23177518,114779615.09
2019-04-02,'000530,大冷股份,4.96,5.02,4.89,4.97,4.97,-0.01,-0.2012,23787845,117592134.03
