日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000531,穗恒运Ａ,7.12,7.15,7.06,7.11,6.99,0.13,1.8598,8791649,62440575.4
2019-06-28,'000531,穗恒运Ａ,6.99,7.15,6.95,7.02,6.94,0.05,0.7205,8326542,58652634.12
2019-06-27,'000531,穗恒运Ａ,6.94,7.02,6.91,6.92,6.91,0.03,0.4342,4293894,29934108.44
2019-06-26,'000531,穗恒运Ａ,6.91,6.95,6.85,6.95,6.96,-0.05,-0.7184,3782240,26072923.99
2019-06-25,'000531,穗恒运Ａ,6.96,7.06,6.85,7.03,7.02,-0.06,-0.8547,4795249,33365855.33
2019-06-24,'000531,穗恒运Ａ,7.02,7.13,6.94,7.13,7.03,-0.01,-0.1422,4946634,34757446.8
2019-06-21,'000531,穗恒运Ａ,7.03,7.11,6.93,6.95,6.94,0.09,1.2968,7626332,53570228.22
2019-06-20,'000531,穗恒运Ａ,6.94,7.02,6.71,6.79,6.8,0.14,2.0588,7256301,50031704.41
2019-06-19,'000531,穗恒运Ａ,6.8,6.96,6.74,6.78,6.64,0.16,2.4096,5394635,36803267.82
2019-06-18,'000531,穗恒运Ａ,6.64,6.73,6.6,6.7,6.67,-0.03,-0.4498,3920201,26092489.67
2019-06-17,'000531,穗恒运Ａ,6.67,6.79,6.66,6.7,6.83,-0.16,-2.3426,5252076,35255298.76
2019-06-14,'000531,穗恒运Ａ,7.04,7.27,7.0,7.22,7.31,-0.27,-3.6936,9050023,64308740.57
2019-06-13,'000531,穗恒运Ａ,7.31,7.45,6.96,7.0,7.03,0.28,3.9829,13305617,96665749.94
2019-06-12,'000531,穗恒运Ａ,7.03,7.08,6.96,7.05,7.09,-0.06,-0.8463,6797569,47688178.75
2019-06-11,'000531,穗恒运Ａ,7.09,7.14,6.72,6.8,6.76,0.33,4.8817,10117215,70393656.28
2019-06-10,'000531,穗恒运Ａ,6.76,6.82,6.6,6.6,6.47,0.29,4.4822,7327724,49409544.86
2019-06-06,'000531,穗恒运Ａ,6.47,6.79,6.4,6.75,6.73,-0.26,-3.8633,6123503,40048950.58
2019-06-05,'000531,穗恒运Ａ,6.73,6.87,6.7,6.8,6.71,0.02,0.2981,4867100,32977382.0
2019-06-04,'000531,穗恒运Ａ,6.71,6.98,6.62,6.86,6.88,-0.17,-2.4709,6892372,46928023.3
2019-06-03,'000531,穗恒运Ａ,6.88,7.05,6.83,7.05,7.01,-0.13,-1.8545,6169769,42621597.64
2019-05-31,'000531,穗恒运Ａ,7.01,7.22,6.96,7.22,7.22,-0.21,-2.9086,9302011,65809174.57
