日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000532,华金资本,10.59,10.68,10.4,10.4,10.24,0.35,3.418,3987683,42117595.46
2019-06-28,'000532,华金资本,10.24,10.47,10.17,10.33,10.47,-0.23,-2.1968,2462400,25272931.0
2019-06-27,'000532,华金资本,10.47,10.53,10.35,10.35,10.35,0.12,1.1594,2690601,28113410.41
2019-06-26,'000532,华金资本,10.35,10.44,10.28,10.41,10.39,-0.04,-0.385,2203561,22819743.83
2019-06-25,'000532,华金资本,10.39,10.61,10.21,10.61,10.59,-0.2,-1.8886,3791212,39277586.0
2019-06-24,'000532,华金资本,10.59,10.8,10.5,10.79,10.77,-0.18,-1.6713,4001474,42420854.26
2019-06-21,'000532,华金资本,10.77,10.84,10.57,10.6,10.65,0.12,1.1268,6412922,68709707.78
2019-06-20,'000532,华金资本,10.65,11.17,10.04,10.19,10.15,0.5,4.9261,8231938,87475421.23
2019-06-19,'000532,华金资本,10.18,10.38,10.17,10.29,10.03,0.15,1.4955,2743210,28149131.5
2019-06-18,'000532,华金资本,10.03,10.19,9.94,10.11,10.09,-0.06,-0.5946,2095310,21022995.69
2019-06-17,'000532,华金资本,10.09,10.27,10.05,10.18,10.15,-0.06,-0.5911,1838281,18625212.96
2019-06-14,'000532,华金资本,10.15,10.55,10.13,10.48,10.48,-0.33,-3.1489,3663110,37605776.6
2019-06-13,'000532,华金资本,10.48,10.58,10.36,10.47,10.44,0.04,0.3831,3084041,32323902.0
2019-06-12,'000532,华金资本,10.44,10.77,10.43,10.53,10.55,-0.11,-1.0427,3679101,38884689.49
2019-06-11,'000532,华金资本,10.55,10.6,10.05,10.14,10.14,0.41,4.0434,4734701,49000725.33
2019-06-10,'000532,华金资本,10.14,10.19,9.95,10.13,10.1,0.04,0.396,3668925,36980126.88
2019-06-06,'000532,华金资本,10.1,10.42,10.08,10.4,10.38,-0.28,-2.6975,2543002,25927032.08
2019-06-05,'000532,华金资本,10.38,10.47,10.28,10.4,10.29,0.09,0.8746,2533716,26344970.4
2019-06-04,'000532,华金资本,10.29,10.74,10.26,10.67,10.65,-0.36,-3.3803,4204700,43511388.42
2019-06-03,'000532,华金资本,10.65,10.85,10.58,10.7,10.68,-0.03,-0.2809,2855731,30535267.75
2019-05-31,'000532,华金资本,10.68,10.88,10.67,10.78,10.79,-0.11,-1.0195,3185200,34317211.0
2019-05-30,'000532,华金资本,10.79,10.81,10.5,10.71,10.77,0.02,0.1857,3668160,39090317.75
