日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000533,顺钠股份,2.94,2.95,2.88,2.91,2.86,0.08,2.7972,13296699,38779777.29
2019-06-28,'000533,顺钠股份,2.86,2.92,2.81,2.92,2.93,-0.07,-2.3891,10133502,28920347.13
2019-06-27,'000533,顺钠股份,2.93,2.96,2.88,2.95,2.93,0.0,0.0,10734771,31254078.57
2019-06-26,'000533,顺钠股份,2.93,2.97,2.86,2.87,2.87,0.06,2.0906,13339082,39098868.01
2019-06-25,'000533,顺钠股份,2.87,3.05,2.84,3.03,2.93,-0.06,-2.0478,17668620,51485986.8
2019-06-24,'000533,顺钠股份,2.93,3.08,2.89,2.93,2.93,0.0,0.0,18741693,55477926.27
2019-06-21,'000533,顺钠股份,2.93,2.94,2.85,2.88,2.81,0.12,4.2705,18906229,54921414.06
2019-06-20,'000533,顺钠股份,2.81,2.83,2.72,2.73,2.75,0.06,2.1818,14747451,40987072.31
2019-06-19,'000533,顺钠股份,2.75,2.8,2.73,2.76,2.73,0.02,0.7326,15730767,43406278.73
2019-06-18,'000533,顺钠股份,2.73,2.77,2.65,2.67,2.69,0.04,1.487,15819031,42806015.12
2019-06-17,'000533,顺钠股份,2.69,2.8,2.66,2.8,2.95,-0.26,-8.8136,31091087,83916076.58
2019-06-14,'000533,顺钠股份,2.95,3.15,2.84,2.84,2.86,0.09,3.1469,38356725,117622289.53
2019-06-13,'000533,顺钠股份,2.86,2.9,2.76,2.83,2.79,0.07,2.509,9330781,26474276.68
2019-06-12,'000533,顺钠股份,2.79,2.87,2.76,2.81,2.79,0.0,0.0,8264553,23167897.81
2019-06-11,'000533,顺钠股份,2.79,2.81,2.67,2.68,2.67,0.12,4.4944,8685223,23917319.01
2019-06-10,'000533,顺钠股份,2.67,2.7,2.63,2.66,2.63,0.04,1.5209,6242768,16706950.56
2019-06-06,'000533,顺钠股份,2.63,2.74,2.62,2.73,2.72,-0.09,-3.3088,7745129,20599497.17
2019-06-05,'000533,顺钠股份,2.72,2.82,2.7,2.8,2.77,-0.05,-1.8051,7705200,21195148.0
