日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000534,万泽股份,8.78,8.8,8.64,8.74,8.64,0.14,1.6204,2679500,23379503.0
2019-06-28,'000534,万泽股份,8.64,8.79,8.55,8.79,8.67,-0.03,-0.346,2175513,18743995.19
2019-06-27,'000534,万泽股份,8.67,8.82,8.6,8.6,8.65,0.02,0.2312,773201,6751432.77
2019-06-26,'000534,万泽股份,8.65,8.72,8.61,8.63,8.73,-0.08,-0.9164,528024,4574396.46
2019-06-25,'000534,万泽股份,8.73,8.77,8.55,8.75,8.79,-0.06,-0.6826,724001,6278245.65
2019-06-24,'000534,万泽股份,8.79,8.81,8.7,8.8,8.8,-0.01,-0.1136,879297,7678459.88
2019-06-21,'000534,万泽股份,8.8,8.83,8.64,8.72,8.68,0.12,1.3825,1012030,8844420.92
2019-06-20,'000534,万泽股份,8.68,8.7,8.51,8.6,8.61,0.07,0.813,1483151,12813957.01
2019-06-19,'000534,万泽股份,8.61,8.76,8.53,8.53,8.52,0.09,1.0563,1700911,14696395.71
2019-06-18,'000534,万泽股份,8.52,8.55,8.35,8.55,8.48,0.04,0.4717,784690,6631167.5
2019-06-17,'000534,万泽股份,8.48,8.57,8.42,8.52,8.49,-0.01,-0.1178,363200,3087114.0
2019-06-14,'000534,万泽股份,8.49,8.58,8.39,8.57,8.54,-0.05,-0.5855,583100,4954402.0
2019-06-13,'000534,万泽股份,8.54,8.59,8.42,8.57,8.54,0.0,0.0,713496,6080229.34
2019-06-12,'000534,万泽股份,8.54,8.75,8.54,8.75,8.76,-0.22,-2.5114,1081676,9308469.04
2019-06-11,'000534,万泽股份,8.76,9.05,8.2,8.35,8.35,0.41,4.9102,3213983,27689183.22
2019-06-10,'000534,万泽股份,8.35,8.4,8.11,8.32,8.43,-0.08,-0.949,1083100,8941632.0
2019-06-06,'000534,万泽股份,8.43,8.43,8.11,8.28,8.41,0.02,0.2378,1560498,12876746.1
2019-06-05,'000534,万泽股份,8.41,8.61,8.25,8.31,8.44,-0.03,-0.3555,1491327,12466536.54
2019-06-04,'000534,万泽股份,8.44,9.02,8.1,9.02,8.81,-0.37,-4.1998,3019387,25151226.66
2019-06-03,'000534,万泽股份,8.81,9.3,8.81,9.2,9.19,-0.38,-4.1349,1462200,13128059.2
2019-05-31,'000534,万泽股份,9.19,9.34,9.15,9.18,9.28,-0.09,-0.9698,663800,6131337.0
2019-05-30,'000534,万泽股份,9.28,9.4,9.11,9.4,9.32,-0.04,-0.4292,999681,9241922.15
2019-05-29,'000534,万泽股份,9.32,9.39,9.3,9.36,9.42,-0.1,-1.0616,734037,6855764.95
2019-05-28,'000534,万泽股份,9.42,9.49,9.36,9.45,9.44,-0.02,-0.2119,715423,6734046.89
2019-05-27,'000534,万泽股份,9.44,9.47,9.27,9.41,9.37,0.07,0.7471,944704,8843467.4
2019-05-24,'000534,万泽股份,9.37,9.42,9.24,9.33,9.32,0.05,0.5365,659021,6148629.55
2019-05-23,'000534,万泽股份,9.32,9.45,9.26,9.36,9.32,0.0,0.0,1057142,9922689.47
2019-05-22,'000534,万泽股份,9.32,9.68,9.28,9.68,9.5,-0.18,-1.8947,1486921,14004758.32
2019-05-21,'000534,万泽股份,9.5,9.66,9.4,9.6,9.62,-0.12,-1.2474,1028431,9818282.74
2019-05-20,'000534,万泽股份,9.62,9.64,9.22,9.56,9.5,0.12,1.2632,1152400,10857003.0
2019-05-17,'000534,万泽股份,9.5,9.94,9.4,9.94,9.9,-0.4,-4.0404,1508200,14592717.0
2019-05-16,'000534,万泽股份,9.9,9.97,9.57,9.71,9.71,0.19,1.9567,2081423,20490751.48
2019-05-15,'000534,万泽股份,9.71,9.89,9.69,9.75,9.7,0.01,0.1031,1510522,14772170.83
2019-05-14,'000534,万泽股份,9.7,9.8,9.54,9.64,9.7,0.0,0.0,863011,8373814.6
2019-05-13,'000534,万泽股份,9.7,9.89,9.63,9.8,9.85,-0.15,-1.5228,1702751,16604413.03
2019-05-10,'000534,万泽股份,9.85,9.99,9.56,9.84,9.79,0.06,0.6129,2351681,23110819.78
2019-05-09,'000534,万泽股份,9.79,10.12,9.45,10.12,10.11,-0.32,-3.1652,2498800,24469618.0
2019-05-08,'000534,万泽股份,10.11,10.3,9.11,9.7,10.12,-0.01,-0.0988,5586808,56430515.68
2019-05-07,'000534,万泽股份,10.12,10.58,9.96,10.37,10.2,-0.08,-0.7843,3810200,38870367.0
2019-05-06,'000534,万泽股份,10.2,10.86,10.08,10.85,11.05,-0.85,-7.6923,3266801,34182738.24
2019-04-30,'000534,万泽股份,11.05,11.37,10.89,11.0,11.0,0.05,0.4545,2111082,23439024.53
2019-04-29,'000534,万泽股份,11.0,11.45,11.0,11.19,11.4,-0.4,-3.5088,2538113,28465117.1
2019-04-26,'000534,万泽股份,11.4,11.75,11.21,11.71,11.8,-0.4,-3.3898,3698790,42594613.63
2019-04-25,'000534,万泽股份,11.8,12.19,11.6,11.82,11.87,-0.07,-0.5897,6415610,76479280.49
2019-04-24,'000534,万泽股份,11.87,11.92,11.5,11.65,11.73,0.14,1.1935,4614216,54079585.4
2019-04-23,'000534,万泽股份,11.73,12.0,11.38,11.4,11.53,0.2,1.7346,8460329,99389609.35
2019-04-22,'000534,万泽股份,11.53,11.66,10.95,11.1,11.1,0.43,3.8739,5912928,66902464.91
2019-04-19,'000534,万泽股份,11.1,11.13,10.83,11.02,10.98,0.12,1.0929,4507298,49745306.74
2019-04-18,'000534,万泽股份,10.98,11.18,10.81,10.9,10.9,0.08,0.7339,4555757,50202718.0
2019-04-17,'000534,万泽股份,10.9,10.98,10.61,10.64,10.65,0.25,2.3474,3471487,37427224.86
2019-04-16,'000534,万泽股份,10.65,10.75,10.4,10.6,10.6,0.05,0.4717,2214343,23431904.0
2019-04-15,'000534,万泽股份,10.6,10.94,10.59,10.75,10.7,-0.1,-0.9346,2578913,27759384.04
2019-04-12,'000534,万泽股份,10.7,10.85,10.61,10.73,10.72,-0.02,-0.1866,2976813,31924981.21
2019-04-11,'000534,万泽股份,10.72,11.03,10.69,10.88,10.89,-0.17,-1.5611,4191100,45267250.95
2019-04-10,'000534,万泽股份,10.89,11.08,10.76,10.95,11.02,-0.13,-1.1797,6692624,73108548.79
2019-04-09,'000534,万泽股份,11.02,11.15,10.68,10.74,10.64,0.38,3.5714,9886795,108364809.89
2019-04-08,'000534,万泽股份,10.64,10.85,10.54,10.67,10.67,-0.03,-0.2812,3934334,42161442.9
2019-04-04,'000534,万泽股份,10.67,10.87,10.62,10.79,10.83,-0.16,-1.4774,3032011,32487646.25
2019-04-03,'000534,万泽股份,10.83,10.9,10.69,10.79,10.79,0.04,0.3707,4364344,47192842.98
2019-04-02,'000534,万泽股份,10.79,11.0,10.53,10.68,10.6,0.19,1.7925,5810161,62666097.39
2019-04-01,'000534,万泽股份,10.6,10.77,10.37,10.38,10.34,0.26,2.5145,4371099,46281980.56
2019-03-29,'000534,万泽股份,10.34,10.36,10.1,10.25,10.22,0.12,1.1742,3067688,31419942.03
2019-03-28,'000534,万泽股份,10.22,10.49,10.16,10.32,10.33,-0.11,-1.0649,2909963,30025683.65
2019-03-27,'000534,万泽股份,10.33,10.6,10.21,10.41,10.44,-0.11,-1.0536,2827056,29293169.99
2019-03-26,'000534,万泽股份,10.44,11.0,10.37,10.8,10.8,-0.36,-3.3333,5775184,61405937.92
2019-03-25,'000534,万泽股份,10.8,11.24,10.3,10.4,10.53,0.27,2.5641,11973632,129982689.4
2019-03-22,'000534,万泽股份,10.53,10.59,10.09,10.26,10.17,0.36,3.5398,8876110,92051470.65
2019-03-21,'000534,万泽股份,10.17,10.34,10.13,10.34,10.17,0.0,0.0,5302876,54197750.16
2019-03-20,'000534,万泽股份,10.17,10.22,9.92,10.22,10.08,0.09,0.8929,4426340,44652599.12
2019-03-19,'000534,万泽股份,10.08,10.23,10.0,10.13,10.08,0.0,0.0,4108447,41505929.52
2019-03-18,'000534,万泽股份,10.08,10.14,9.83,9.87,9.8,0.28,2.8571,4774047,47792104.81
2019-03-15,'000534,万泽股份,9.8,9.8,9.5,9.5,9.55,0.25,2.6178,3695463,35748711.18
2019-03-14,'000534,万泽股份,9.55,9.91,9.31,9.88,9.93,-0.38,-3.8268,4450671,42750576.35
2019-03-13,'000534,万泽股份,9.93,10.16,9.83,10.16,10.1,-0.17,-1.6832,5418527,54382793.54
2019-03-12,'000534,万泽股份,10.1,10.12,9.9,9.92,9.92,0.18,1.8145,6050170,60636364.59
2019-03-11,'000534,万泽股份,9.92,9.93,9.61,9.81,9.85,0.07,0.7107,4292501,41998643.76
2019-03-08,'000534,万泽股份,9.85,10.35,9.62,10.35,10.43,-0.58,-5.5609,6634700,66658254.13
2019-03-07,'000534,万泽股份,10.43,10.57,10.25,10.45,10.5,-0.07,-0.6667,6210368,64745445.44
2019-03-06,'000534,万泽股份,10.5,10.5,10.11,10.19,10.19,0.31,3.0422,7583961,77748183.85
2019-03-05,'000534,万泽股份,10.19,10.2,10.06,10.2,10.2,-0.01,-0.098,3603858,36477637.88
2019-03-04,'000534,万泽股份,10.2,10.35,10.08,10.18,10.17,0.03,0.295,4358544,44425278.77
2019-03-01,'000534,万泽股份,10.17,10.21,10.03,10.19,10.2,-0.03,-0.2941,1348301,13655382.02
2019-02-28,'000534,万泽股份,10.2,10.24,10.09,10.16,10.2,0.0,0.0,1137943,11557317.03
2019-02-27,'000534,万泽股份,10.2,10.35,10.07,10.23,10.2,0.0,0.0,2039834,20755563.27
2019-02-26,'000534,万泽股份,10.2,10.58,10.2,10.58,10.63,-0.43,-4.0452,3684362,38192328.99
