日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2005-05-17,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-05-16,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-05-13,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-05-12,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-05-11,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-05-10,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-05-09,'000535,*ST 猴王,0.0,0.0,0.0,0.0,0.5,None,None,0,0.0
2005-04-29,'000535,*ST 猴王,0.5,0.51,0.47,0.47,0.49,0.01,2.0408,12894653,6294137.84
2005-04-28,'000535,*ST 猴王,0.49,0.49,0.49,0.49,0.52,-0.03,-5.7692,4013300,1966517.0
2005-04-27,'000535,*ST 猴王,0.52,0.52,0.52,0.52,0.55,-0.03,-5.4545,1094400,569088.0
2005-04-26,'000535,*ST 猴王,0.55,0.55,0.55,0.55,0.58,-0.03,-5.1724,1353900,744645.0
2005-04-25,'000535,*ST 猴王,0.58,0.59,0.58,0.58,0.61,-0.03,-4.918,2823000,1637754.0
2005-04-22,'000535,*ST 猴王,0.61,0.64,0.61,0.63,0.64,-0.03,-4.6875,6148900,3773364.0
2005-04-21,'000535,*ST 猴王,0.64,0.67,0.62,0.62,0.65,-0.01,-1.5385,6454513,4104155.5
2005-04-20,'000535,*ST 猴王,0.65,0.68,0.65,0.68,0.68,-0.03,-4.4118,4884165,3235443.37
2005-04-19,'000535,*ST 猴王,0.68,0.72,0.68,0.72,0.72,-0.04,-5.5556,6529133,4490558.12
2005-04-18,'000535,*ST 猴王,0.72,0.78,0.72,0.74,0.76,-0.04,-5.2632,4366702,3204671.44
