日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000536,华映科技,2.77,2.77,2.55,2.57,2.52,0.25,9.9206,43649201,117321028.92
2019-06-28,'000536,华映科技,2.52,2.57,2.5,2.57,2.58,-0.06,-2.3256,19673939,49628485.71
2019-06-27,'000536,华映科技,2.58,2.62,2.56,2.58,2.58,0.0,0.0,22563029,58383936.87
2019-06-26,'000536,华映科技,2.58,2.62,2.51,2.55,2.56,0.02,0.7813,25508467,65772411.1
2019-06-25,'000536,华映科技,2.56,2.65,2.52,2.65,2.63,-0.07,-2.6616,34777957,89189225.89
2019-06-24,'000536,华映科技,2.63,2.73,2.61,2.7,2.66,-0.03,-1.1278,30373352,80486083.78
2019-06-21,'000536,华映科技,2.66,2.72,2.63,2.65,2.59,0.07,2.7027,46172904,123351050.55
2019-06-20,'000536,华映科技,2.59,2.63,2.5,2.55,2.53,0.06,2.3715,37916926,97480363.48
2019-06-19,'000536,华映科技,2.53,2.6,2.51,2.58,2.5,0.03,1.2,29402898,75303754.25
2019-06-18,'000536,华映科技,2.5,2.57,2.49,2.54,2.54,-0.04,-1.5748,22393391,56448096.49
2019-06-17,'000536,华映科技,2.54,2.63,2.49,2.57,2.55,-0.01,-0.3922,34798983,88437458.55
2019-06-14,'000536,华映科技,2.55,2.72,2.53,2.7,2.64,-0.09,-3.4091,32953688,85732607.17
2019-06-13,'000536,华映科技,2.64,2.69,2.57,2.61,2.59,0.05,1.9305,37979051,100229773.62
2019-06-12,'000536,华映科技,2.59,2.7,2.59,2.63,2.59,0.0,0.0,45227946,119189285.14
2019-06-11,'000536,华映科技,2.59,2.62,2.45,2.52,2.46,0.13,5.2846,48029911,122372371.97
2019-06-10,'000536,华映科技,2.46,2.48,2.34,2.37,2.36,0.1,4.2373,44943289,109079554.83
2019-06-06,'000536,华映科技,2.36,2.5,2.33,2.5,2.51,-0.15,-5.9761,42747439,102153143.82
2019-06-05,'000536,华映科技,2.51,2.55,2.48,2.53,2.5,0.01,0.4,28010991,70618766.84
2019-06-04,'000536,华映科技,2.5,2.62,2.48,2.62,2.61,-0.11,-4.2146,33146030,84410676.84
2019-06-03,'000536,华映科技,2.61,2.69,2.56,2.69,2.7,-0.09,-3.3333,36509205,95876543.8
2019-05-31,'000536,华映科技,2.7,2.76,2.69,2.69,2.71,-0.01,-0.369,27604526,75200809.33
