ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000538,ÔÆÄÏ°×Ò©,84.4,85.5,84.16,84.16,83.42,0.98,1.1748,4341558,367490894.03
2019-06-28,'000538,ÔÆÄÏ°×Ò©,83.42,83.8,82.52,83.8,83.77,-0.35,-0.4178,3445982,285932464.44
2019-06-27,'000538,ÔÆÄÏ°×Ò©,83.77,84.08,80.66,80.66,81.04,2.73,3.3687,5267620,434552834.3
2019-06-26,'000538,ÔÆÄÏ°×Ò©,81.04,81.37,79.9,80.59,80.71,0.33,0.4089,3343372,269142724.86
2019-06-25,'000538,ÔÆÄÏ°×Ò©,80.71,80.76,79.1,79.61,79.59,1.12,1.4072,5486936,438784937.17
2019-06-24,'000538,ÔÆÄÏ°×Ò©,79.59,79.77,78.28,78.95,78.95,0.64,0.8106,3801343,301147551.95
2019-06-21,'000538,ÔÆÄÏ°×Ò©,78.95,79.4,78.6,78.89,78.86,0.09,0.1141,4669479,368537960.94
2019-06-20,'000538,ÔÆÄÏ°×Ò©,78.86,79.9,77.66,77.95,77.95,0.91,1.1674,6501625,513027240.13
2019-06-19,'000538,ÔÆÄÏ°×Ò©,77.95,78.59,77.59,78.15,77.17,0.78,1.0108,3393371,264524728.97
2019-06-18,'000538,ÔÆÄÏ°×Ò©,77.17,77.87,76.52,77.8,77.16,0.01,0.013,2811107,216288445.93
2019-06-17,'000538,ÔÆÄÏ°×Ò©,77.16,78.48,77.02,77.67,77.57,-0.41,-0.5286,2729725,211980920.54
2019-06-14,'000538,ÔÆÄÏ°×Ò©,77.57,78.28,77.31,77.82,77.83,-0.26,-0.3341,2154218,167554634.76
2019-06-13,'000538,ÔÆÄÏ°×Ò©,77.83,78.0,76.51,77.42,77.43,0.4,0.5166,2173138,168240055.42
2019-06-12,'000538,ÔÆÄÏ°×Ò©,77.43,77.85,76.7,77.13,77.75,-0.32,-0.4116,2528485,195149206.91
2019-06-11,'000538,ÔÆÄÏ°×Ò©,77.75,77.86,75.14,75.37,75.38,2.37,3.1441,4132141,317443946.49
2019-06-10,'000538,ÔÆÄÏ°×Ò©,75.38,75.69,73.34,74.34,74.34,1.04,1.399,3181758,238449319.29
2019-06-06,'000538,ÔÆÄÏ°×Ò©,74.34,74.97,74.05,74.5,74.51,-0.17,-0.2282,4189809,311859169.53
2019-06-05,'000538,ÔÆÄÏ°×Ò©,74.51,76.86,74.35,76.0,76.06,-1.55,-2.0379,4354478,326375180.84
2019-06-04,'000538,ÔÆÄÏ°×Ò©,78.06,79.66,77.6,78.96,78.72,-0.66,-0.8384,3260888,254567511.63
2019-06-03,'000538,ÔÆÄÏ°×Ò©,78.72,79.17,77.78,77.78,77.69,1.03,1.3258,3605647,283565322.2
2019-05-31,'000538,ÔÆÄÏ°×Ò©,77.69,80.0,77.69,78.48,78.5,-0.81,-1.0318,3899328,307393645.69
2019-05-30,'000538,ÔÆÄÏ°×Ò©,78.5,78.88,77.48,78.88,78.93,-0.43,-0.5448,3457648,270722592.02
2019-05-29,'000538,ÔÆÄÏ°×Ò©,78.93,81.0,72.11,80.0,80.0,-1.07,-1.3375,7214947,563551572.19
2019-05-28,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
2019-05-27,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
2019-05-24,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
2019-05-23,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
2019-05-22,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
2019-05-21,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
2019-05-20,'000538,ÔÆÄÏ°×Ò©,0.0,0.0,0.0,0.0,80.0,None,None,0,0.0
