日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000539,粤电力Ａ,4.28,4.3,4.21,4.29,4.24,0.04,0.9434,9759070,41594299.85
2019-06-28,'000539,粤电力Ａ,4.3,4.33,4.25,4.26,4.24,0.06,1.4151,7708432,33115612.53
2019-06-27,'000539,粤电力Ａ,4.24,4.28,4.23,4.23,4.24,0.0,0.0,3619420,15399385.0
2019-06-26,'000539,粤电力Ａ,4.24,4.26,4.21,4.26,4.25,-0.01,-0.2353,2818460,11942732.98
2019-06-25,'000539,粤电力Ａ,4.25,4.3,4.2,4.29,4.29,-0.04,-0.9324,5086847,21611150.94
2019-06-24,'000539,粤电力Ａ,4.29,4.32,4.28,4.31,4.31,-0.02,-0.464,3373109,14489602.52
2019-06-21,'000539,粤电力Ａ,4.31,4.35,4.29,4.32,4.31,0.0,0.0,6909097,29804350.38
2019-06-20,'000539,粤电力Ａ,4.31,4.33,4.24,4.27,4.27,0.04,0.9368,5422883,23312867.0
2019-06-19,'000539,粤电力Ａ,4.27,4.3,4.24,4.25,4.22,0.05,1.1848,5237740,22320435.4
2019-06-18,'000539,粤电力Ａ,4.22,4.24,4.21,4.22,4.22,0.0,0.0,1456700,6155348.0
2019-06-17,'000539,粤电力Ａ,4.22,4.27,4.21,4.22,4.24,-0.02,-0.4717,2418463,10231343.89
2019-06-14,'000539,粤电力Ａ,4.24,4.31,4.23,4.3,4.27,-0.03,-0.7026,2815874,12012067.46
2019-06-13,'000539,粤电力Ａ,4.27,4.3,4.23,4.28,4.25,0.02,0.4706,3745010,16015172.16
2019-06-12,'000539,粤电力Ａ,4.25,4.35,4.24,4.25,4.28,-0.03,-0.7009,4096964,17505307.8
2019-06-11,'000539,粤电力Ａ,4.28,4.28,4.16,4.16,4.18,0.1,2.3923,4872753,20675512.91
2019-06-10,'000539,粤电力Ａ,4.18,4.2,4.13,4.15,4.15,0.03,0.7229,2369341,9883081.94
2019-06-06,'000539,粤电力Ａ,4.15,4.23,4.14,4.21,4.2,-0.05,-1.1905,2637321,11019318.95
2019-06-05,'000539,粤电力Ａ,4.2,4.24,4.18,4.22,4.18,0.02,0.4785,2409558,10141363.44
2019-06-04,'000539,粤电力Ａ,4.18,4.27,4.16,4.26,4.27,-0.09,-2.1077,3765256,15829154.42
2019-06-03,'000539,粤电力Ａ,4.27,4.29,4.22,4.24,4.24,0.03,0.7075,3743543,15949135.02
2019-05-31,'000539,粤电力Ａ,4.24,4.3,4.24,4.26,4.26,-0.02,-0.4695,3078428,13134215.34
2019-05-30,'000539,粤电力Ａ,4.26,4.31,4.23,4.31,4.32,-0.06,-1.3889,3988935,16954526.88
2019-05-29,'000539,粤电力Ａ,4.32,4.36,4.26,4.31,4.38,-0.06,-1.3699,7071527,30436681.62
2019-05-28,'000539,粤电力Ａ,4.38,4.47,4.23,4.24,4.2,0.18,4.2857,15889124,69423666.56
2019-05-27,'000539,粤电力Ａ,4.2,4.2,4.11,4.14,4.13,0.07,1.6949,3008545,12542376.68
2019-05-24,'000539,粤电力Ａ,4.13,4.14,4.1,4.14,4.14,-0.01,-0.2415,2170000,8929139.0
