日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000540,中天金融,3.94,3.95,3.89,3.91,3.83,0.11,2.8721,37742355,148179839.05
2019-06-28,'000540,中天金融,3.83,3.9,3.81,3.9,3.9,-0.07,-1.7949,23943867,91872093.39
2019-06-27,'000540,中天金融,3.9,3.98,3.88,3.88,3.87,0.03,0.7752,23767395,93282336.81
2019-06-26,'000540,中天金融,3.87,3.91,3.85,3.88,3.91,-0.04,-1.023,13822555,53619128.35
2019-06-25,'000540,中天金融,3.91,3.97,3.86,3.96,3.95,-0.04,-1.0127,23014052,89747854.36
2019-06-24,'000540,中天金融,3.95,4.03,3.93,4.0,4.0,-0.05,-1.25,28268471,112230649.86
2019-06-21,'000540,中天金融,4.0,4.03,3.93,3.94,3.97,0.03,0.7557,61446948,244848868.6
2019-06-20,'000540,中天金融,3.97,4.1,3.74,3.76,3.76,0.21,5.5851,69996681,274400958.37
2019-06-19,'000540,中天金融,3.76,3.9,3.71,3.85,3.76,0.0,0.0,31153541,119095234.79
2019-06-18,'000540,中天金融,3.76,3.77,3.71,3.76,3.76,0.0,0.0,13696143,51253976.0
2019-06-17,'000540,中天金融,3.76,3.8,3.74,3.77,3.75,0.01,0.2667,12926489,48636538.45
2019-06-14,'000540,中天金融,3.75,3.86,3.73,3.83,3.84,-0.09,-2.3438,19614835,74532995.59
2019-06-13,'000540,中天金融,3.84,3.85,3.77,3.82,3.83,0.01,0.2611,17500840,66872570.91
2019-06-12,'000540,中天金融,3.83,3.91,3.79,3.81,3.81,0.02,0.5249,32949585,126965307.37
2019-06-11,'000540,中天金融,3.81,3.84,3.63,3.65,3.64,0.17,4.6703,40402123,151796635.61
2019-06-10,'000540,中天金融,3.64,3.67,3.6,3.6,3.6,0.04,1.1111,18524877,67295886.03
2019-06-06,'000540,中天金融,3.6,3.72,3.59,3.71,3.72,-0.12,-3.2258,23116702,84187145.3
2019-06-05,'000540,中天金融,3.72,3.79,3.71,3.77,3.72,0.0,0.0,15755656,58943892.56
2019-06-04,'000540,中天金融,3.72,3.86,3.67,3.85,3.83,-0.11,-2.8721,32074579,120386410.31
2019-06-03,'000540,中天金融,3.83,3.93,3.82,3.9,3.91,-0.08,-2.046,26591674,102451508.92
2019-05-31,'000540,中天金融,3.91,3.94,3.87,3.92,3.92,-0.01,-0.2551,22360469,87310577.94
2019-05-30,'000540,中天金融,3.92,3.95,3.88,3.95,3.98,-0.06,-1.5075,27625189,108084971.4
2019-05-29,'000540,中天金融,3.98,4.01,3.91,3.92,3.94,0.04,1.0152,32927149,130780248.33
2019-05-28,'000540,中天金融,3.94,4.0,3.93,3.96,3.95,-0.01,-0.2532,29769805,118283228.66
2019-05-27,'000540,中天金融,3.95,3.97,3.83,3.87,3.87,0.08,2.0672,32021843,125224391.57
2019-05-24,'000540,中天金融,3.87,3.96,3.85,3.87,3.88,-0.01,-0.2577,23276277,90750357.25
2019-05-23,'000540,中天金融,3.88,4.01,3.87,3.99,4.04,-0.16,-3.9604,39168646,153767881.86
2019-05-22,'000540,中天金融,4.04,4.1,3.97,4.08,4.07,-0.03,-0.7371,30743746,123967927.61
2019-05-21,'000540,中天金融,4.07,4.12,3.98,4.01,4.01,0.06,1.4963,34595443,140564085.77
2019-05-20,'000540,中天金融,4.01,4.09,3.78,4.06,4.09,-0.08,-1.956,60469005,237047638.52
2019-05-17,'000540,中天金融,4.09,4.24,4.06,4.24,4.23,-0.14,-3.3097,47819797,197645938.59
2019-05-16,'000540,中天金融,4.23,4.28,4.18,4.21,4.2,0.03,0.7143,33441809,141649445.54
2019-05-15,'000540,中天金融,4.2,4.22,4.15,4.18,4.13,0.07,1.6949,32805218,137286479.79
2019-05-14,'000540,中天金融,4.13,4.2,4.12,4.16,4.21,-0.08,-1.9002,34469535,143263977.3
2019-05-13,'000540,中天金融,4.21,4.26,4.15,4.17,4.22,-0.01,-0.237,28035624,118187631.29
2019-05-10,'000540,中天金融,4.22,4.26,4.05,4.16,4.12,0.1,2.4272,49507240,207824080.71
2019-05-09,'000540,中天金融,4.12,4.2,4.11,4.12,4.17,-0.05,-1.199,30462946,126281112.5
2019-05-08,'000540,中天金融,4.17,4.27,4.09,4.13,4.2,-0.03,-0.7143,35283186,147929521.66
2019-05-07,'000540,中天金融,4.2,4.29,4.12,4.15,4.11,0.09,2.1898,51429153,216445691.5
2019-05-06,'000540,中天金融,4.11,4.45,4.1,4.39,4.55,-0.44,-9.6703,80683552,343394042.88
2019-04-30,'000540,中天金融,4.55,4.58,4.45,4.46,4.46,0.09,2.0179,33781517,153304277.25
2019-04-29,'000540,中天金融,4.46,4.66,4.43,4.6,4.62,-0.16,-3.4632,61496030,278940339.56
2019-04-26,'000540,中天金融,4.62,4.79,4.61,4.75,4.78,-0.16,-3.3473,71053968,331928762.28
2019-04-25,'000540,中天金融,4.78,5.1,4.75,5.07,5.12,-0.34,-6.6406,106653266,526462862.38
2019-04-24,'000540,中天金融,5.12,5.14,5.03,5.1,5.09,0.03,0.5894,58151404,295713145.86
2019-04-23,'000540,中天金融,5.09,5.13,4.99,5.02,5.02,0.07,1.3944,67831729,343783334.78
2019-04-22,'000540,中天金融,5.02,5.17,5.0,5.13,5.13,-0.11,-2.1442,69279103,351490712.9
2019-04-19,'000540,中天金融,5.13,5.18,4.96,4.96,4.99,0.14,2.8056,106408902,543275499.53
