日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2004-01-12,'000542,TCL 通讯,0.0,0.0,0.0,0.0,27.34,None,None,0,0.0
2004-01-09,'000542,TCL 通讯,0.0,0.0,0.0,0.0,27.34,None,None,0,0.0
2004-01-08,'000542,TCL 通讯,0.0,0.0,0.0,0.0,27.34,None,None,0,0.0
2004-01-07,'000542,TCL 通讯,0.0,0.0,0.0,0.0,27.34,None,None,0,0.0
2004-01-06,'000542,TCL 通讯,27.34,27.34,27.19,27.34,24.85,2.49,10.0201,12413891,339379941.99
2004-01-05,'000542,TCL 通讯,0.0,0.0,0.0,0.0,24.85,None,None,0,0.0
2004-01-02,'000542,TCL 通讯,0.0,0.0,0.0,0.0,24.85,None,None,0,0.0
2003-12-31,'000542,TCL 通讯,0.0,0.0,0.0,0.0,24.85,None,None,0,0.0
2003-12-30,'000542,TCL 通讯,0.0,0.0,0.0,0.0,24.85,None,None,0,0.0
2003-12-29,'000542,TCL 通讯,0.0,0.0,0.0,0.0,24.85,None,None,0,0.0
2003-12-26,'000542,TCL 通讯,0.0,0.0,0.0,0.0,24.85,None,None,0,0.0
2003-12-25,'000542,TCL 通讯,24.85,25.16,24.2,24.6,24.46,0.39,1.5944,775339,19043321.98
2003-12-24,'000542,TCL 通讯,24.46,24.7,24.16,24.26,24.26,0.2,0.8244,407615,9901813.5
2003-12-23,'000542,TCL 通讯,24.26,24.83,24.2,24.5,24.47,-0.21,-0.8582,369765,8987559.11
2003-12-22,'000542,TCL 通讯,24.47,24.9,24.43,24.8,24.63,-0.16,-0.6496,322600,7929824.0
2003-12-19,'000542,TCL 通讯,24.63,24.85,23.88,24.0,23.99,0.64,2.6678,905296,22166816.06
2003-12-18,'000542,TCL 通讯,23.99,24.0,23.55,23.72,23.6,0.39,1.6525,320591,7649462.0
2003-12-17,'000542,TCL 通讯,23.6,23.75,23.13,23.25,23.29,0.31,1.331,396685,9325465.17
2003-12-16,'000542,TCL 通讯,23.29,23.46,23.12,23.12,23.37,-0.08,-0.3423,383953,8961177.33
2003-12-15,'000542,TCL 通讯,23.37,23.99,23.3,23.9,23.82,-0.45,-1.8892,491002,11548621.3
2003-12-12,'000542,TCL 通讯,23.82,24.0,23.75,24.0,23.98,-0.16,-0.6672,372247,8898396.37
2003-12-11,'000542,TCL 通讯,23.98,24.05,23.85,23.85,23.85,0.13,0.5451,779123,18655103.76
2003-12-10,'000542,TCL 通讯,23.85,24.03,23.65,23.69,23.7,0.15,0.6329,698880,16717759.13
2003-12-09,'000542,TCL 通讯,23.7,23.78,22.81,22.81,22.8,0.9,3.9474,662372,15500241.58
2003-12-08,'000542,TCL 通讯,22.8,22.99,22.7,22.89,22.9,-0.1,-0.4367,570117,13007728.37
2003-12-05,'000542,TCL 通讯,22.9,23.42,22.7,23.41,23.47,-0.57,-2.4286,1051083,24126901.26
2003-12-04,'000542,TCL 通讯,23.47,23.58,23.45,23.51,23.58,-0.11,-0.4665,343800,8071474.0
2003-12-03,'000542,TCL 通讯,23.58,23.92,23.52,23.6,23.63,-0.05,-0.2116,390120,9225629.38
2003-12-02,'000542,TCL 通讯,23.63,23.85,23.55,23.8,23.92,-0.29,-1.2124,591869,14009124.38
2003-12-01,'000542,TCL 通讯,23.92,24.11,23.63,24.0,23.9,0.02,0.0837,1227405,29451646.6
2003-11-28,'000542,TCL 通讯,23.9,24.2,23.3,23.3,23.29,0.61,2.6191,1811546,43197260.68
2003-11-27,'000542,TCL 通讯,23.29,23.7,23.11,23.7,23.75,-0.46,-1.9368,760173,17763052.8
2003-11-26,'000542,TCL 通讯,23.75,23.9,22.1,22.3,22.4,1.35,6.0268,1252646,28554416.91
2003-11-25,'000542,TCL 通讯,22.4,22.45,22.14,22.14,22.15,0.25,1.1287,1151979,25659900.15
2003-11-24,'000542,TCL 通讯,22.15,22.15,21.37,21.51,21.74,0.41,1.8859,1676302,36991248.25
2003-11-21,'000542,TCL 通讯,21.74,21.79,21.29,21.35,21.35,0.39,1.8267,627689,13475904.02
