日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000543,皖能电力,4.8,4.81,4.74,4.77,4.71,0.09,1.9108,11855738,56696712.95
2019-06-28,'000543,皖能电力,4.71,4.78,4.67,4.71,4.71,0.0,0.0,10687010,50381672.21
2019-06-27,'000543,皖能电力,4.71,4.77,4.68,4.7,4.71,0.0,0.0,10668029,50328544.03
2019-06-26,'000543,皖能电力,4.71,4.75,4.69,4.75,4.75,-0.04,-0.8421,11184514,52676005.34
2019-06-25,'000543,皖能电力,4.75,4.85,4.68,4.85,4.84,-0.09,-1.8595,16525884,78285723.24
2019-06-24,'000543,皖能电力,4.84,4.89,4.81,4.88,4.88,-0.04,-0.8197,12971337,62730171.94
2019-06-21,'000543,皖能电力,4.88,4.91,4.74,4.75,4.74,0.14,2.9536,18780092,91455390.6
2019-06-20,'000543,皖能电力,4.74,4.81,4.63,4.71,4.71,0.03,0.6369,15135782,71643871.04
2019-06-19,'000543,皖能电力,4.71,4.75,4.64,4.66,4.58,0.13,2.8384,17261395,81258855.03
2019-06-18,'000543,皖能电力,4.58,4.7,4.57,4.6,4.63,-0.05,-1.0799,11699766,54076710.52
2019-06-17,'000543,皖能电力,4.63,4.69,4.58,4.65,4.64,-0.01,-0.2155,9901781,45746063.95
2019-06-14,'000543,皖能电力,4.64,4.74,4.63,4.72,4.72,-0.08,-1.6949,8198299,38372519.75
2019-06-13,'000543,皖能电力,4.72,4.73,4.66,4.7,4.69,0.03,0.6397,6095992,28636918.76
2019-06-12,'000543,皖能电力,4.69,4.75,4.66,4.74,4.71,-0.02,-0.4246,10915319,51381891.88
2019-06-11,'000543,皖能电力,4.71,4.74,4.55,4.57,4.54,0.17,3.7445,13638226,63820638.34
2019-06-10,'000543,皖能电力,4.54,4.59,4.51,4.52,4.5,0.04,0.8889,9052884,41204502.96
