日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000544,中原环保,8.33,8.33,8.33,8.33,7.57,0.76,10.0396,3223712,26853520.96
2019-06-28,'000544,中原环保,7.57,7.57,7.57,7.57,6.88,0.69,10.0291,9032723,68377713.11
2019-06-27,'000544,中原环保,6.88,6.88,6.21,6.27,6.25,0.63,10.08,14029381,94272691.28
2019-06-26,'000544,中原环保,6.25,6.35,6.16,6.29,6.37,-0.12,-1.8838,9248610,57809062.1
2019-06-25,'000544,中原环保,6.37,6.39,6.23,6.35,6.43,-0.06,-0.9331,11506187,72609167.7
2019-06-24,'000544,中原环保,6.43,6.59,6.29,6.56,6.55,-0.12,-1.8321,17314340,111205585.38
2019-06-21,'000544,中原环保,6.55,6.92,6.41,6.41,6.29,0.26,4.1335,30809033,203617832.48
2019-06-20,'000544,中原环保,6.29,6.29,5.76,5.77,5.72,0.57,9.965,19524752,119186667.11
2019-06-19,'000544,中原环保,5.72,5.81,5.67,5.73,5.63,0.09,1.5986,4392278,25122648.16
2019-06-18,'000544,中原环保,5.63,5.73,5.62,5.73,5.73,-0.1,-1.7452,3427698,19406104.88
2019-06-17,'000544,中原环保,5.98,6.0,5.92,5.98,5.98,0.0,0.0,3327911,19824508.17
2019-06-14,'000544,中原环保,5.98,6.09,5.97,6.02,6.04,-0.06,-0.9934,3245507,19515910.68
2019-06-13,'000544,中原环保,6.04,6.06,5.94,6.0,5.98,0.06,1.0033,2639325,15855654.0
2019-06-12,'000544,中原环保,5.98,6.02,5.95,5.99,5.96,0.02,0.3356,3444790,20622948.75
2019-06-11,'000544,中原环保,5.96,5.98,5.79,5.8,5.83,0.13,2.2298,4749871,28043545.03
2019-06-10,'000544,中原环保,5.83,5.91,5.8,5.82,5.82,0.01,0.1718,2954701,17239310.28
2019-06-06,'000544,中原环保,5.82,5.98,5.82,5.98,5.93,-0.11,-1.855,3006542,17615809.84
2019-06-05,'000544,中原环保,5.93,6.11,5.93,6.07,6.03,-0.1,-1.6584,4138694,24898990.52
2019-06-04,'000544,中原环保,6.03,6.18,6.01,6.17,6.21,-0.18,-2.8986,3555353,21588992.12
2019-06-03,'000544,中原环保,6.21,6.25,6.08,6.22,6.23,-0.02,-0.321,5240714,32376732.5
2019-05-31,'000544,中原环保,6.23,6.23,5.99,5.99,6.02,0.21,3.4884,6981052,42971387.25
2019-05-30,'000544,中原环保,6.02,6.05,5.95,6.05,6.06,-0.04,-0.6601,2491700,14953076.08
2019-05-29,'000544,中原环保,6.06,6.11,6.04,6.07,6.07,-0.01,-0.1647,2277277,13831971.62
2019-05-28,'000544,中原环保,6.07,6.19,6.06,6.12,6.1,-0.03,-0.4918,3957665,24251796.3
2019-05-27,'000544,中原环保,6.1,6.12,5.96,6.01,6.0,0.1,1.6667,4202449,25430771.37
2019-05-24,'000544,中原环保,6.0,6.01,5.92,5.98,5.98,0.02,0.3344,2651618,15828234.8
2019-05-23,'000544,中原环保,5.98,6.04,5.86,5.96,5.94,0.04,0.6734,3711363,22163655.54
2019-05-22,'000544,中原环保,5.94,6.05,5.91,6.05,6.0,-0.06,-1.0,2103752,12560844.44
2019-05-21,'000544,中原环保,6.0,6.04,5.9,5.9,5.89,0.11,1.8676,3328945,19893171.25
2019-05-20,'000544,中原环保,5.89,5.95,5.76,5.95,5.91,-0.02,-0.3384,2748326,16081899.85
2019-05-17,'000544,中原环保,5.91,6.16,5.86,6.15,6.16,-0.25,-4.0584,5574122,33493422.36
2019-05-16,'000544,中原环保,6.16,6.18,6.07,6.17,6.19,-0.03,-0.4847,4151597,25490804.67
2019-05-15,'000544,中原环保,6.19,6.22,6.12,6.18,6.18,0.01,0.1618,7609310,46929668.85
2019-05-14,'000544,中原环保,6.18,6.21,5.9,5.92,6.03,0.15,2.4876,7355626,44728440.0
2019-05-13,'000544,中原环保,6.03,6.11,5.82,5.88,5.9,0.13,2.2034,6124871,36735858.43
2019-05-10,'000544,中原环保,5.9,5.9,5.66,5.79,5.73,0.17,2.9668,6094655,35569113.09
