日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000545,金浦钛业,4.01,4.02,3.97,4.0,3.95,0.06,1.519,12008340,47991798.45
2019-06-28,'000545,金浦钛业,3.95,4.02,3.93,3.98,3.97,-0.02,-0.5038,10215960,40615147.8
2019-06-27,'000545,金浦钛业,3.97,4.02,3.96,3.98,3.98,-0.01,-0.2513,8864658,35286923.82
2019-06-26,'000545,金浦钛业,3.98,4.01,3.95,3.97,4.01,-0.03,-0.7481,7911841,31452606.12
2019-06-25,'000545,金浦钛业,4.01,4.01,3.93,3.98,3.97,0.04,1.0076,13593934,53991788.3
2019-06-24,'000545,金浦钛业,3.97,4.05,3.95,4.04,4.04,-0.07,-1.7327,15167900,60462097.64
2019-06-21,'000545,金浦钛业,4.04,4.07,4.02,4.02,4.04,0.0,0.0,19576086,79194721.62
2019-06-20,'000545,金浦钛业,4.04,4.07,3.98,4.01,4.05,-0.01,-0.2469,25220722,101424063.86
2019-06-19,'000545,金浦钛业,4.05,4.17,4.02,4.11,4.1,-0.05,-1.2195,36037292,147351698.52
2019-06-18,'000545,金浦钛业,4.1,4.24,4.07,4.13,4.29,-0.19,-4.4289,55193751,227983032.89
2019-06-17,'000545,金浦钛业,4.29,4.38,3.88,3.95,3.98,0.31,7.7889,86040150,363253621.75
2019-06-14,'000545,金浦钛业,3.98,4.08,3.83,3.9,3.89,0.09,2.3136,27742507,109943707.89
2019-06-13,'000545,金浦钛业,3.89,3.9,3.79,3.82,3.82,0.07,1.8325,10538062,40699749.34
2019-06-12,'000545,金浦钛业,3.82,3.94,3.81,3.85,3.86,-0.04,-1.0363,11239800,43428176.0
2019-06-11,'000545,金浦钛业,3.86,3.86,3.7,3.7,3.71,0.15,4.0431,10875482,41501820.96
2019-06-10,'000545,金浦钛业,3.71,3.73,3.66,3.66,3.66,0.05,1.3661,3949700,14631491.0
2019-06-06,'000545,金浦钛业,3.66,3.8,3.61,3.75,3.75,-0.09,-2.4,7877200,29228134.0
2019-06-05,'000545,金浦钛业,3.75,3.8,3.74,3.77,3.73,0.02,0.5362,4166820,15685799.2
2019-06-04,'000545,金浦钛业,3.73,3.86,3.71,3.86,3.87,-0.14,-3.6176,8582400,32441082.0
2019-06-03,'000545,金浦钛业,3.87,3.98,3.85,3.93,3.98,-0.11,-2.7638,13683004,53221867.79
2019-05-31,'000545,金浦钛业,3.98,4.02,3.8,3.83,3.85,0.13,3.3766,24233037,95171266.59
2019-05-30,'000545,金浦钛业,3.85,3.88,3.77,3.82,3.86,-0.01,-0.2591,8407500,32158030.0
2019-05-29,'000545,金浦钛业,3.86,3.89,3.76,3.82,3.84,0.02,0.5208,9405956,36083406.6
2019-05-28,'000545,金浦钛业,3.84,3.96,3.82,3.91,3.84,0.0,0.0,13008800,50561449.98
2019-05-27,'000545,金浦钛业,3.84,3.86,3.69,3.72,3.72,0.12,3.2258,9696700,36853008.0
2019-05-24,'000545,金浦钛业,3.72,3.81,3.68,3.7,3.76,-0.04,-1.0638,6852900,25713517.98
2019-05-23,'000545,金浦钛业,3.76,3.86,3.75,3.82,3.9,-0.14,-3.5897,13593600,51685806.0
2019-05-22,'000545,金浦钛业,3.9,4.04,3.71,3.73,3.73,0.17,4.5576,25507910,99284337.9
2019-05-21,'000545,金浦钛业,3.73,3.79,3.63,3.65,3.67,0.06,1.6349,8438140,31435941.6
2019-05-20,'000545,金浦钛业,3.67,3.71,3.57,3.67,3.71,-0.04,-1.0782,8537239,31058002.18
2019-05-17,'000545,金浦钛业,3.71,3.93,3.68,3.89,3.96,-0.25,-6.3131,22121377,84128798.67
2019-05-16,'000545,金浦钛业,3.96,4.09,3.77,3.82,3.9,0.06,1.5385,41168395,160693465.63
2019-05-15,'000545,金浦钛业,3.9,4.02,3.72,3.78,3.65,0.25,6.8493,40667435,160935359.33
2019-05-14,'000545,金浦钛业,3.65,3.71,3.62,3.65,3.68,-0.03,-0.8152,4414640,16130817.62
2019-05-13,'000545,金浦钛业,3.68,3.72,3.67,3.7,3.75,-0.07,-1.8667,4381300,16182428.0
2019-05-10,'000545,金浦钛业,3.75,3.79,3.53,3.61,3.6,0.15,4.1667,11960390,43951824.72
2019-05-09,'000545,金浦钛业,3.6,3.7,3.6,3.6,3.65,-0.05,-1.3699,4806004,17503627.36
2019-05-08,'000545,金浦钛业,3.65,3.71,3.58,3.6,3.69,-0.04,-1.084,4749650,17384157.5
2019-05-07,'000545,金浦钛业,3.69,3.71,3.58,3.64,3.64,0.05,1.3736,5539657,20253077.2
2019-05-06,'000545,金浦钛业,3.64,3.9,3.56,3.9,3.95,-0.31,-7.8481,12319867,46033474.66
2019-04-30,'000545,金浦钛业,3.95,3.97,3.86,3.88,3.86,0.09,2.3316,9114590,35781812.04
2019-04-29,'000545,金浦钛业,3.86,4.0,3.82,3.85,3.88,-0.02,-0.5155,10352771,40424825.84
2019-04-26,'000545,金浦钛业,3.88,3.93,3.84,3.9,3.91,-0.03,-0.7673,7732200,30064452.77
2019-04-25,'000545,金浦钛业,3.91,4.08,3.91,4.05,4.06,-0.15,-3.6946,13703536,54789519.56
2019-04-24,'000545,金浦钛业,4.06,4.07,3.95,3.99,3.98,0.08,2.0101,8744574,35053542.9
2019-04-23,'000545,金浦钛业,3.98,4.11,3.93,4.11,4.12,-0.14,-3.3981,13807420,55561812.4
2019-04-22,'000545,金浦钛业,4.12,4.2,4.09,4.17,4.17,-0.05,-1.199,15015641,62406014.64
2019-04-19,'000545,金浦钛业,4.17,4.18,4.06,4.12,4.12,0.05,1.2136,15438265,63632567.31
2019-04-18,'000545,金浦钛业,4.12,4.17,4.09,4.14,4.14,-0.02,-0.4831,14489798,59786698.62
2019-04-17,'000545,金浦钛业,4.14,4.15,4.09,4.13,4.14,0.0,0.0,15461724,63779059.86
2019-04-16,'000545,金浦钛业,4.14,4.14,4.0,4.08,4.08,0.06,1.4706,17201750,70176189.34
2019-04-15,'000545,金浦钛业,4.08,4.24,4.07,4.24,4.1,-0.02,-0.4878,15218125,63112210.5
2019-04-12,'000545,金浦钛业,4.1,4.12,4.05,4.11,4.12,-0.02,-0.4854,11555662,47201250.42
2019-04-11,'000545,金浦钛业,4.12,4.18,4.1,4.12,4.15,-0.03,-0.7229,17495462,72227201.44
2019-04-10,'000545,金浦钛业,4.15,4.19,4.1,4.13,4.17,-0.02,-0.4796,20968022,86826485.86
2019-04-09,'000545,金浦钛业,4.17,4.3,4.15,4.3,4.3,-0.13,-3.0233,30846656,129409344.28
2019-04-08,'000545,金浦钛业,4.3,4.5,4.24,4.27,4.21,0.09,2.1378,55000911,239524171.82
2019-04-04,'000545,金浦钛业,4.21,4.33,4.07,4.1,4.11,0.1,2.4331,46409322,196187232.6
2019-04-03,'000545,金浦钛业,4.11,4.15,4.03,4.06,4.05,0.06,1.4815,24691906,101389786.94
2019-04-02,'000545,金浦钛业,4.05,4.07,3.98,4.0,3.99,0.06,1.5038,20034835,80759392.8
2019-04-01,'000545,金浦钛业,3.99,4.0,3.9,3.92,3.88,0.11,2.8351,18347066,72826078.84
2019-03-29,'000545,金浦钛业,3.88,3.89,3.74,3.8,3.79,0.09,2.3747,14418912,55093810.7
2019-03-28,'000545,金浦钛业,3.79,3.91,3.79,3.89,3.92,-0.13,-3.3163,13030000,50143201.0
2019-03-27,'000545,金浦钛业,3.92,3.94,3.82,3.88,3.89,0.03,0.7712,15164327,58790915.97
2019-03-26,'000545,金浦钛业,3.89,4.02,3.88,3.92,3.92,-0.03,-0.7653,15897731,62616713.52
2019-03-25,'000545,金浦钛业,3.92,4.0,3.9,3.97,4.04,-0.12,-2.9703,14575968,57654033.36
2019-03-22,'000545,金浦钛业,4.04,4.05,3.93,4.01,4.0,0.04,1.0,15374255,61541040.75
2019-03-21,'000545,金浦钛业,4.0,4.02,3.94,3.99,3.97,0.03,0.7557,15133065,60506963.67
2019-03-20,'000545,金浦钛业,3.97,4.02,3.9,4.02,4.0,-0.03,-0.75,14533560,57409163.63
2019-03-19,'000545,金浦钛业,4.0,4.05,3.96,4.04,4.02,-0.02,-0.4975,12692473,50742473.06
2019-03-18,'000545,金浦钛业,4.02,4.03,3.92,3.95,3.92,0.1,2.551,13874352,55232606.6
2019-03-15,'000545,金浦钛业,3.92,3.94,3.87,3.89,3.86,0.06,1.5544,12716351,49678492.9
2019-03-14,'000545,金浦钛业,3.86,4.05,3.82,3.98,4.02,-0.16,-3.9801,20503202,80165896.16
2019-03-13,'000545,金浦钛业,4.02,4.17,3.99,4.17,4.17,-0.15,-3.5971,29051283,118419342.3
2019-03-12,'000545,金浦钛业,4.17,4.33,4.1,4.23,4.17,0.0,0.0,36842875,154629072.08
2019-03-11,'000545,金浦钛业,4.17,4.2,3.99,3.99,4.06,0.11,2.7094,29591526,121624311.02
2019-03-08,'000545,金浦钛业,4.06,4.35,4.01,4.1,4.18,-0.12,-2.8708,59602853,249606784.08
2019-03-07,'000545,金浦钛业,4.18,4.23,3.99,4.03,4.03,0.15,3.7221,47803443,197670537.07
2019-03-06,'000545,金浦钛业,4.03,4.09,3.84,3.87,3.87,0.16,4.1344,40609050,161054633.2
2019-03-05,'000545,金浦钛业,3.87,3.88,3.72,3.75,3.78,0.09,2.381,28284150,107608756.26
2019-03-04,'000545,金浦钛业,3.78,3.83,3.7,3.72,3.71,0.07,1.8868,27439019,103001126.13
2019-03-01,'000545,金浦钛业,3.71,3.77,3.65,3.73,3.71,0.0,0.0,12809602,47315639.34
