日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000546,金圆股份,9.66,9.81,9.63,9.7,9.64,0.02,0.2075,2221301,21576615.78
2019-06-28,'000546,金圆股份,9.64,9.74,9.54,9.7,9.69,-0.05,-0.516,2109643,20271420.94
2019-06-27,'000546,金圆股份,9.69,9.75,9.35,9.39,9.4,0.29,3.0851,5706618,54223762.76
2019-06-26,'000546,金圆股份,9.4,9.44,9.11,9.11,9.3,0.1,1.0753,3636500,33657669.0
2019-06-25,'000546,金圆股份,9.3,9.56,9.03,9.5,9.51,-0.21,-2.2082,3917300,36202269.0
2019-06-24,'000546,金圆股份,9.51,9.64,9.43,9.58,9.57,-0.06,-0.627,1896500,18086909.0
2019-06-21,'000546,金圆股份,9.57,9.64,9.5,9.5,9.53,0.04,0.4197,3031100,29006915.0
2019-06-20,'000546,金圆股份,9.53,9.69,9.39,9.41,9.43,0.1,1.0604,3253065,31033974.58
2019-06-19,'000546,金圆股份,9.43,9.47,9.3,9.34,9.21,0.22,2.3887,1992863,18750631.83
2019-06-18,'000546,金圆股份,9.21,9.3,9.18,9.22,9.19,0.02,0.2176,2032020,18724285.78
2019-06-17,'000546,金圆股份,9.19,9.25,8.96,8.96,9.1,0.09,0.989,1901363,17340353.29
2019-06-14,'000546,金圆股份,9.1,9.45,9.08,9.45,9.36,-0.26,-2.7778,1443497,13266233.64
2019-06-13,'000546,金圆股份,9.36,9.42,9.25,9.34,9.35,0.01,0.107,2247376,20999111.28
2019-06-12,'000546,金圆股份,9.35,9.48,9.29,9.43,9.44,-0.09,-0.9534,1070561,10021689.29
2019-06-11,'000546,金圆股份,9.44,9.49,9.12,9.12,9.18,0.26,2.8322,1371207,12770168.86
2019-06-10,'000546,金圆股份,9.18,9.18,9.01,9.09,9.09,0.09,0.9901,909283,8261958.07
2019-06-06,'000546,金圆股份,9.09,9.4,9.08,9.38,9.38,-0.29,-3.0917,993609,9167345.26
2019-06-05,'000546,金圆股份,9.38,9.51,9.38,9.43,9.44,-0.06,-0.6356,931795,8800611.0
2019-06-04,'000546,金圆股份,9.44,9.56,9.37,9.49,9.49,-0.05,-0.5269,1561000,14703722.0
2019-06-03,'000546,金圆股份,9.49,9.79,9.45,9.7,9.7,-0.21,-2.1649,1140133,10900152.5
2019-05-31,'000546,金圆股份,9.7,9.83,9.65,9.7,9.74,-0.04,-0.4107,2428900,23665746.98
2019-05-30,'000546,金圆股份,9.74,9.8,9.6,9.75,9.84,-0.1,-1.0163,4059801,39363660.65
2019-05-29,'000546,金圆股份,9.84,10.0,9.81,9.89,9.9,-0.06,-0.6061,3079101,30434193.91
2019-05-28,'000546,金圆股份,9.9,10.03,9.88,10.0,9.96,-0.06,-0.6024,3145320,31265174.59
2019-05-27,'000546,金圆股份,9.96,9.99,9.7,9.72,9.78,0.18,1.8405,1407073,13876933.28
2019-05-24,'000546,金圆股份,9.78,9.86,9.65,9.77,9.79,-0.01,-0.1021,1748563,17002978.82
2019-05-23,'000546,金圆股份,9.79,9.98,9.78,9.98,9.99,-0.2,-2.002,1425264,13995837.92
2019-05-22,'000546,金圆股份,9.99,10.21,9.91,10.17,10.17,-0.18,-1.7699,1593689,15966197.85
2019-05-21,'000546,金圆股份,10.17,10.25,10.0,10.05,10.0,0.17,1.7,2286365,23230290.34
2019-05-20,'000546,金圆股份,10.0,10.0,9.73,9.9,9.9,0.1,1.0101,1650369,16316556.84
2019-05-17,'000546,金圆股份,9.9,10.04,9.74,9.94,9.94,-0.04,-0.4024,2519153,24877860.08
2019-05-16,'000546,金圆股份,9.94,10.05,9.92,10.0,9.96,-0.02,-0.2008,1282121,12785770.0
2019-05-15,'000546,金圆股份,9.96,10.04,9.86,9.93,9.85,0.11,1.1168,1128007,11215630.65
2019-05-14,'000546,金圆股份,9.85,9.96,9.74,9.9,10.0,-0.15,-1.5,1446707,14299874.88
2019-05-13,'000546,金圆股份,10.0,10.08,9.91,9.99,10.01,-0.01,-0.0999,1493442,14941669.97
2019-05-10,'000546,金圆股份,10.01,10.15,9.6,10.0,9.91,0.1,1.0091,2400268,23907597.13
2019-05-09,'000546,金圆股份,9.91,10.03,9.86,10.03,9.98,-0.07,-0.7014,1204651,11969923.37
2019-05-08,'000546,金圆股份,9.98,10.1,9.63,9.75,9.86,0.12,1.217,4842918,48204443.38
2019-05-07,'000546,金圆股份,9.86,9.99,9.66,9.72,9.59,0.27,2.8154,3514584,34545664.72
2019-05-06,'000546,金圆股份,9.59,10.01,9.5,10.0,10.35,-0.76,-7.343,6549800,64050718.8
2019-04-30,'000546,金圆股份,10.35,10.58,10.24,10.43,10.45,-0.1,-0.9569,4289019,44545417.99
2019-04-29,'000546,金圆股份,10.45,10.68,10.04,10.05,10.16,0.29,2.8543,9541843,99763629.53
2019-04-26,'000546,金圆股份,10.16,10.35,10.0,10.05,10.26,-0.1,-0.9747,4203478,42650465.84
2019-04-25,'000546,金圆股份,10.26,10.88,10.25,10.83,10.93,-0.67,-6.1299,9249800,97253841.26
2019-04-24,'000546,金圆股份,10.93,10.94,10.33,10.46,10.45,0.48,4.5933,10913065,117153191.47
2019-04-23,'000546,金圆股份,10.45,10.66,10.38,10.5,10.63,-0.18,-1.6933,5147261,53960947.37
2019-04-22,'000546,金圆股份,10.63,10.75,10.4,10.69,10.62,0.01,0.0942,7588425,80154982.87
